dataset,backbone,horizon,seed,sample_id,variant,selected_expert,selected_tier,selected_lambda,selected_score,p_leave,mse_delta_vs_lrbn
ETTm1,DLinear,192,2026,test_00081,SafeTAE-tiered-blend,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-safe,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-mrc-consistency,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-balanced,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00081,SafeTAE-pairwise-hard,mrc_ridge_abstain,safe,1.0,1.0488589316243129,0.5455882989184436,0.7425072613192456
ETTm1,DLinear,192,2026,test_00069,SafeTAE-mrc-consistency,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTm1,DLinear,192,2026,test_00069,SafeTAE-balanced,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTm1,DLinear,192,2026,test_00069,SafeTAE-safe,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTm1,DLinear,192,2026,test_00069,SafeTAE-tiered-blend,mrc_ridge_residual_blend,balanced,0.75,0.7845503709918193,0.6550582212187015,0.6842572343769526
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-safe,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-tiered-blend,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-balanced,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-mrc-consistency,sra_basic_ablation,balanced,0.75,1.0379129702185006,0.9480725010942934,0.6495643414846701
ETTm1,DLinear,192,2026,test_00068,SafeTAE-pairwise-blend,mrc_ridge_residual_blend,balanced,0.5,0.7988273324459283,0.4679145240667662,0.6431828057871329
ETTm1,DLinear,192,2026,test_00091,SafeTAE-pairwise-hard,mrc_ridge_abstain,safe,1.0,1.0103671583270246,0.3523727494220453,0.5493691263703844
ETTm1,DLinear,192,2026,test_00091,SafeTAE-safe,mrc_ridge_abstain,safe,1.0,1.0103671583270246,0.3523727494220453,0.5493691263703844
ETTm1,DLinear,192,2026,test_00091,SafeTAE-tiered-blend,mrc_ridge_abstain,safe,1.0,1.0103671583270246,0.3523727494220453,0.5493691263703844
ETTm1,DLinear,192,2026,test_00091,SafeTAE-mrc-consistency,mrc_ridge_abstain,safe,1.0,1.0103671583270246,0.3523727494220453,0.5493691263703844
ETTm1,DLinear,192,2026,test_00091,SafeTAE-balanced,mrc_ridge_abstain,safe,1.0,1.0103671583270246,0.3523727494220453,0.5493691263703844
ETTm1,DLinear,192,2026,test_00048,SafeTAE-pairwise-blend,mrc_ridge_abstain,safe,0.5,1.0018487492525932,0.7636994584488446,0.4947440195402124
ETTm1,DLinear,192,2026,test_00069,SafeTAE-pairwise-blend,mrc_ridge_residual_blend,balanced,0.5,0.7845503709918193,0.6550582212187015,0.41148388696944505
ETTh1,PatchTST,192,2026,test_00062,SafeTAE-pairwise-blend,sra_basic_ablation,balanced,0.5,1.0379129702185006,0.9480725010942934,0.38494095909821
ETTm1,DLinear,192,2026,test_00081,SafeTAE-pairwise-blend,mrc_ridge_abstain,safe,0.5,1.0488589316243129,0.5455882989184436,0.27483043306843236
ETTm1,DLinear,192,2026,test_00091,SafeTAE-pairwise-blend,mrc_ridge_abstain,safe,0.5,1.0103671583270246,0.3523727494220453,0.20594925210756498
ETTm1,DLinear,192,2026,test_00067,SafeTAE-safe,level_bias_light,safe,1.0,0.6387863973476473,0.9352722254624822,0.012829628040764707
ETTm1,DLinear,192,2026,test_00067,SafeTAE-balanced,level_bias_light,safe,1.0,0.6387863973476473,0.9352722254624822,0.012829628040764707
ETTm1,DLinear,192,2026,test_00067,SafeTAE-tiered-blend,level_bias_light,safe,1.0,0.6387863973476473,0.9352722254624822,0.012829628040764707
ETTm1,DLinear,192,2026,test_00067,SafeTAE-pairwise-hard,level_bias_light,safe,1.0,0.6387863973476473,0.9352722254624822,0.012829628040764707
ETTm1,DLinear,192,2026,test_00067,SafeTAE-mrc-consistency,level_bias_light,safe,1.0,0.6387863973476473,0.9352722254624822,0.012829628040764707
ETTm1,PatchTST,192,2026,test_00055,SafeTAE-pairwise-hard,stage3_gated_bp,safe,1.0,1.0233713684862489,0.9999986258857344,0.011880930323085015
