variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate
sra_safe,overall,768,4.813148680992863,4.894157596003544,-1.6552167202647812,0.03515625,0.15234375
sra_safe,high_gap_low_repair,163,4.573197184275724,4.875331913757459,-6.197213527338204,0.15950920245398773,0.588957055214724
sra_safe,low_gap_high_repair,90,6.1664226048291715,6.1664226048291715,0.0,0.0,0.0
sra_safe,non_boundary,605,4.8777967701910345,4.899229639319431,-0.4374742696818472,0.001652892561983471,0.03471074380165289
sra_safe,large_residual_norm,80,17.305524024577604,17.435865520738332,-0.7475481841205086,0.025,0.15
sra_safe,q4_boundary,194,4.3080771673991185,4.628772253626971,-6.9282969211486956,0.13917525773195877,0.6030927835051546
sra_balanced,overall,768,4.766982513125085,4.894157596003544,-2.59850812165216,0.10416666666666667,0.33203125
sra_balanced,high_gap_low_repair,163,4.489336396175754,4.875331913757459,-7.917317705093091,0.17791411042944785,0.7668711656441718
sra_balanced,low_gap_high_repair,90,6.1664226048291715,6.1664226048291715,0.0,0.0,0.0
sra_balanced,non_boundary,605,4.841786342980855,4.899229639319431,-1.1724965035381774,0.08429752066115702,0.21487603305785125
sra_balanced,large_residual_norm,80,17.300898930778676,17.435865520738332,-0.7740745059183841,0.0875,0.25
sra_balanced,q4_boundary,194,4.231265669020404,4.628772253626971,-8.587732598775384,0.16494845360824742,0.7731958762886598
sra_basic_ablation,overall,768,4.722565345340137,4.894157596003544,-3.5060630342782355,0.11328125,0.2109375
sra_basic_ablation,high_gap_low_repair,163,4.248139358174128,4.875331913757459,-12.864612407762973,0.3619631901840491,0.6380368098159509
sra_basic_ablation,low_gap_high_repair,90,6.1664226048291715,6.1664226048291715,0.0,0.0,0.0
sra_basic_ablation,non_boundary,605,4.85038590056007,4.899229639319431,-0.9969677327974621,0.04628099173553719,0.09586776859504133
sra_basic_ablation,large_residual_norm,80,17.003829677247698,17.435865520738332,-2.477857165903136,0.0875,0.2
sra_basic_ablation,q4_boundary,194,3.984283915271776,4.628772253626971,-13.9235266210784,0.32989690721649484,0.6597938144329897
mrc_ridge_abstain,overall,768,4.835279636495446,4.894157596003544,-1.2030254080063634,0.026041666666666668,0.07552083333333333
mrc_ridge_abstain,high_gap_low_repair,163,4.792409826494091,4.875331913757459,-1.7008500869302716,0.0736196319018405,0.17791411042944785
mrc_ridge_abstain,low_gap_high_repair,90,6.1579465301209675,6.1664226048291715,-0.1374553000603707,0.0,0.011111111111111112
