variant,selected_expert,n,mean_selected_delta_vs_lrbn,selected_harm_rate,selected_win_rate
SafeTAE-balanced,amplitude_scale_bounded,166,-0.10210155293759836,0.006024096385542169,0.9939759036144579
SafeTAE-balanced,ensemble_median,3,0.0,0.0,0.0
SafeTAE-balanced,keep_lrbn,369,0.0,0.0,0.0
SafeTAE-balanced,level_bias_bounded,1,-0.1728870386106689,0.0,1.0
SafeTAE-balanced,level_bias_light,4,-0.3852098312608667,0.25,0.75
SafeTAE-balanced,mrc_ridge_abstain,8,-0.1686788384834972,0.375,0.625
SafeTAE-balanced,mrc_ridge_residual_blend,4,2.0060550127745937,1.0,0.0
SafeTAE-balanced,sra_balanced,7,-0.21202750980711443,0.0,1.0
SafeTAE-balanced,sra_basic_ablation,16,-0.7328442618808035,0.1875,0.8125
SafeTAE-balanced,sra_safe,14,-0.4636602031423727,0.0,0.9285714285714286
SafeTAE-balanced,stage3_gated_bp,3,-0.03904928031588214,0.6666666666666666,0.3333333333333333
SafeTAE-balanced,volatility_shrink,173,-0.23355003841333521,0.005780346820809248,0.9942196531791907
