dataset,backbone,horizon,seed,method,count,coverage,mse_delta_pct_vs_lrbn,harm_rate,q4_improvement_pct,low_gap_high_repair_delta_pct,A_gt_1_rate
ETTh1,DLinear,96,2026,LRBN-BP-always,96,1.0,-7.050908740255108,0.4583333333333333,19.22449462652496,0.7706742851730246,0.5416666666666666
ETTh1,DLinear,192,2026,LRBN-BP-always,96,1.0,-4.00199638773231,0.4166666666666667,10.561850013409268,0.20131627710469738,0.5833333333333334
ETTh1,PatchTST,96,2026,LRBN-BP-always,96,1.0,-5.065733309933413,0.40625,9.907569729581752,0.0004753047414556412,0.59375
ETTh1,PatchTST,192,2026,LRBN-BP-always,96,1.0,-3.1780365760456597,0.4270833333333333,11.342846383277822,0.4845505798041907,0.5729166666666666
ETTm1,DLinear,96,2026,LRBN-BP-always,96,1.0,-11.340649049138701,0.3541666666666667,23.76208436823505,-0.5139301581581371,0.6458333333333334
ETTm1,DLinear,192,2026,LRBN-BP-always,96,1.0,-3.2883729995730664,0.4270833333333333,10.713727850711523,0.13967875222328516,0.5729166666666666
ETTm1,PatchTST,96,2026,LRBN-BP-always,96,1.0,-9.236916349815013,0.4166666666666667,21.677203201476747,0.1015634150049129,0.5833333333333334
ETTm1,PatchTST,192,2026,LRBN-BP-always,96,1.0,-2.4596274018595117,0.4791666666666667,6.7970608104962835,0.30972358711310993,0.5208333333333334
ETTh1,DLinear,96,2026,LRBN-BP-stage3-gated,96,0.020833333333333332,-1.5826203803364463,0.0,7.023418609919613,0.0,0.020833333333333332
ETTh1,DLinear,192,2026,LRBN-BP-stage3-gated,96,0.020833333333333332,0.16348991943889402,0.010416666666666666,-3.105134700967702,0.0,0.010416666666666666
ETTh1,PatchTST,96,2026,LRBN-BP-stage3-gated,96,0.010416666666666666,-0.21870539726467908,0.0,-0.0,0.0,0.010416666666666666
ETTh1,PatchTST,192,2026,LRBN-BP-stage3-gated,96,0.010416666666666666,-0.21595406222930918,0.0,-0.0,0.0,0.010416666666666666
ETTm1,DLinear,96,2026,LRBN-BP-stage3-gated,96,0.0625,-1.7752088176403515,0.020833333333333332,4.274683999207892,0.0,0.041666666666666664
ETTm1,DLinear,192,2026,LRBN-BP-stage3-gated,96,0.0625,0.13826963255146796,0.03125,-0.6447910513734731,0.0,0.03125
ETTm1,PatchTST,96,2026,LRBN-BP-stage3-gated,96,0.07291666666666667,-2.5143327379273774,0.041666666666666664,6.421878857611079,0.0,0.03125
ETTm1,PatchTST,192,2026,LRBN-BP-stage3-gated,96,0.08333333333333333,-0.4482861403077511,0.041666666666666664,1.1130481386820583,0.0,0.041666666666666664
ETTh1,DLinear,96,2026,LRBN-BP-repair-gate,96,0.6041666666666666,-1.4778934164981055,0.17708333333333334,3.8377697363434637,0.0,0.4270833333333333
ETTh1,DLinear,192,2026,LRBN-BP-repair-gate,96,0.2916666666666667,-0.22687560492487052,0.10416666666666667,-0.8299396036276323,0.0,0.1875
ETTh1,PatchTST,96,2026,LRBN-BP-repair-gate,96,0.6979166666666666,-2.112162070162661,0.22916666666666666,4.667537840128237,0.0,0.46875
ETTh1,PatchTST,192,2026,LRBN-BP-repair-gate,96,0.71875,-1.4358523277217712,0.28125,4.7645176092870365,0.0,0.4375
ETTm1,DLinear,96,2026,LRBN-BP-repair-gate,96,0.3020833333333333,-3.5849267326856906,0.0625,7.473766993353885,0.0,0.23958333333333334
ETTm1,DLinear,192,2026,LRBN-BP-repair-gate,96,0.6666666666666666,-1.3329729586654977,0.28125,5.06593073811235,0.0,0.3854166666666667
ETTm1,PatchTST,96,2026,LRBN-BP-repair-gate,96,0.78125,-4.455921170227825,0.2708333333333333,10.993933667989078,0.0,0.5104166666666666
ETTm1,PatchTST,192,2026,LRBN-BP-repair-gate,96,0.8229166666666666,-1.790439093641582,0.34375,4.788215658784029,0.0,0.4791666666666667
ETTh1,DLinear,96,2026,LRBN-BP-short-bridge,96,1.0,-0.9667025381845289,0.15625,2.7232179601519504,0.011838307177102228,0.84375
ETTh1,DLinear,192,2026,LRBN-BP-short-bridge,96,1.0,-0.29507307317258613,0.17708333333333334,1.0977558192991512,-0.012237704099272106,0.8229166666666666
ETTh1,PatchTST,96,2026,LRBN-BP-short-bridge,96,1.0,-0.8670911759282998,0.2604166666666667,2.38508515748192,0.021501034589430142,0.7395833333333334
ETTh1,PatchTST,192,2026,LRBN-BP-short-bridge,96,1.0,-0.2622200098937696,0.21875,0.8953691286755298,-0.002499534704373282,0.78125
ETTm1,DLinear,96,2026,LRBN-BP-short-bridge,96,1.0,-1.1476972737622502,0.13541666666666666,2.1097992173369997,-0.03650446298502327,0.8645833333333334
ETTm1,DLinear,192,2026,LRBN-BP-short-bridge,96,1.0,-0.32266445440142966,0.13541666666666666,0.9918176802861577,-8.024930735216103e-05,0.8645833333333334
ETTm1,PatchTST,96,2026,LRBN-BP-short-bridge,96,1.0,-1.070338574792033,0.17708333333333334,2.2199941560671004,-0.006599570031527828,0.8229166666666666
ETTm1,PatchTST,192,2026,LRBN-BP-short-bridge,96,1.0,-0.4482075244780875,0.125,0.9595465386932509,-0.002641902305824291,0.875
ETTh1,DLinear,96,2026,LRBN-SRA-BP-safe,96,0.125,-2.013958788316126,0.010416666666666666,10.099021008755397,0.0,0.11458333333333333
ETTh1,DLinear,192,2026,LRBN-SRA-BP-safe,96,0.07291666666666667,-1.2490527052484073,0.010416666666666666,9.61195118000839,0.0,0.0625
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-safe,96,0.14583333333333334,-1.2018130001136522,0.03125,5.100733147890569,0.0,0.11458333333333333
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-safe,96,0.10416666666666667,-0.33590863040576024,0.03125,2.121982827921835,0.0,0.07291666666666667
ETTm1,DLinear,96,2026,LRBN-SRA-BP-safe,96,0.22916666666666666,-4.434092429388516,0.0,10.677247527482727,0.0,0.22916666666666666
ETTm1,DLinear,192,2026,LRBN-SRA-BP-safe,96,0.22916666666666666,-1.3591268833712322,0.052083333333333336,6.337999428419101,0.0,0.17708333333333334
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-safe,96,0.23958333333333334,-3.582285586614855,0.03125,9.149546407915137,0.0,0.20833333333333334
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-safe,96,0.3541666666666667,-1.7936288684893775,0.11458333333333333,4.453395039578953,0.0,0.23958333333333334
ETTh1,DLinear,96,2026,LRBN-SRA-BP-balanced,96,0.4270833333333333,-3.815166272317528,0.0625,12.367811566060096,0.0,0.3645833333333333
ETTh1,DLinear,192,2026,LRBN-SRA-BP-balanced,96,0.3541666666666667,-1.8257675613097273,0.11458333333333333,8.146735252952539,0.0,0.23958333333333334
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-balanced,96,0.3333333333333333,-2.5523936503900533,0.0625,9.308126711950832,0.0,0.2708333333333333
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-balanced,96,0.3229166666666667,-0.907455225423527,0.10416666666666667,5.814369227335627,0.0,0.21875
ETTm1,DLinear,96,2026,LRBN-SRA-BP-balanced,96,0.5520833333333334,-5.961812573032402,0.052083333333333336,11.997243825950083,0.0,0.5
ETTm1,DLinear,192,2026,LRBN-SRA-BP-balanced,96,0.5729166666666666,-2.2155734432911722,0.19791666666666666,6.859054840964199,0.0,0.375
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-balanced,96,0.40625,-4.476834736858485,0.052083333333333336,10.14852496625307,0.0,0.3541666666666667
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-balanced,96,0.5208333333333334,-2.052478743772565,0.1875,5.195274796593722,0.0,0.3333333333333333
ETTh1,DLinear,96,2026,LRBN-SRA-BP-basic,96,0.23958333333333334,-3.702362916752521,0.11458333333333333,19.22449462652496,0.0,0.125
ETTh1,DLinear,192,2026,LRBN-SRA-BP-basic,96,0.17708333333333334,-1.3526513022759,0.0625,10.561850013409268,0.0,0.11458333333333333
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-basic,96,0.3125,-3.2637599252040315,0.14583333333333334,9.907569729581752,0.0,0.16666666666666666
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-basic,96,0.25,-1.3282202614384186,0.10416666666666667,11.342846383277822,0.0,0.14583333333333334
ETTm1,DLinear,96,2026,LRBN-SRA-BP-basic,96,0.3958333333333333,-10.036877916892372,0.08333333333333333,23.761369950991554,0.0,0.3125
ETTm1,DLinear,192,2026,LRBN-SRA-BP-basic,96,0.3333333333333333,-3.386399289828136,0.08333333333333333,10.713727850711523,0.0,0.25
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-basic,96,0.4270833333333333,-8.784656142871922,0.13541666666666666,21.67725547859145,0.0,0.2916666666666667
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-basic,96,0.4583333333333333,-2.768622977582487,0.17708333333333334,6.7970608104962835,0.0,0.28125
ETTh1,DLinear,96,2026,LRBN-SRA-BP-short,96,0.375,-3.7847612326404247,0.041666666666666664,12.46351490830007,0.0,0.3333333333333333
ETTh1,DLinear,192,2026,LRBN-SRA-BP-short,96,0.21875,-1.2947154920744932,0.052083333333333336,6.943318630889304,0.0,0.16666666666666666
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-short,96,0.3958333333333333,-2.711862088053524,0.08333333333333333,8.940541206948167,0.0,0.3125
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-short,96,0.40625,-1.2593492695044526,0.11458333333333333,5.868806322772573,0.0,0.2916666666666667
ETTm1,DLinear,96,2026,LRBN-SRA-BP-short,96,0.2916666666666667,-4.1429749199255195,0.010416666666666666,8.191192854478698,0.0,0.28125
ETTm1,DLinear,192,2026,LRBN-SRA-BP-short,96,0.5416666666666666,-2.1703086663739235,0.1875,6.847760996378321,0.0,0.3541666666666667
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-short,96,0.59375,-4.605985744897254,0.14583333333333334,10.202566266942782,0.0,0.4479166666666667
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-short,96,0.6041666666666666,-2.1437818057276457,0.20833333333333334,5.248645574991655,0.0,0.3958333333333333
ETTh1,DLinear,96,2026,LRBN-SRA-BP-support,96,0.4270833333333333,-3.815166272317528,0.0625,12.367811566060096,0.0,0.3645833333333333
ETTh1,DLinear,192,2026,LRBN-SRA-BP-support,96,0.3541666666666667,-1.8257675613097273,0.11458333333333333,8.146735252952539,0.0,0.23958333333333334
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-support,96,0.3333333333333333,-2.5523936503900533,0.0625,9.308126711950832,0.0,0.2708333333333333
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-support,96,0.3229166666666667,-0.907455225423527,0.10416666666666667,5.814369227335627,0.0,0.21875
