method,selection_slice,count,A_gt_1_rate,mean_A,mean_alignment_cosine,harm_rate,mean_win_size,mean_loss_size,true_jump_rate,high_gap_low_repair_rate,low_gap_high_repair_rate
LRBN-BP-always,selected,768,0.5768229166666666,9.02234169112507,0.18066878072534528,0.4231770833333333,0.7355440434720207,0.4114158831935147,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-BP-always,overall,768,0.5768229166666666,9.02234169112507,0.18066878072534528,0.4231770833333333,0.7355440434720207,0.4114158831935147,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-BP-stage3-gated,selected,33,0.5757575757575758,-16.067450942242463,0.2666510468885406,0.42424242424242425,1.5555453914797617,0.4639225040681364,0.2727272727272727,0.696969696969697,0.0
LRBN-BP-stage3-gated,unselected,735,0.0,0.0,0.0,0.0,0.0,0.0,0.22993197278911565,0.19047619047619047,0.12244897959183673
LRBN-BP-stage3-gated,overall,768,0.024739583333333332,-0.6903982826744808,0.011457662170991978,0.018229166666666668,1.5555453914797617,0.4639225040681364,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-BP-repair-gate,selected,469,0.6417910447761194,10.421204038184294,0.20336750005586082,0.3582089552238806,0.31531943120991973,0.17398070209462554,0.2260127931769723,0.34754797441364604,0.0
LRBN-BP-repair-gate,unselected,299,0.0,0.0,0.0,0.0,0.0,0.0,0.2408026755852843,0.0,0.3010033444816054
LRBN-BP-repair-gate,overall,768,0.3919270833333333,6.363990486859943,0.1241918717789046,0.21875,0.31531943120991973,0.17398070209462554,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-BP-short-bridge,selected,768,0.8268229166666666,4.028250069504348,0.09198427018919379,0.17317708333333334,0.036602169014529055,0.003791344565344679,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-BP-short-bridge,overall,768,0.8268229166666666,4.028250069504348,0.09198427018919379,0.17317708333333334,0.036602169014529055,0.003791344565344679,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-SRA-BP-safe,selected,144,0.8125,2.796034131532188,0.3356851599244001,0.1875,0.5902660964848472,0.2535661689082847,0.25,0.8472222222222222,0.0
LRBN-SRA-BP-safe,unselected,624,0.0,0.0,0.0,0.0,0.0,0.0,0.22756410256410256,0.06570512820512821,0.14423076923076922
LRBN-SRA-BP-safe,overall,768,0.15234375,0.5242563996622852,0.06294096748582503,0.03515625,0.5902660964848472,0.2535661689082847,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-SRA-BP-balanced,selected,335,0.7611940298507462,2.5418577496356436,0.2790689998503196,0.23880597014925373,0.4507411159013866,0.21585651130246503,0.22388059701492538,0.4597014925373134,0.0
LRBN-SRA-BP-balanced,unselected,433,0.0,0.0,0.0,0.0,0.0,0.0,0.23787528868360278,0.020785219399538105,0.20785219399538107
LRBN-SRA-BP-balanced,overall,768,0.33203125,1.1087530548540894,0.1217293163409597,0.10416666666666667,0.4507411159013866,0.21585651130246503,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-SRA-BP-basic,selected,249,0.6506024096385542,2.4572037830819418,0.342577785775606,0.3493975903614458,1.2257498641463835,0.7676853963473288,0.24096385542168675,0.6546184738955824,0.0
LRBN-SRA-BP-basic,unselected,519,0.0,0.0,0.0,0.0,0.0,0.0,0.22736030828516376,0.0,0.17341040462427745
LRBN-SRA-BP-basic,overall,768,0.2109375,0.7966715390460983,0.11107014148193474,0.11328125,1.2257498641463835,0.7676853963473288,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-SRA-BP-short,selected,329,0.7537993920972644,2.5325282477446773,0.2631149247236576,0.24620060790273557,0.4449177161673643,0.2134711445361993,0.23100303951367782,0.49544072948328266,0.0
LRBN-SRA-BP-short,unselected,439,0.0,0.0,0.0,0.0,0.0,0.0,0.23234624145785876,0.0,0.20501138952164008
LRBN-SRA-BP-short,overall,768,0.3229166666666667,1.0848981686302068,0.1127145966589627,0.10546875,0.4449177161673643,0.2134711445361993,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-SRA-BP-support,selected,335,0.7611940298507462,2.5418577496356436,0.2790689998503196,0.23880597014925373,0.4507411159013866,0.21585651130246503,0.22388059701492538,0.4597014925373134,0.0
LRBN-SRA-BP-support,unselected,433,0.0,0.0,0.0,0.0,0.0,0.0,0.23787528868360278,0.020785219399538105,0.20785219399538107
LRBN-SRA-BP-support,overall,768,0.33203125,1.1087530548540894,0.1217293163409597,0.10416666666666667,0.4507411159013866,0.21585651130246503,0.23177083333333334,0.21223958333333334,0.1171875
LRBN-SRA-BP-continuous,selected,277,0.8447653429602888,705.519513477337,0.2871066674993221,0.11913357400722022,0.11396818535068488,0.028081075228687673,0.24548736462093862,0.5884476534296029,0.0
LRBN-SRA-BP-continuous,unselected,491,0.0,0.017248451298417677,0.005744584215206075,0.08757637474541752,2.2640902213473217e-10,4.765356470340593e-11,0.2240325865580448,0.0,0.18329938900203666
LRBN-SRA-BP-continuous,overall,768,0.3046875,254.47574768595032,0.10722543977471148,0.09895833333333333,0.05256755631397672,0.005325721202677275,0.23177083333333334,0.21223958333333334,0.1171875
