split,method,n,mse,mae,mse_lrbn,mae_lrbn,mean_delta,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,selected_count,mean_strength,q4_improvement_pct,low_gap_high_repair_delta_pct,high_gap_low_repair_delta_pct,low_gap_high_repair_coverage,high_gap_low_repair_coverage,config_improved_ratio,test_threshold_leakage
val,LRBN,768,8.79717792520947,2.3053724718885635,8.79717792520947,2.3053724718885635,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,False
val,raw_no_correction,768,9.171186122711934,2.3582131224290634,8.79717792520947,2.3053724718885635,0.3740081975024641,4.251456549554929,2.2920656403954642,0.6184895833333334,0.3815104166666667,0.0,0,0.0,-3.9093329963312926,4.8210282887661435,2.67768095911455,0.0,0.0,0.0,False
val,matched_sparse_smoothing,768,9.022955284437964,2.337708504067654,8.79717792520947,2.3053724718885635,0.22577735922849565,2.5664748501317978,1.4026380740261424,0.5481770833333334,0.4518229166666667,0.0,0,0.0,-2.3150076643261137,2.0181303403887574,1.0477563114370416,0.0,0.0,0.5,False
val,naive_smoothing,768,8.670374355196003,2.2918209336927626,8.79717792520947,2.3053724718885635,-0.1268035700134662,-1.4414119044466855,-0.5878242367454422,0.3776041666666667,0.6223958333333334,0.0,0,0.0,1.0098774345713977,-2.387057756950875,-2.204695342597355,0.0,0.0,0.5,False
val,ema_smoothing,768,8.686157485272394,2.2950934707858615,8.79717792520947,2.3053724718885635,-0.11102043993707504,-1.2620006183202386,-0.4458715970393431,0.37109375,0.62890625,0.0,0,0.0,0.809546666481189,-1.8409132937087167,-2.175589569459859,0.0,0.0,0.5,False
val,median_smoothing,768,8.735572809619775,2.3011196950168187,8.79717792520947,2.3053724718885635,-0.06160511558969434,-0.7002827047879588,-0.18447244014385814,0.4114583333333333,0.5885416666666666,0.0,0,0.0,0.4880398093220598,-1.2874766491002174,-1.671857585019613,0.0,0.0,0.5,False
val,LRBN-BP-always,768,8.419232644426494,2.2301619219390045,8.79717792520947,2.3053724718885635,-0.37794528078297623,-4.296210484390716,-3.2624033877573853,0.453125,0.546875,1.0,768,1.0,10.425734823886799,-0.05600356338846978,-9.046728918825565,1.0,1.0,1.0,False
val,LRBN-BP-stage3-gated,768,8.694683185861635,2.285228917264343,8.79717792520947,2.3053724718885635,-0.1024947393478341,-1.1650865777946104,-0.8737657269040849,0.01171875,0.0390625,0.05078125,39,0.05078125,3.263914123659078,0.0,-3.6391387194679936,0.0,0.19631901840490798,0.875,False
val,LRBN-BP-repair-gate,768,8.643574208138046,2.278363813573033,8.79717792520947,2.3053724718885635,-0.15360371707142387,-1.7460567264036542,-1.171552906426858,0.265625,0.3880208333333333,0.6536458333333334,502,0.5563261149231946,4.096030459836537,0.0,-4.82294208828152,0.0,1.0,0.875,False
val,LRBN-BP-short-bridge,768,8.743596129438458,2.2940877287419634,8.79717792520947,2.3053724718885635,-0.05358179577101188,-0.6090793680159358,-0.4894976076644948,0.17578125,0.82421875,1.0,768,1.0,1.0612515360424724,-0.012173953473868173,-1.099965725861663,1.0,1.0,1.0,False
val,LRBN-SRA-BP-safe,768,8.658965312751832,2.277535925927141,8.79717792520947,2.3053724718885635,-0.1382126124576374,-1.57110170415516,-1.2074641377960216,0.04296875,0.15755208333333334,0.20052083333333334,154,0.150390625,5.090337188115551,0.0,-4.823283638408602,0.0,0.8098159509202454,1.0,False
val,LRBN-SRA-BP-balanced,768,8.59746686436455,2.264866712244945,8.79717792520947,2.3053724718885635,-0.19971106084492007,-2.2701718928021632,-1.7570158385180483,0.11979166666666667,0.30078125,0.4205729166666667,323,0.3154296875,5.457613248143672,0.0,-5.0388190140321285,0.0,0.9325153374233128,1.0,False
val,LRBN-SRA-BP-basic,768,8.477033878711131,2.2448036802199907,8.79717792520947,2.3053724718885635,-0.3201440464983394,-3.6391675700568347,-2.627288741598705,0.11067708333333333,0.19010416666666666,0.30078125,231,0.150390625,10.425734823886799,0.0,-9.046728918825565,0.0,1.0,1.0,False
val,LRBN-SRA-BP-short,768,8.604352840673778,2.2670700147200478,8.79717792520947,2.3053724718885635,-0.1928250845356901,-2.19189706012352,-1.6614433229088583,0.14322916666666666,0.30859375,0.4518229166666667,347,0.3388671875,5.178051216627173,0.0,-5.100813964972273,0.0,1.0,1.0,False
val,LRBN-SRA-BP-support,768,8.59746686436455,2.264866712244945,8.79717792520947,2.3053724718885635,-0.19971106084492007,-2.2701718928021632,-1.7570158385180483,0.11979166666666667,0.30078125,0.4205729166666667,323,0.3154296875,5.457613248143672,0.0,-5.0388190140321285,0.0,0.9325153374233128,1.0,False
val,LRBN-SRA-BP-continuous,768,8.724758406188156,2.291988738753416,8.79717792520947,2.3053724718885635,-0.07241951902131175,-0.8232130753143471,-0.5805453669761614,0.14973958333333334,0.6380208333333334,0.34765625,267,0.05847541501648895,2.6671930328075524,-2.5614471506310626e-14,-2.7421699162801443,0.0,1.0,1.0,False
test,LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,False
test,raw_no_correction,768,6.427220554044915,1.9149077056592396,4.894157596003544,1.682162338434372,1.5330629580413706,31.32434795644504,13.83608231640003,0.6419270833333334,0.3580729166666667,0.0,0,0.0,-35.03841995252805,37.4429394473576,28.97994517085284,0.0,0.0,0.0,False
test,matched_sparse_smoothing,768,6.22247505249129,1.877729907498508,4.894157596003544,1.682162338434372,1.3283174564877447,27.140880278524964,11.625962811862685,0.5846354166666666,0.4153645833333333,0.0,0,0.0,-31.598239928959416,33.05803237441258,26.185858173972328,0.0,0.0,0.375,False
test,naive_smoothing,768,6.07206912318001,1.849256261297065,4.894157596003544,1.682162338434372,1.1779115271764655,24.06770729515434,9.933281589509557,0.4309895833333333,0.5690104166666666,0.0,0,0.0,-27.326156106412153,31.02307878823466,21.97971638208008,0.0,0.0,0.5,False
test,ema_smoothing,768,6.060487040025387,1.848220973289117,4.894157596003544,1.682162338434372,1.166329444021843,23.831056085957155,9.871736518731364,0.4388020833333333,0.5611979166666666,0.0,0,0.0,-26.813839314548797,30.91103076257849,21.243180145826233,0.0,0.0,0.5,False
test,median_smoothing,768,6.129929274585332,1.8603371525591363,4.894157596003544,1.682162338434372,1.235771678581787,25.24993631316443,10.592010592235393,0.44921875,0.55078125,0.0,0,0.0,-28.248809526105518,32.144491093216246,22.6573388758122,0.0,0.0,0.5,False
test,LRBN-BP-always,768,4.6439807089980585,1.6218519507831555,4.894157596003544,1.682162338434372,-0.2501768870054856,-5.111745618870136,-3.5852893573173152,0.4231770833333333,0.5768229166666666,1.0,768,1.0,13.923609400006454,0.19751047625541376,-12.864612407762973,1.0,1.0,1.0,False
test,LRBN-BP-stage3-gated,768,4.864130971809323,1.6743534601010577,4.894157596003544,1.682162338434372,-0.03002662419422079,-0.6135197640016364,-0.4642166875618306,0.018229166666666668,0.024739583333333332,0.04296875,33,0.04296875,1.9883511408411154,0.0,-2.2948531603438687,0.0,0.1411042944785276,0.75,False
test,LRBN-BP-repair-gate,768,4.808633649594314,1.6616259914409826,4.894157596003544,1.682162338434372,-0.08552394640923015,-1.7474702143698884,-1.2208302612707465,0.21875,0.3919270833333333,0.6106770833333334,469,0.5234139101430886,5.275949383098501,0.0,-5.96178583713379,0.0,1.0,1.0,False
test,LRBN-BP-short-bridge,768,4.8645506578563635,1.6732937656901887,4.894157596003544,1.682162338434372,-0.029606938147181128,-0.6049445181508359,-0.5272126529545426,0.17317708333333334,0.8268229166666666,1.0,768,1.0,1.6780025619884027,-0.004228543473508462,-1.649208411928336,1.0,1.0,1.0,False
test,LRBN-SRA-BP-safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.1875,144,0.140625,6.9282969211486956,0.0,-6.197213527338204,0.0,0.7484662576687117,1.0,False
test,LRBN-SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.4361979166666667,335,0.3271484375,8.587732598775384,0.0,-7.917317705093091,0.0,0.9447852760736196,1.0,False
test,LRBN-SRA-BP-basic,768,4.722565345340137,1.640118072129334,4.894157596003544,1.682162338434372,-0.17159225066340697,-3.5060630342782355,-2.4994178679703287,0.11328125,0.2109375,0.32421875,249,0.162109375,13.9235266210784,0.0,-12.864612407762973,0.0,1.0,1.0,False
test,LRBN-SRA-BP-short,768,4.773000784933135,1.6484439370632054,4.894157596003544,1.682162338434372,-0.12115681107040914,-2.4755396295736163,-2.0044677258737345,0.10546875,0.3229166666666667,0.4283854166666667,329,0.3212890625,7.977599493832576,0.0,-7.874603211944686,0.0,1.0,1.0,False
test,LRBN-SRA-BP-support,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.4361979166666667,335,0.3271484375,8.587732598775384,0.0,-7.917317705093091,0.0,0.9447852760736196,1.0,False
test,LRBN-SRA-BP-continuous,768,4.859155562408716,1.6728571648821517,4.894157596003544,1.682162338434372,-0.03500203359482792,-0.7151799433653637,-0.5531673896328029,0.09895833333333333,0.6888020833333334,0.3606770833333333,277,0.05067853360478609,2.9935523615933746,-1.4403463323519394e-14,-2.810567877466276,0.0,1.0,0.875,False
