config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,g_raw,g_l,g_y,repair_ratio,jump_support,trend_support,vol_support,smooth_support,g_l_bin,g_y_bin,gap_group,repair_group,pred_gap_flag,low_gap_flag,high_repair_flag,low_repair_flag,true_jump_flag,oracle_boundary_bin,method,mse_lrbn,mse_method,mae_lrbn,mae_method,delta_mse_vs_lrbn,harm,win,strength,selected,A,A_gt_1,alignment_cosine
ETTh1_DLinear_96_seed2026,test::test_00000,test_00000,test,ETTh1,DLinear,96,2026,3.1294714037847697,2.272693840245559,0.3876814113631126,0.2737773186633716,0.19827893207678038,0.0,0.4400061169028639,0.1548306793274772,q2,q2,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,2.5321129458072926,2.495377927265799,1.2900232281250001,1.2500140854605264,-0.036735018541493414,False,True,1.0,True,1.2866042999084482,True,0.1447345432563894
ETTh1_DLinear_96_seed2026,test::test_00001,test_00001,test,ETTh1,DLinear,96,2026,5.719209850029521,4.669413455881945,0.14116493239467334,0.18355633699746476,0.09554262654519234,0.0,0.21415956921540702,0.07246831042016996,q4_high,q1_low,high,low,True,False,False,True,False,high_gL_low_gY,LRBN-BP-always,2.6966931596291275,3.6576885752135726,1.2743964562499999,1.508238160482456,0.9609954155844451,True,False,1.0,True,-1.0798588272688288,False,-0.22349352871549255
ETTh1_DLinear_96_seed2026,test::test_00002,test_00002,test,ETTh1,DLinear,96,2026,1.9448637161525644,2.2838424133430855,0.1488791562566216,-0.17429371532900495,0.20204403355924352,0.0,0.4378581739708107,0.1682739267069199,q2,q1_low,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,4.6000704585364325,4.234671126138075,1.63012136875,1.5458574166666665,-0.36539933239835776,False,True,1.0,True,4.782758534309502,True,0.3465339533298292
ETTh1_DLinear_96_seed2026,test::test_00003,test_00003,test,ETTh1,DLinear,96,2026,3.9949680910191123,4.080559156035937,0.8608428816252458,-0.02142446238426099,0.10917015481455873,0.0,0.24506436161910325,0.08244610282457296,q3,q3,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,5.489042955440684,6.901977162777826,1.879954695833333,2.1875378781798247,1.412934207337142,True,False,1.0,True,-1.3766170724402975,False,-0.22652503557898235
ETTh1_DLinear_96_seed2026,test::test_00004,test_00004,test,ETTh1,DLinear,96,2026,1.0026604986463041,1.3659666430186128,1.14201749884295,-0.36234077489043703,0.3336854563962255,0.0,0.7320814280867789,0.2689749411018976,q2,q3,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,7.101470598403478,8.104596270372662,2.2628531364583333,2.4641835643092103,1.0031256719691841,True,False,1.0,True,-15.936022889887417,False,-0.7276923218482291
ETTh1_DLinear_96_seed2026,test::test_00005,test_00005,test,ETTh1,DLinear,96,2026,8.233934381423502,7.11182061151196,0.8089085523924641,0.13627927812539475,0.06184284016810023,0.0,0.14061093824549672,0.04491758225880395,q4_high,q3,high,low,True,False,False,True,False,high_gL_low_gY,LRBN-BP-always,4.2406048195962684,3.018077655944895,1.719035975,1.3463480612938599,-1.2225271636513733,False,True,1.0,True,1.7799502040585957,True,0.5410778732180245
ETTh1_DLinear_96_seed2026,test::test_00006,test_00006,test,ETTh1,DLinear,96,2026,3.8767993159837904,3.050195891364872,0.0,0.2132182101850547,0.16646377147609184,0.0,0.32784759059653146,0.17154372383174404,q3,q1_low,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,3.8895469805642855,4.39044474576296,1.662727560416667,1.762422852412281,0.5008977651986748,True,False,1.0,True,-1.344410505743084,False,-0.15754699313005818
ETTh1_DLinear_96_seed2026,test::test_00007,test_00007,test,ETTh1,DLinear,96,2026,2.5899547485066035,3.011249781544245,5.88235460457731,-0.1626645680261387,0.14400807637251695,0.0,0.33208780787968867,0.09993642123786216,q3,q4_high,mid,low,False,False,False,True,True,mid_or_mixed,LRBN-BP-always,6.052201689328274,5.127098916744093,2.151899196875,1.9135770860307018,-0.9251027725841805,False,True,1.0,True,5.825977616370935,True,0.518423243213737
ETTh1_DLinear_96_seed2026,test::test_00008,test_00008,test,ETTh1,DLinear,96,2026,2.865176700391739,3.1747715171851496,0.09559543106682433,-0.10805396703704662,0.14070821612941853,0.0,0.3149831616009287,0.10714148678732685,q3,q1_low,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,5.3266546451691665,6.440108003782009,2.034854234375,2.1503499895065787,1.1134533586128423,True,False,1.0,True,-1.4593862720798547,False,-0.21273337863028538
ETTh1_DLinear_96_seed2026,test::test_00009,test_00009,test,ETTh1,DLinear,96,2026,4.899354455228425,3.8112834343551536,0.25515925950017454,0.2220847274333032,0.11990522598205618,0.0,0.262378682250255,0.09733699569591356,q3,q1_low,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,5.326338337256666,3.566923177820993,1.9131113697916666,1.5588839948793858,-1.7594151594356728,False,True,1.0,True,5.734923570030406,True,0.757374961682274
ETTh1_DLinear_96_seed2026,test::test_00010,test_00010,test,ETTh1,DLinear,96,2026,7.348997402248146,6.273294880790408,0.4917934324851287,0.14637416727817876,0.08023556487827167,0.0,0.1594058211843682,0.08130087345044684,q4_high,q2,high,low,True,False,False,True,False,high_gL_low_gY,LRBN-BP-always,3.034062990717281,3.394257104889636,1.4273860645833334,1.5349213958991228,0.36019411417235503,True,False,1.0,True,0.6677116155290599,False,0.1995525908802653
ETTh1_DLinear_96_seed2026,test::test_00011,test_00011,test,ETTh1,DLinear,96,2026,1.656220609239622,0.5722124940787244,4.928012128741679,0.6545072888274719,0.6666666666666666,0.0,1.0,1.0,q1_low,q4_high,low,mid,False,True,False,False,True,low_gL_high_gY,LRBN-BP-always,3.113883218296768,3.2537394823412438,1.524057413541667,1.561343592160088,0.1398562640444756,True,False,1.0,True,-46.299181624298605,False,-0.713357186181251
ETTh1_DLinear_96_seed2026,test::test_00012,test_00012,test,ETTh1,DLinear,96,2026,2.788856665106309,3.474505614219878,2.0037710360432888,-0.24585261474340325,0.1422209510060839,0.0,0.2878105622908101,0.13885229072744162,q3,q4_high,mid,low,False,False,False,True,True,mid_or_mixed,LRBN-BP-always,2.3636962626575833,2.11341918898758,1.2957645875000001,1.1961782162938597,-0.25027707367000307,False,True,1.0,True,2.02414206502051,True,0.32542100849241856
ETTh1_DLinear_96_seed2026,test::test_00013,test_00013,test,ETTh1,DLinear,96,2026,1.4449330610143771,0.5989907508901896,0.2506222965302658,0.5854546120466672,0.5384335865627784,0.0,1.0,0.6153007596883352,q1_low,q1_low,low,mid,False,True,False,False,False,low_gL_low_gY,LRBN-BP-always,2.6808462044379557,2.5215240395682077,1.3951453458333332,1.3498326417763156,-0.15932216486974804,False,True,1.0,True,17.987285925502995,True,0.5319563434893326
