variant,mse_delta_pct_vs_lrbn,harm_rate,max_config_harm,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,q4_boundary_delta_pct,known_harmed_config_delta_pct,bootstrap_high_delta_raw,safe_gate_pass,tradeoff_gate_pass,mechanism_gate_pass,compact_gate_pass
H2L Learned Patch Residual Editor,0.1096828481698996,0.07291666666666667,0.17708333333333334,-0.002950467098643947,0.86328125,0.051215277777777776,0.00016915951067076685,-0.36572537811382155,0.4033112847473401,0.02456288406948556,False,False,False,False
H6 Denoising Teacher Manifold Projector,-1.0336099158185628,0.024739583333333332,0.08333333333333333,0.027804092438693157,0.8515625,0.10908564814814815,0.00015332832686197777,-0.7200792684131316,-0.9133564772026844,-0.034573993522262564,False,False,False,False
H2H6 Learned Patch Teacher Hybrid,-1.7864781920779689,0.10546875,0.1875,0.04805623865644542,0.62109375,0.21180555555555555,0.0004902851560944424,-1.5979306682477858,-1.500588692578361,-0.06047856494568026,False,False,False,False
H6-Safe Sparse Teacher Projector,-1.0132005076989046,0.016927083333333332,0.041666666666666664,0.027255079642575928,0.8971354166666666,0.08825231481481481,0.0002630911744012195,-0.4392233364751509,-0.7995393080346332,-0.03139762347864138,False,False,False,False
H2H6-Safe Sparse Learned Teacher Hybrid,-0.3204126856071458,0.059895833333333336,0.15625,0.00861909681090458,0.8567708333333334,0.07233796296296297,7.71399891864944e-05,-0.507294832673751,-0.44265911130412827,-0.0024873215631109453,False,False,False,False
