epoch,residual_loss,model,teacher_loss
117.0,0.8940111315912671,residual_patch_mlp,
118.0,0.8979360560576121,residual_patch_mlp,
119.0,0.887092787358496,residual_patch_mlp,
120.0,0.8859251787265142,residual_patch_mlp,
1.0,,denoising_patch_teacher,10.20713766415914
2.0,,denoising_patch_teacher,5.730381687482198
3.0,,denoising_patch_teacher,4.762219806512197
4.0,,denoising_patch_teacher,4.5982001887427435
5.0,,denoising_patch_teacher,3.9706433746549816
6.0,,denoising_patch_teacher,3.4203219612439475
7.0,,denoising_patch_teacher,3.081477873855167
8.0,,denoising_patch_teacher,2.8073128196928234
9.0,,denoising_patch_teacher,2.5922832952605352
10.0,,denoising_patch_teacher,2.3245293464925556
11.0,,denoising_patch_teacher,2.158902926577462
12.0,,denoising_patch_teacher,1.9988691276974149
13.0,,denoising_patch_teacher,1.962448991007275
14.0,,denoising_patch_teacher,1.808003819651074
15.0,,denoising_patch_teacher,1.765393316745758
16.0,,denoising_patch_teacher,1.7600152360068426
17.0,,denoising_patch_teacher,1.6979817615614996
18.0,,denoising_patch_teacher,1.7104325360722012
19.0,,denoising_patch_teacher,1.647441781229443
20.0,,denoising_patch_teacher,1.6238321430153317
21.0,,denoising_patch_teacher,1.538986795478397
22.0,,denoising_patch_teacher,1.5206318729453616
23.0,,denoising_patch_teacher,1.4548457430468664
24.0,,denoising_patch_teacher,1.4906113346417744
25.0,,denoising_patch_teacher,1.435865537987815
26.0,,denoising_patch_teacher,1.4243903987937503
27.0,,denoising_patch_teacher,1.3873175846205816
28.0,,denoising_patch_teacher,1.3569724294874403
29.0,,denoising_patch_teacher,1.3322013649675581
30.0,,denoising_patch_teacher,1.308920876847373
31.0,,denoising_patch_teacher,1.3152781973282497
32.0,,denoising_patch_teacher,1.250951960682869
33.0,,denoising_patch_teacher,1.2195309731695387
34.0,,denoising_patch_teacher,1.2135543558332655
35.0,,denoising_patch_teacher,1.2260692218939464
36.0,,denoising_patch_teacher,1.183551851246092
37.0,,denoising_patch_teacher,1.1727557927370071
38.0,,denoising_patch_teacher,1.1650023493501875
39.0,,denoising_patch_teacher,1.1350284881061978
40.0,,denoising_patch_teacher,1.1882267147302628
41.0,,denoising_patch_teacher,1.1291431850857205
42.0,,denoising_patch_teacher,1.1418931186199188
43.0,,denoising_patch_teacher,1.1485683802101347
44.0,,denoising_patch_teacher,1.0850605699751112
45.0,,denoising_patch_teacher,1.0714428590403662
46.0,,denoising_patch_teacher,1.0748718463712268
47.0,,denoising_patch_teacher,1.0468440734677844
48.0,,denoising_patch_teacher,1.0249858183993235
49.0,,denoising_patch_teacher,1.0518608374728098
50.0,,denoising_patch_teacher,1.0945447368754282
51.0,,denoising_patch_teacher,1.0883321712414424
52.0,,denoising_patch_teacher,1.0068357951111264
53.0,,denoising_patch_teacher,1.0000345326132245
54.0,,denoising_patch_teacher,1.0074038488997354
55.0,,denoising_patch_teacher,1.0509826905197568
56.0,,denoising_patch_teacher,1.0767801155646641
57.0,,denoising_patch_teacher,1.0471401926543977
58.0,,denoising_patch_teacher,1.016174187262853
