variant,parent,n,mse,mae,parent_mse,parent_mae,mse_delta_vs_parent,mse_delta_pct_vs_parent,mae_delta_pct_vs_parent,harm_rate_vs_parent,win_rate_vs_parent,max_config_harm,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,family_group,families,only_family_oracle_gain_pct_vs_parent,only_family_selection_rate,best_single_candidate,best_single_delta_pct_vs_parent,best_single_harm_vs_parent,best_single_max_config_harm
only::ensemble,SRA-BP-balanced,768,4.742475884597744,1.6390360948490847,4.766982513125085,1.6456270785485227,-0.024506628527341173,-0.5140910084829763,-0.40051502222483387,0.0,0.12369791666666667,0.0,8,8,False,1.0,768,0.0,-0.03415491604474287,-0.016507606387632254,1.0,ensemble,ensemble,-0.5140910084829763,0.12369791666666667,ensemble_median,2.381621697818794,0.3333333333333333,0.5
only::old_residual,SRA-BP-balanced,768,4.3861912714306195,1.5603054154697862,4.766982513125085,1.6456270785485227,-0.380791241694467,-7.988098128055037,-5.184750765982592,0.0,0.5442708333333334,0.0,8,8,False,1.0,768,0.0,-0.4276238508580126,-0.3359023108414753,1.0,old_residual,residual,-7.988098128055037,0.5442708333333334,mrc_ridge_residual_blend,0.4028985672207712,0.4856770833333333,0.5729166666666666
only::residual_distribution,SRA-BP-balanced,768,4.081105490528768,1.5156089888249182,4.766982513125085,1.6456270785485227,-0.6858770225963174,-14.388075040532723,-7.900823377809317,0.0,0.8450520833333334,0.0,8,8,False,1.0,768,0.0,-0.7463676645967311,-0.6284175219854714,1.0,residual_distribution,residual_distribution,-14.388075040532723,0.8450520833333334,residual_config_median,1.92518527920647,0.60546875,0.78125
only::retrieval_memory,SRA-BP-balanced,768,4.521174091025487,1.5936189996534509,4.766982513125085,1.6456270785485227,-0.2458084220995981,-5.1564783572660104,-3.1603805781383962,0.0,0.4713541666666667,0.0,8,8,False,1.0,768,0.0,-0.279089374667391,-0.2159811488289613,1.0,retrieval_memory,retrieval_memory,-5.1564783572660104,0.4713541666666667,residual_memory_knn_median,5.1742549837568905,0.5963541666666666,0.6458333333333334
only::smoothing_teacher,SRA-BP-balanced,768,4.25496568608716,1.5265484346411302,4.766982513125085,1.6456270785485227,-0.5120168270379258,-10.740900025416142,-7.236064885904519,0.0,0.7291666666666666,0.0,8,8,False,1.0,768,0.0,-0.5993710862779624,-0.4283469687574822,1.0,smoothing_teacher,smoothing_teacher,-10.740900025416142,0.7291666666666666,teacher_robust_trend,0.5123701775303049,0.3828125,0.65625
only::volatility_amplitude_level,SRA-BP-balanced,768,4.625930515517081,1.6140597153100835,4.766982513125085,1.6456270785485227,-0.14105199760800394,-2.958936747171772,-1.9182573900313162,0.0,0.70703125,0.0,8,8,False,1.0,768,0.0,-0.15726751330046568,-0.12636185095053154,1.0,volatility_amplitude_level,"amplitude,level,volatility",-2.958936747171772,0.70703125,volatility_shrink,-0.10579649945761298,0.37890625,0.625
