family_group,removed_families,full_oracle_mse,leave_one_out_mse,leave_one_out_degradation_pct_vs_full,leave_one_out_degradation_pct_vs_parent,family_oracle_share,candidate_count,test_threshold_leakage
ensemble,ensemble,3.752533161203111,3.752533229189142,1.8117369767391678e-06,-21.280742671380757,0.0013020833333333333,1,False
old_residual,residual,3.752533161203111,3.7914522014307757,1.0371404715707477,-20.464314835683144,0.16796875,2,False
residual_distribution,residual_distribution,3.752533161203111,4.044053702205179,7.768633285887863,-15.165333781126941,0.4505208333333333,4,False
retrieval_memory,retrieval_memory,3.752533161203111,3.760161330093627,0.20328051858554302,-21.12072318594148,0.053385416666666664,2,False
smoothing_teacher,smoothing_teacher,3.752533161203111,3.960635164989295,5.545640619066502,-16.915257067214377,0.20182291666666666,5,False
volatility_amplitude_level,"amplitude,level,volatility",3.752533161203111,3.756126039683162,0.09574541559346865,-21.205374018850755,0.059895833333333336,4,False
