atom_id,status,chosen_model,activation_train_rate,activation_calib_rate,activation_test_rate,activation_auroc_calib,activation_auroc_test,activation_pr_auc_test,coefficient_sign_accuracy_test,coefficient_r2_test,test_threshold_leakage
0,completed,random_forest,0.30597014925373134,0.29310344827586204,0.2864583333333333,0.7290172166427547,0.5654114134041143,0.32731755653226746,0.41796875,-0.21132512382915203,False
1,completed,random_forest,0.20149253731343283,0.2025862068965517,0.21484375,0.8220816561242094,0.699040152771496,0.35010172487206775,0.7408854166666666,0.07812571011388714,False
2,completed,logistic,0.0018656716417910447,0.004310344827586207,0.0,1.0,,,0.9947916666666666,,False
3,completed,logistic,0.033582089552238806,0.03017241379310345,0.11979166666666667,0.9619047619047619,0.840574350398765,0.44403910282892584,0.6666666666666666,0.15512746280690737,False
4,completed,random_forest,0.41044776119402987,0.4353448275862069,0.3138020833333333,0.7483939233618018,0.7152991567393925,0.5656372776666713,0.7421875,0.035587433626619425,False
