component,explained_variance_ratio,cumulative_evr
1,0.5210311133515179,0.5210311133515179
2,0.16882107679664185,0.6898521901481597
3,0.07515619520490549,0.7650083853530651
4,0.02359249327354643,0.7886008786266115
5,0.017511051118288216,0.8061119297448998
6,0.015508490836879184,0.821620420581779
7,0.01128671405663645,0.8329071346384155
8,0.010338063849635431,0.8432451984880509
