method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,buffer_size,mean_q90_width,mean_pointwise_coverage90
no_update,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,128,9.705354824999999,0.9649590386284723
rolling_mean_residual,768,4.864903421053939,1.6994202093696915,4.894157596003544,1.682162338434372,-0.029254174949605236,-0.5977366751270848,1.0259337305570893,0.53125,0.46875,0.9538858809192624,0.7865973303177394,1.212673666725021,0.42791599731472035,0.0,0,0.0,128,9.705354824999999,0.9684380425347223
time_ema_residual,768,4.901755280247155,1.7066583475771842,4.894157596003544,1.682162338434372,0.007597684243611002,0.15523987691550517,1.4562214619540823,0.5416666666666666,0.4583333333333333,1.016509316769955,0.8741497620243204,1.16285486686791,0.47517481659126726,0.0,0,0.0,128,9.705354824999999,0.9680514865451388
spectral_adapter,768,4.837440601375524,1.6806234954097636,4.894157596003544,1.682162338434372,-0.05671699462801976,-1.158871438027399,-0.09148005399363625,0.4674479166666667,0.5325520833333334,0.33900526403002396,0.2648871897324808,1.279809912945577,0.4593778626800409,0.0,0,0.0,128,9.705354824999999,0.9665866427951388
