dataset,backbone,horizon,seed,band,lag1_autocorr,mean_energy
ETTh1,DLinear,96,2026,0,0.546363601161025,4965.054634989708
ETTh1,DLinear,96,2026,1,0.6601851627115526,92.60850339098727
ETTh1,DLinear,96,2026,2,0.5692712803918388,35.85895791482753
ETTh1,DLinear,96,2026,3,0.5656519495136759,26.154525864964256
ETTh1,DLinear,192,2026,0,0.7046320784412469,10901.221382900507
ETTh1,DLinear,192,2026,1,0.7575701092691328,182.68036245116375
ETTh1,DLinear,192,2026,2,0.7576339549635147,72.01088698626904
ETTh1,DLinear,192,2026,3,0.6803965805206785,54.10701969713688
ETTh1,PatchTST,96,2026,0,0.5414456372535201,5089.520105498115
ETTh1,PatchTST,96,2026,1,0.5840096672109136,173.9243765334777
ETTh1,PatchTST,96,2026,2,0.41143175820827826,130.36970320969684
ETTh1,PatchTST,96,2026,3,0.4814023848600423,133.21533048305068
ETTh1,PatchTST,192,2026,0,0.6854238631778077,11167.854931285285
ETTh1,PatchTST,192,2026,1,0.5148085902512467,364.2661573847033
ETTh1,PatchTST,192,2026,2,0.4778762150506428,262.1782079126577
ETTh1,PatchTST,192,2026,3,0.528023416226965,261.81713724752154
ETTm1,DLinear,96,2026,0,0.08075750690853342,2977.9562356432593
ETTm1,DLinear,96,2026,1,0.008661104093906958,29.512536603175736
ETTm1,DLinear,96,2026,2,0.11568521834586852,10.10478425478407
ETTm1,DLinear,96,2026,3,0.12770515894501308,7.618223791460693
ETTm1,DLinear,192,2026,0,0.08645420829494134,9672.877232156716
ETTm1,DLinear,192,2026,1,0.21401990924259162,50.58117757456446
ETTm1,DLinear,192,2026,2,0.22975527998478384,18.90027157173323
ETTm1,DLinear,192,2026,3,0.21197671904772072,12.952555710598846
ETTm1,PatchTST,96,2026,0,0.0890224993898842,2968.995458659019
ETTm1,PatchTST,96,2026,1,0.11856872574005717,70.06924789262725
ETTm1,PatchTST,96,2026,2,0.24615695896690817,57.184876030562975
ETTm1,PatchTST,96,2026,3,0.11526931182294683,62.81290290891661
ETTm1,PatchTST,192,2026,0,0.06944488369820544,9538.40340698504
ETTm1,PatchTST,192,2026,1,0.24636920021056694,134.5804842267133
ETTm1,PatchTST,192,2026,2,0.13853489425262971,100.1997915624758
ETTm1,PatchTST,192,2026,3,0.03867157610744494,88.15720870246874
