variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,mean_expected_harm,mean_lambda_scale,boundary_veto_rate,mean_weight_smoothing_teacher,mean_weight_residual_distribution,mean_weight_retrieval_memory
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,False,0.0,0,0.0,,0.0,0.0,0.0,,,,,,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8,8,False,0.0,0,0.0,0.06989983253004452,-0.15384714945596734,-0.09920247122496113,1.0,,,,,,
oracle_stage12_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8,8,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,,,,,,
Sparse-Family-CGA,768,4.823735595698971,1.665719496129702,4.894157596003544,1.682162338434372,-0.07042200030457325,-1.4388993157512555,-0.9774824837789183,0.2513020833333333,0.7473958333333334,0.4895833333333333,0.75,6,8,False,0.9986979166666666,767,0.2516297262059974,0.0387063716909454,-0.1024938985233521,-0.03787656647524288,1.0,0.0014739209662957234,1.0,0.0,0.15784920409775557,0.17809805558478164,0.013597011150602467
Sparse-Residual-Simplex-CGA,768,4.849833568502527,1.6715977984627237,4.894157596003544,1.682162338434372,-0.04432402750101703,-0.905651821401212,-0.6280333156595121,0.2265625,0.7721354166666666,0.4791666666666667,0.875,7,8,False,0.9986979166666666,767,0.22685788787483702,0.024362021468774402,-0.06296115262888988,-0.025582549546262812,1.0,0.0014739209662957234,1.0,0.0,0.09019954519871744,0.10177031747701805,0.007769720657487122
NoHarm-Selective-CGA,768,4.8489604572372835,1.6715467764716718,4.894157596003544,1.682162338434372,-0.04519713876626027,-0.9234916895773526,-0.6310664349716509,0.23567708333333334,0.7630208333333334,0.4791666666666667,0.875,7,8,False,0.9986979166666666,767,0.23598435462842243,0.02484191367595247,-0.06379386624799997,-0.026707271105823466,1.0,0.0014705363439682405,1.0,0.0,0.08989984018188979,0.10198496200179574,0.007854781149536643
LambdaVeto-CGA,768,4.845183012122646,1.6709934322140025,4.894157596003544,1.682162338434372,-0.04897458388089918,-1.0006744331409079,-0.6639612538447697,0.20833333333333334,0.7825520833333334,0.4583333333333333,1.0,8,8,False,0.9908854166666666,761,0.2102496714848883,0.026918128410225856,-0.0661709816779218,-0.0317331825070617,1.0,0.0016396891374557178,1.0,0.18880208333333334,0.07185513078348817,0.10820279820010213,0.01811915434962721
