variant,dataset,backbone,horizon,seed,n,mse,mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
LRBN,ETTh1,DLinear,96,2026,96,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0,0.0
LRBN,ETTh1,DLinear,192,2026,96,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0,0.0
LRBN,ETTh1,PatchTST,96,2026,96,5.8042865388731295,1.8533736928487337,0.0,0.0,0.0,0.0,0.0
LRBN,ETTh1,PatchTST,192,2026,96,7.242316015180876,2.0944762102183376,0.0,0.0,0.0,0.0,0.0
LRBN,ETTm1,DLinear,96,2026,96,2.8177423433450954,1.2739993115635848,0.0,0.0,0.0,0.0,0.0
LRBN,ETTm1,DLinear,192,2026,96,3.994698335172625,1.5380548779931642,0.0,0.0,0.0,0.0,0.0
LRBN,ETTm1,PatchTST,96,2026,96,3.013168467192729,1.3271271209399849,0.0,0.0,0.0,0.0,0.0
LRBN,ETTm1,PatchTST,192,2026,96,4.215013369115137,1.5842038217125196,0.0,0.0,0.0,0.0,0.0
SRA-BP-balanced,ETTh1,DLinear,96,2026,96,5.092716103615506,1.7166752436703696,-3.815166272317528,-2.826504644170939,0.0625,0.3645833333333333,0.0
SRA-BP-balanced,ETTh1,DLinear,192,2026,96,6.647688769334823,1.9897684724907496,-1.8257675613097273,-1.4700343194971879,0.11458333333333333,0.23958333333333334,0.0
SRA-BP-balanced,ETTh1,PatchTST,96,2026,96,5.656138297549248,1.8207390890575013,-2.5523936503900533,-1.760821562379529,0.0625,0.2708333333333333,0.0
SRA-BP-balanced,ETTh1,PatchTST,192,2026,96,7.1765952399686865,2.079197176348409,-0.907455225423527,-0.72949187593717,0.10416666666666667,0.21875,0.0
SRA-BP-balanced,ETTm1,DLinear,96,2026,96,2.6497538254477084,1.2128107388684082,-5.961812573032402,-4.8028732558569684,0.052083333333333336,0.5,0.0
SRA-BP-balanced,ETTm1,DLinear,192,2026,96,3.9061928594973883,1.5075104402520072,-2.2155734432911722,-1.985913375367964,0.19791666666666666,0.375,0.0
SRA-BP-balanced,ETTm1,PatchTST,96,2026,96,2.878273894125695,1.2840796064446778,-4.476834736858485,-3.2436617029159183,0.052083333333333336,0.3541666666666667,0.0
SRA-BP-balanced,ETTm1,PatchTST,192,2026,96,4.128501115461629,1.5542358612560612,-2.052478743772565,-1.8916732718707772,0.1875,0.3333333333333333,0.0
oracle_stage12_cga_full,ETTh1,DLinear,96,2026,96,3.052119035499537,1.3249709111007102,-42.35540400070494,-24.99917769950509,0.0,1.0,0.0
oracle_stage12_cga_full,ETTh1,DLinear,192,2026,96,3.874710001286639,1.5034354520360698,-42.777603779664645,-25.552421912003272,0.0,1.0,0.0
oracle_stage12_cga_full,ETTh1,PatchTST,96,2026,96,3.6893583348902,1.480027483783724,-36.43734998565037,-20.14414084386526,0.0,1.0,0.0
oracle_stage12_cga_full,ETTh1,PatchTST,192,2026,96,4.848944761801893,1.7170413481908435,-33.04704248002225,-18.02048924614425,0.0,1.0,0.0
oracle_stage12_cga_full,ETTm1,DLinear,96,2026,96,1.7021757687686503,0.9699180477763091,-39.59079414241317,-23.868243776933532,0.0,1.0,0.0
oracle_stage12_cga_full,ETTm1,DLinear,192,2026,96,2.445506684734806,1.1885827728246852,-38.78119238490016,-22.72169269748664,0.0,1.0,0.0
oracle_stage12_cga_full,ETTm1,PatchTST,96,2026,96,2.043750700772733,1.077465029379348,-32.1727037089931,-18.812221206253607,0.0,1.0,0.0
oracle_stage12_cga_full,ETTm1,PatchTST,192,2026,96,2.941572519165476,1.3160155014921242,-30.212023910989245,-16.928902383128605,0.0,1.0,0.0
Sparse-Family-CGA,ETTh1,DLinear,96,2026,96,5.174687482349541,1.744261886083196,-2.2669936944502997,-1.2649451921696355,0.17708333333333334,0.8229166666666666,1.0
Sparse-Family-CGA,ETTh1,DLinear,192,2026,96,6.731905382906025,2.000589284584233,-0.5820418589813646,-0.9342060291267156,0.4166666666666667,0.5833333333333334,1.0
Sparse-Family-CGA,ETTh1,PatchTST,96,2026,96,5.6530789455722585,1.8279382509675253,-2.6051021435223096,-1.3723860353749902,0.0625,0.9375,1.0
Sparse-Family-CGA,ETTh1,PatchTST,192,2026,96,7.074434264677045,2.0698984707146995,-2.3180671751981192,-1.1734551706238077,0.1875,0.8125,1.0
Sparse-Family-CGA,ETTm1,DLinear,96,2026,96,2.8261457167469324,1.2670003882303904,0.2982307233257449,-0.549366331263395,0.4166666666666667,0.5729166666666666,0.9895833333333334
Sparse-Family-CGA,ETTm1,DLinear,192,2026,96,4.039974154645254,1.5351572781805771,1.1333977076727808,-0.18839378459164327,0.4895833333333333,0.5104166666666666,1.0
Sparse-Family-CGA,ETTm1,PatchTST,96,2026,96,2.9448086012468835,1.3112736741868771,-2.268703740374119,-1.1945688083310428,0.125,0.875,1.0
Sparse-Family-CGA,ETTm1,PatchTST,192,2026,96,4.144850217447828,1.5696367360901153,-1.6646009242807756,-0.9195209183819041,0.13541666666666666,0.8645833333333334,1.0
Sparse-Residual-Simplex-CGA,ETTh1,DLinear,96,2026,96,5.222419904102559,1.7525285918489921,-1.3654835872092639,-0.7970030507406871,0.14583333333333334,0.8541666666666666,1.0
Sparse-Residual-Simplex-CGA,ETTh1,DLinear,192,2026,96,6.742453681222582,2.006986108189949,-0.4262627415862406,-0.6174461568693804,0.4166666666666667,0.5833333333333334,1.0
