variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,mean_expected_harm,mean_lambda_scale,boundary_veto_rate,mean_weight_smoothing_teacher,mean_weight_residual_distribution,mean_weight_retrieval_memory,family_rep,k_max,tau_leave,tau_family_gain,tau_family_harm,beta_harm,safe_floor,temperature,risk_gate,tau_expected_harm,dynamic_lambda,boundary_veto,boundary_veto_mult,boundary_gap_quantile,boundary_repair_quantile,calibration_feasible,calibration_score,target_variant
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.55,0.5,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.55,0.5,0.04,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.55,0.5,0.04,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.55,0.5,0.04,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.55,0.5,0.06,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.55,0.5,0.06,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.55,0.5,0.06,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.55,0.5,0.06,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.55,0.5,0.1,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.55,0.5,0.1,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.55,0.5,0.1,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.55,0.5,0.1,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.55,0.6,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.55,0.6,0.04,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.55,0.6,0.04,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.55,0.6,0.04,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.55,0.6,0.06,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.55,0.6,0.06,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.55,0.6,0.06,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.55,0.6,0.06,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.55,0.6,0.1,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.55,0.6,0.1,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.55,0.6,0.1,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.55,0.6,0.1,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.65,0.5,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.65,0.5,0.04,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.65,0.5,0.04,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.65,0.5,0.04,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.65,0.5,0.06,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.65,0.5,0.06,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.65,0.5,0.06,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.65,0.5,0.06,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.65,0.5,0.1,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.04735352809962832,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.02498680251460031,0.0007167612519626387,1.0,0.0,0.0181034482758439,0.18189655172395558,0.0,median,1,0.65,0.5,0.1,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.07731880583495919,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876239,0.0007167612519626372,1.0,0.0,0.03168103448272676,0.31831896551692196,0.0,median,1,0.65,0.5,0.1,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067686,Sparse-Family-CGA
Sparse-Family-CGA,232,9.078762217436173,2.326981084510854,9.1261157455358,2.332075092367097,-0.047353528099628256,-0.5188793279430322,-0.21843241030586272,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.024986802514600275,0.0007167612519626372,1.0,0.0,0.01810344827584386,0.1818965517239554,0.0,median,1,0.65,0.5,0.1,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.24610578160575,Sparse-Family-CGA
Sparse-Family-CGA,232,9.048796939700843,2.323848902952284,9.1261157455358,2.332075092367097,-0.0773188058349593,-0.8472257848368528,-0.3527411877286245,0.38362068965517243,0.6163793103448276,0.4827586206896552,1.0,8,8,False,1.0,232,0.38362068965517243,0.04079843275876245,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,median,1,0.65,0.6,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,114.47074443067685,Sparse-Family-CGA
