variant,family_top2_hit,family_top1_hit,candidate_top2_hit
FamilyMix Selector,0.6822916666666666,0.4348958333333333,0.109375
Two-stage Cost-Sensitive Router,0.6822916666666666,0.4348958333333333,0.109375
ListSafe Top-k Selector,0.6770833333333334,0.4322916666666667,0.08203125
Retrieval-Prior Selector,0.6822916666666666,0.4127604166666667,0.109375
Bayes-Abstain Selector,0.6822916666666666,0.4348958333333333,0.0546875
