variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,selected_nonharm_rate,mean_expected_harm,mean_accept_score,tau_leave,tau_family_gain,tau_family_harm,tau_candidate_gain,tau_candidate_harm,beta_harm,lambda_existing,lambda_smoothing,lambda_residual,lambda_memory,calibration_score,target_variant,tau_select,tau_harm,lam,residual_cap,top_k_family,top_k_candidate,mix_temp,max_coverage,uncertainty_beta,retrieval_weight,calibration_feasible_safe,calibration_feasible_balanced
FamilyMix Selector,232,9.09441036203217,2.3289524568457223,9.1261157455358,2.332075092367097,-0.031705383503633236,-0.3474137777005407,-0.1338994408115501,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.4224137931034483,98,0.0,0.01672982326867358,0.3163265306122449,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,0.9179897569259877,FamilyMix Selector,0.0,0.15,0.35,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.083249245460971,2.327845904194798,9.1261157455358,2.332075092367097,-0.04286650007482926,-0.46971242994400186,-0.18134871248384815,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.25,58,0.0,0.02261915457721228,0.5344827586206896,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,0.6779044785117525,FamilyMix Selector,0.0,0.15,0.5,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.083249245460971,2.327845904194798,9.1261157455358,2.332075092367097,-0.04286650007482926,-0.46971242994400186,-0.18134871248384815,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.4224137931034483,98,0.0,0.02261915457721228,0.3163265306122449,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,0.6779044785117525,FamilyMix Selector,0.0,0.15,0.5,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.083249245460971,2.327845904194798,9.1261157455358,2.332075092367097,-0.04286650007482926,-0.46971242994400186,-0.18134871248384815,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.4224137931034483,98,0.0,0.02261915457721228,0.3163265306122449,1.0,0.019813500112264924,0.045425388962195876,0.45,,,,,1.5,,,,,0.6779044785117525,FamilyMix Selector,0.0,0.15,0.5,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.106881123982028,2.3301875321194028,9.1261157455358,2.332075092367097,-0.019234621553773496,-0.21076460203899297,-0.0809390849282051,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.010149437845392248,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,1.1862466410531618,FamilyMix Selector,0.1,0.15,0.2,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.106881123982028,2.3301875321194028,9.1261157455358,2.332075092367097,-0.019234621553773496,-0.21076460203899297,-0.0809390849282051,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.010149437845392248,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,1.1862466410531618,FamilyMix Selector,0.1,0.15,0.2,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.106881123982028,2.3301875321194028,9.1261157455358,2.332075092367097,-0.019234621553773496,-0.21076460203899297,-0.0809390849282051,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.010149437845392248,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,1.1862466410531618,FamilyMix Selector,0.1,0.15,0.2,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.094199626618398,2.328941441813191,9.1261157455358,2.332075092367097,-0.03191611891740355,-0.34972292454260073,-0.13437176833308853,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.016841020984620595,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,0.9134566557649875,FamilyMix Selector,0.1,0.15,0.35,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.094199626618398,2.328941441813191,9.1261157455358,2.332075092367097,-0.03191611891740355,-0.34972292454260073,-0.13437176833308853,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.016841020984620595,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,0.9134566557649875,FamilyMix Selector,0.1,0.15,0.35,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.094199626618398,2.328941441813191,9.1261157455358,2.332075092367097,-0.03191611891740355,-0.34972292454260073,-0.13437176833308853,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.016841020984620595,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,0.9134566557649875,FamilyMix Selector,0.1,0.15,0.35,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
