selector,split,level,n,positive_rate,roc_auc,pr_auc
leave_lrbn,inner_train,sample,536,1.0,,
family_best,inner_train,family,4824,0.1111111111111111,0.9348241882936066,0.655521948553878
family_gain,inner_train,family,4824,0.6743366500829188,0.9393129350510904,0.9700422508673414
family_harm,inner_train,family,4824,0.14324212271973466,0.926534619698218,0.6526173402250163
candidate_best,inner_train,candidate,11792,0.045454545454545456,0.9307168846598564,0.4324532532590463
candidate_gain,inner_train,candidate,11792,0.5158582089552238,0.8899031229894557,0.8910761477233027
candidate_harm,inner_train,candidate,11792,0.278578697421981,0.8634463443928976,0.6852283329280793
