variant,mse_delta_pct_vs_lrbn,harm_rate,max_config_harm,selected_nonharm_rate,family_top2_hit,candidate_top2_hit,oracle_gain_fraction,coverage,bootstrap_high_delta_raw,safe_gate_pass,balanced_gate_pass,compact_gate_pass
FamilyMix Selector,-1.3717502272030029,0.0026041666666666665,0.010416666666666666,0.9961089494163424,0.6822916666666666,0.109375,0.03690006213779931,0.6692708333333334,-0.0589871719142377,False,False,False
Two-stage Cost-Sensitive Router,-0.8657460187957554,0.0,0.0,1.0,0.6822916666666666,0.109375,0.02328855593066234,0.3502604166666667,-0.035612632380679556,False,False,False
ListSafe Top-k Selector,-1.3109791073508872,0.0026041666666666665,0.010416666666666666,0.9961685823754789,0.6770833333333334,0.08203125,0.03526531985435924,0.6796875,-0.056169715803070695,False,False,False
Retrieval-Prior Selector,-0.9991186107843731,0.0026041666666666665,0.010416666666666666,0.9947916666666666,0.6822916666666666,0.109375,0.0268762768103549,0.5,-0.04201081877026148,False,False,False
Bayes-Abstain Selector,-0.6184867527844886,0.0,0.0,1.0,0.6822916666666666,0.0546875,0.01663728509503338,0.3190104166666667,-0.02482760746216305,False,False,False
