variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,accept_precision,selected_nonharm_rate,mean_expected_harm,mean_accept_score
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,False,0.0,0,0.0,,0.0,0.0,0.0,,,,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8,8,False,0.0,0,0.0,0.06989983253004452,-0.15384714945596734,-0.09920247122496113,1.0,,,,
oracle_stage14_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8,8,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,,,,
Stage10 hard selector,768,4.835256543120913,1.671961437773896,4.894157596003544,1.682162338434372,-0.05890105288263073,-1.2034972639699786,-0.606415942549789,0.0,0.13411458333333334,0.0,0.5,4,8,False,0.13411458333333334,103,0.0,0.03237405975409479,-0.07132435585639059,-0.047563788311623605,1.0,1.0,1.0,0.0,0.07589396113143598
FamilyMix Selector,768,4.8270219779235175,1.6690956961026686,4.894157596003544,1.682162338434372,-0.06713561808002688,-1.3717502272030029,-0.7767765307471562,0.0026041666666666665,0.4739583333333333,0.010416666666666666,1.0,8,8,False,0.6692708333333334,514,0.0038910505836575876,0.03690006213779931,-0.07607846587183417,-0.0589871719142377,1.0,0.708171206225681,0.9961089494163424,0.11594321152995264,0.03148917532203959
Two-stage Cost-Sensitive Router,768,4.851786621375979,1.6745228232245488,4.894157596003544,1.682162338434372,-0.04237097462756569,-0.8657460187957554,-0.45414850813498925,0.0,0.24869791666666666,0.0,1.0,8,8,False,0.3502604166666667,269,0.0,0.02328855593066234,-0.04986037549483232,-0.035612632380679556,1.0,0.7100371747211895,1.0,0.05635281564893657,0.0415407954151316
ListSafe Top-k Selector,768,4.829996212308013,1.6698081584421143,4.894157596003544,1.682162338434372,-0.06416138369553029,-1.3109791073508872,-0.7344225724559861,0.0026041666666666665,0.4453125,0.010416666666666666,1.0,8,8,False,0.6796875,522,0.0038314176245210726,0.03526531985435924,-0.07311179923086582,-0.056169715803070695,1.0,0.6551724137931034,0.9961685823754789,0.10675561624980982,0.04359022342022856
Retrieval-Prior Selector,768,4.845259156520844,1.6729234961617383,4.894157596003544,1.682162338434372,-0.048898439482700555,-0.9991186107843731,-0.5492241745413293,0.0026041666666666665,0.3776041666666667,0.010416666666666666,1.0,8,8,False,0.5,384,0.005208333333333333,0.0268762768103549,-0.056387212268977624,-0.04201081877026148,1.0,0.7552083333333334,0.9947916666666666,0.10040233770973088,0.04706109109357326
Bayes-Abstain Selector,768,4.863887879550018,1.6766720399061423,4.894157596003544,1.682162338434372,-0.03026971645352625,-0.6184867527844886,-0.32638339178971854,0.0,0.18098958333333334,0.0,0.75,6,8,False,0.3190104166666667,245,0.0,0.01663728509503338,-0.03590756451360588,-0.02482760746216305,1.0,0.5673469387755102,1.0,0.0363267676433406,0.015668692615457277
