split,method,dataset,backbone,horizon,seed,n,coverage,mean_strength,lrbn_mse,method_mse,method_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn
val,LRBN,ETTh1,DLinear,96,2026,96,0.0,0.0,9.535620690105475,9.535620690105475,2.511128074739583,0.0,0.0,0.0,0.0
val,LRBN,ETTh1,DLinear,192,2026,96,0.0,0.0,10.618143575280191,10.618143575280191,2.6343761562879773,0.0,0.0,0.0,0.0
val,LRBN,ETTh1,PatchTST,96,2026,96,0.0,0.0,10.528241004299185,10.528241004299185,2.6130248384114583,0.0,0.0,0.0,0.0
val,LRBN,ETTh1,PatchTST,192,2026,96,0.0,0.0,11.609037853274186,11.609037853274186,2.727519098388672,0.0,0.0,0.0,0.0
val,LRBN,ETTm1,DLinear,96,2026,96,0.0,0.0,5.436033967295309,5.436033967295309,1.7259651724934895,0.0,0.0,0.0,0.0
val,LRBN,ETTm1,DLinear,192,2026,96,0.0,0.0,8.33279445849474,8.33279445849474,2.2139451141493054,0.0,0.0,0.0,0.0
val,LRBN,ETTm1,PatchTST,96,2026,96,0.0,0.0,5.742462045489039,5.742462045489039,1.7778711557291669,0.0,0.0,0.0,0.0
val,LRBN,ETTm1,PatchTST,192,2026,96,0.0,0.0,8.575089807437628,8.575089807437628,2.239150164908854,0.0,0.0,0.0,0.0
test,LRBN,ETTh1,DLinear,96,2026,96,0.0,0.0,5.294718415187439,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
test,LRBN,ETTh1,DLinear,192,2026,96,0.0,0.0,6.7713172839613245,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
test,LRBN,ETTh1,PatchTST,96,2026,96,0.0,0.0,5.8042865388731295,5.8042865388731295,1.8533736928487337,0.0,0.0,0.0,0.0
test,LRBN,ETTh1,PatchTST,192,2026,96,0.0,0.0,7.242316015180876,7.242316015180876,2.0944762102183376,0.0,0.0,0.0,0.0
test,LRBN,ETTm1,DLinear,96,2026,96,0.0,0.0,2.8177423433450954,2.8177423433450954,1.2739993115635848,0.0,0.0,0.0,0.0
test,LRBN,ETTm1,DLinear,192,2026,96,0.0,0.0,3.994698335172625,3.994698335172625,1.5380548779931642,0.0,0.0,0.0,0.0
test,LRBN,ETTm1,PatchTST,96,2026,96,0.0,0.0,3.013168467192729,3.013168467192729,1.3271271209399849,0.0,0.0,0.0,0.0
test,LRBN,ETTm1,PatchTST,192,2026,96,0.0,0.0,4.215013369115137,4.215013369115137,1.5842038217125196,0.0,0.0,0.0,0.0
val,LRBN-BP-always,ETTh1,DLinear,96,2026,96,1.0,1.0,9.535620690105475,9.038120074699393,2.3989237255497304,-0.4975006154060824,-5.217286121716012,0.3958333333333333,0.6041666666666666
val,LRBN-BP-always,ETTh1,DLinear,192,2026,96,1.0,1.0,10.618143575280191,10.410931508211743,2.5760084422531437,-0.20721206706845008,-1.9514905350847243,0.4583333333333333,0.5416666666666666
val,LRBN-BP-always,ETTh1,PatchTST,96,2026,96,1.0,1.0,10.528241004299185,10.321501137053382,2.5605469297960073,-0.20673986724580296,-1.9636695908178223,0.46875,0.53125
val,LRBN-BP-always,ETTh1,PatchTST,192,2026,96,1.0,1.0,11.609037853274186,11.406722352737567,2.6844304653515736,-0.20231550053661862,-1.7427413272262187,0.4479166666666667,0.5520833333333334
val,LRBN-BP-always,ETTm1,DLinear,96,2026,96,1.0,1.0,5.436033967295309,5.149683238938606,1.6593776319218294,-0.2863507283567027,-5.267640517934658,0.4479166666666667,0.5520833333333334
val,LRBN-BP-always,ETTm1,DLinear,192,2026,96,1.0,1.0,8.33279445849474,7.743102054473117,2.1167088765123654,-0.589692404021624,-7.076766458733348,0.5208333333333334,0.4791666666666667
val,LRBN-BP-always,ETTm1,PatchTST,96,2026,96,1.0,1.0,5.742462045489039,5.534217732562349,1.7314133017698052,-0.2082443129266911,-3.6263942349890734,0.4583333333333333,0.5416666666666666
val,LRBN-BP-always,ETTm1,PatchTST,192,2026,96,1.0,1.0,8.575089807437628,7.7495830567357915,2.113886002357583,-0.8255067507018375,-9.62680004847472,0.4270833333333333,0.5729166666666666
test,LRBN-BP-always,ETTh1,DLinear,96,2026,96,1.0,1.0,5.294718415187439,4.921392650974,1.6931823892891398,-0.37332576421343827,-7.050908740255108,0.4583333333333333,0.5416666666666666
test,LRBN-BP-always,ETTh1,DLinear,192,2026,96,1.0,1.0,6.7713172839613245,6.500329410455099,1.95986854597934,-0.27098787350622544,-4.00199638773231,0.4166666666666667,0.5833333333333334
test,LRBN-BP-always,ETTh1,PatchTST,96,2026,96,1.0,1.0,5.8042865388731295,5.510256861762879,1.7977944410953073,-0.29402967711025224,-5.065733309933413,0.40625,0.59375
test,LRBN-BP-always,ETTh1,PatchTST,192,2026,96,1.0,1.0,7.242316015180876,7.012152562947811,2.0495606399191604,-0.23016345223306475,-3.1780365760456597,0.4270833333333333,0.5729166666666666
test,LRBN-BP-always,ETTm1,DLinear,96,2026,96,1.0,1.0,2.8177423433450954,2.4981920719432864,1.1762918627372305,-0.3195502714018093,-11.340649049138701,0.3541666666666667,0.6458333333333334
test,LRBN-BP-always,ETTm1,DLinear,192,2026,96,1.0,1.0,3.994698335172625,3.863337753375576,1.4956187525826243,-0.1313605817970487,-3.2883729995730664,0.4270833333333333,0.5729166666666666
test,LRBN-BP-always,ETTm1,PatchTST,96,2026,96,1.0,1.0,3.013168467192729,2.7348446154754416,1.2541480688620767,-0.2783238517172865,-9.236916349815013,0.4166666666666667,0.5833333333333334
test,LRBN-BP-always,ETTm1,PatchTST,192,2026,96,1.0,1.0,4.215013369115137,4.111339745050376,1.548350905800363,-0.1036736240647597,-2.4596274018595117,0.4791666666666667,0.5208333333333334
val,LRBN-BP-gap-strength,ETTh1,DLinear,96,2026,96,0.8645833333333334,0.13209671711246082,9.535620690105475,9.40722712347371,2.486840552877118,-0.1283935666317638,-1.346462602380403,0.3645833333333333,0.625
val,LRBN-BP-gap-strength,ETTh1,DLinear,192,2026,96,0.78125,0.1364101372047544,10.618143575280191,10.460353107871708,2.6065089481774897,-0.15779046740848524,-1.4860457116743728,0.3854166666666667,0.6145833333333334
val,LRBN-BP-gap-strength,ETTh1,PatchTST,96,2026,96,0.78125,0.16242163627087478,10.528241004299185,10.433703023010201,2.598303285088184,-0.09453798128898298,-0.897946591083774,0.4479166666666667,0.5520833333333334
val,LRBN-BP-gap-strength,ETTh1,PatchTST,192,2026,96,0.8125,0.18925086298052293,11.609037853274186,11.422070576335747,2.6967352842712065,-0.18696727693843865,-1.6105320625227726,0.3854166666666667,0.6145833333333334
val,LRBN-BP-gap-strength,ETTm1,DLinear,96,2026,96,0.8229166666666666,0.22721761918736785,5.436033967295309,5.301231706147405,1.694178909312041,-0.13480226114790406,-2.4797906288101332,0.3958333333333333,0.59375
val,LRBN-BP-gap-strength,ETTm1,DLinear,192,2026,96,0.8645833333333334,0.20489053223643103,8.33279445849474,8.097736948931033,2.1746660052219826,-0.23505750956370783,-2.820872523046514,0.4895833333333333,0.5104166666666666
val,LRBN-BP-gap-strength,ETTm1,PatchTST,96,2026,96,0.8645833333333334,0.2469567871505242,5.742462045489039,5.6034726096734895,1.7436913626986597,-0.13898943581554984,-2.4203805697365266,0.40625,0.5729166666666666
val,LRBN-BP-gap-strength,ETTm1,PatchTST,192,2026,96,0.8854166666666666,0.32626790584877347,8.575089807437628,8.037633314695407,2.159771034692856,-0.5374564927422228,-6.267648551613905,0.375,0.625
test,LRBN-BP-gap-strength,ETTh1,DLinear,96,2026,96,0.875,0.12732851145311513,5.294718415187439,5.157268296542315,1.7447376528875502,-0.13745011864512333,-2.5959854256132133,0.3541666666666667,0.6458333333333334
test,LRBN-BP-gap-strength,ETTh1,DLinear,192,2026,96,0.8125,0.08029144581698498,6.7713172839613245,6.659851297261809,1.9986131816334616,-0.111465986699516,-1.6461492182462252,0.34375,0.65625
test,LRBN-BP-gap-strength,ETTh1,PatchTST,96,2026,96,0.8020833333333334,0.15432030775786068,5.8042865388731295,5.72220701274212,1.8418091694266832,-0.08207952613100998,-1.4141191245450229,0.3020833333333333,0.6875
test,LRBN-BP-gap-strength,ETTh1,PatchTST,192,2026,96,0.8645833333333334,0.10027666199874939,7.242316015180876,7.174822540418941,2.082206020616808,-0.06749347476193492,-0.9319321958233494,0.3645833333333333,0.6354166666666666
test,LRBN-BP-gap-strength,ETTm1,DLinear,96,2026,96,0.8958333333333334,0.23959170120785686,2.8177423433450954,2.658485606619775,1.2320486540824063,-0.1592567367253206,-5.651926853292958,0.34375,0.65625
