feature,bin,n,mean_feature,mean_delta_mse_vs_lrbn,harm_rate_vs_lrbn,mean_win_size,mean_loss_size,win_loss_ratio,true_boundary_jump
conflict_cosine,"(-inf, -0.2]",200,-0.5556129364854566,-0.10376030620178725,0.425,0.4918646554635182,0.4213220486817311,1.1674315297008346,0.9387650483477161
conflict_cosine,"(-0.2, 0.2]",381,0.008546765498510134,-0.23360391210566325,0.42782152230971127,0.7492007879213122,0.45596736966005147,1.6431017246889068,0.8768130240216019
conflict_cosine,"(0.2, inf]",187,0.6043624554126544,-0.44053848913153903,0.4117647058823529,0.9632345828450412,0.30617021617346407,3.1460752891736448,0.8373852990482202
