segment,rows,mean_delta_mse_vs_lrbn,harm_rate,lrbn_mse,method_mse,delta_pct_vs_lrbn
early,768,-0.6288581927686018,0.36328125,3.1954194452432705,2.5665612524746684,-19.679988858324283
late,768,-0.047414396243841854,0.4466145833333333,6.345977742617602,6.298563346373759,-0.7471566729695094
mid,768,-0.16221747950474935,0.46484375,5.0176165980766525,4.855399118571904,-3.232958836345408
