config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,raw_gap,post_lrbn_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,true_boundary_jump,mse_lrbn,mse_bp,delta_mse_vs_lrbn,harm_vs_lrbn,effective_strength,case_type
ETTh1_DLinear_192_seed2026,test::test_00060,test_00060,test,ETTh1,DLinear,192,2026,0.7280743050979592,4.571762467456284,-5.279252390474705,-0.6616097208355219,0.316632501465354,0.4279556328499713,0.5535619703278549,3.617196926912944,17.21481054780888,21.591839919294497,4.377029371485616,1,1.0,top_harm
ETTh1_PatchTST_192_seed2026,test::test_00060,test_00060,test,ETTh1,PatchTST,192,2026,5.658999237542487,4.018538296942797,0.28988534691962087,0.035624764735626244,0.6618333135841582,0.4279556328499713,0.5535619703278549,3.617196926912944,16.991471717168114,20.76467146681661,3.7731997496484944,1,1.0,top_harm
ETTh1_PatchTST_192_seed2026,test::test_00004,test_00004,test,ETTh1,PatchTST,192,2026,2.6866182608261697,6.208219820006063,-1.3107934120699762,-0.022596075374023427,0.9175657856548447,0.5483343210609246,0.8210319557034945,1.1544052153716409,8.117882250957637,11.83169400400584,3.713811753048203,1,1.0,top_harm
ETTh1_PatchTST_96_seed2026,test::test_00003,test_00003,test,ETTh1,PatchTST,96,2026,6.415820945882452,6.895219904587744,-0.07472137179123228,-0.0325816578933149,1.2116372629344698,0.6528485185809518,0.39503806165312294,0.8608428816252458,4.889767300611717,7.556359253324548,2.666591952712831,1,1.0,top_harm
ETTh1_DLinear_192_seed2026,test::test_00081,test_00081,test,ETTh1,DLinear,192,2026,10.45602817149073,5.032730010025423,0.5186766986051488,0.7430738974356793,0.2192645626224891,0.43574699926907506,0.8826222876542215,0.16064344704018227,9.54557094283887,12.16854533340556,2.622974390566691,1,1.0,top_harm
ETTh1_PatchTST_96_seed2026,test::test_00040,test_00040,test,ETTh1,PatchTST,96,2026,2.7617471427283027,2.6906181850289466,0.02575506388152371,0.05814774250326014,0.5076851369940212,0.5945510994094428,0.25655206673546177,0.7097791937802569,9.766946328200676,12.150628265834627,2.38368193763395,1,1.0,top_harm
ETTh1_DLinear_192_seed2026,test::test_00004,test_00004,test,ETTh1,DLinear,192,2026,1.4797140518764802,4.090480777603539,-1.7643724285798688,-0.43358868924110205,0.617398917210619,0.5483343210609246,0.8210319557034945,1.1544052153716409,7.90175049686867,10.232926497819797,2.3311760009511273,1,1.0,top_harm
ETTm1_PatchTST_192_seed2026,test::test_00010,test_00010,test,ETTm1,PatchTST,192,2026,3.2074920464740124,8.563000627958637,-1.6696872152190765,0.04882346614084243,0.7103359155831726,0.22515687943603796,0.11414287406054466,1.2524600656499592,9.253877000210158,11.404031251188618,2.15015425097846,1,1.0,top_harm
ETTm1_PatchTST_192_seed2026,test::test_00020,test_00020,test,ETTm1,PatchTST,192,2026,1.2844233137197982,2.7738425356162204,-1.1596014672263077,0.005527113312345826,0.5986824175557828,0.34406491635545555,0.6062810245508857,0.406900829886894,15.48446541204538,17.41262627322318,1.9281608611777994,1,1.0,top_harm
ETTh1_PatchTST_96_seed2026,test::test_00008,test_00008,test,ETTh1,PatchTST,96,2026,5.0559421104865985,4.512021997718472,0.10758037039769386,-0.10493145613192521,0.7244991228868934,0.7322525691742318,0.4483880933372454,0.09559543106682433,5.909995844915435,7.778299533200754,1.8683036882853195,1,1.0,top_harm
ETTh1_DLinear_96_seed2026,test::test_00040,test_00040,test,ETTh1,DLinear,96,2026,1.2170333226508667,2.2654636436428857,-0.8614639140690608,-0.6936651193365649,0.24554923860612474,0.5945510994094428,0.25655206673546177,0.7097791937802569,8.622459299509297,10.475227397016958,1.8527680975076617,1,1.0,top_harm
ETTh1_PatchTST_192_seed2026,test::test_00069,test_00069,test,ETTh1,PatchTST,192,2026,3.3789882857517397,3.833505126164216,-0.13451269363014573,0.015833163644232463,0.8829608792323497,0.465894068540628,0.06525083429778782,0.15024874692925128,6.051256603136849,7.820624309144339,1.7693677060074897,1,1.0,top_harm
