config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,raw_gap,post_lrbn_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,true_boundary_jump,mse_lrbn,mse_bp,delta_mse_vs_lrbn,harm_vs_lrbn,effective_strength
ETTh1_DLinear_96_seed2026,test::test_00000,test_00000,test,ETTh1,DLinear,96,2026,3.1294714037847697,2.272693840245559,0.2737770908678927,0.6558403638134348,0.28835434973424456,0.5442626182620146,0.5817658351730379,0.3876814113631126,2.5321129458072926,2.495377927265799,-0.036735018541493414,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00001,test_00001,test,ETTh1,DLinear,96,2026,5.719209850029521,4.669413455881945,0.18355619708113757,0.6821005643740925,0.5062365710138089,0.5029584812288629,0.9695963017500593,0.14116493239467334,2.6966931596291275,3.6576885752135726,0.9609954155844451,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00002,test_00002,test,ETTh1,DLinear,96,2026,1.9448637161525644,2.2838424133430855,-0.174294306279561,-0.5679873172635649,0.29489746378179293,0.470179988656988,0.6233783169658165,0.1488791562566216,4.6000704585364325,4.234671126138075,-0.36539933239835776,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00003,test_00003,test,ETTh1,DLinear,96,2026,3.9949680910191123,4.080559156035937,-0.021424714145671375,-0.47046998392789546,0.8398506483063217,0.6528485185809518,0.39503806165312294,0.8608428816252458,5.489042955440684,6.901977162777826,1.412934207337142,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00004,test_00004,test,ETTh1,DLinear,96,2026,1.0026604986463041,1.3659666430186128,-0.3623421115439158,-0.5606980981990777,0.23782792135624067,0.6155772575396201,0.03817554939233241,1.14201749884295,7.101470598403478,8.104596270372662,1.0031256719691841,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00005,test_00005,test,ETTh1,DLinear,96,2026,8.233934381423502,7.11182061151196,0.13627917495234876,0.7129415651413695,0.8272636277831716,0.6082270963075354,1.0331119036755565,0.8089085523924641,4.2406048195962684,3.018077655944895,-1.2225271636513733,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00006,test_00006,test,ETTh1,DLinear,96,2026,3.8767993159837904,3.050195891364872,0.21321801111497696,0.6692190277614634,0.3419432553424886,0.5235771920489289,0.12083532468711496,0.0,3.8895469805642855,4.39044474576296,0.5008977651986748,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00007,test_00007,test,ETTh1,DLinear,96,2026,2.5899547485066035,3.011249781544245,-0.1626650080029537,-0.602072415773586,0.38583874462607237,0.5023498579464402,0.34073198315024145,5.88235460457731,6.052201689328274,5.127098916744093,-0.9251027725841805,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00008,test_00008,test,ETTh1,DLinear,96,2026,2.865176700391739,3.1747715171851496,-0.10805434848710993,-0.5556943184277425,0.6525246474108055,0.7322525691742318,0.4483880933372454,0.09559543106682433,5.3266546451691665,6.440108003782009,1.1134533586128423,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00009,test_00009,test,ETTh1,DLinear,96,2026,4.899354455228425,3.8112834343551536,0.22208457152750172,0.6846518496202788,0.4506231467214539,0.5525952704056343,0.7173423984893816,0.25515925950017454,5.326338337256666,3.566923177820993,-1.7594151594356728,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00010,test_00010,test,ETTh1,DLinear,96,2026,7.348997402248146,6.273294880790408,0.14637405314845853,0.7044233648345285,0.6748739156285848,0.5734106667000439,0.6911276559968638,0.4917934324851287,3.034062990717281,3.394257104889636,0.36019411417235503,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00011,test_00011,test,ETTh1,DLinear,96,2026,1.656220609239622,0.5722124940787244,0.6545070865779139,0.6518343765322522,0.04139492615571798,0.3283271545870038,0.37117426413691956,4.928012128741679,3.113883218296768,3.2537394823412438,0.1398562640444756,1,1.0
