variant,backbone,completed_rows,total_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,mean_mae_delta_pct_vs_raw,blocked_rows
lrbn_nst_conservative_gate,DLinear,8,8,5.567236270904859,1.7833489582347104,-21.00839789751225,-10.77054682928431,0
lrbn_nst_conservative_gate,PatchTST,8,8,5.49609322421714,1.778453635291393,0.07241823213034149,0.05581802247754132,0
lrbn_nst_feature_gate,DLinear,8,8,5.572116673070061,1.7838423731651427,-20.918787576548166,-10.739120992015714,0
lrbn_nst_feature_gate,PatchTST,8,8,5.418452594350727,1.7680535516802496,-1.0085640575087216,-0.43960297265929515,0
raw_no_correction,DLinear,8,8,7.52359273939077,2.0428398284690954,0.0,0.0,0
raw_no_correction,PatchTST,8,8,5.488909354050996,1.7769200075304599,0.0,0.0,0
unified_revin_rdn_hybrid,DLinear,8,8,5.56506187752376,1.7833103219897466,-21.014513323538072,-10.764136184865372,0
unified_revin_rdn_hybrid,PatchTST,8,8,5.4839320025479665,1.7767609636266923,0.030435679085725212,0.005033509193963365,0
lrbn_nst_conservative_gate,ALL,16,16,5.531664747560999,1.7809012967630518,-10.467989832690956,-5.357364403403384,0
lrbn_nst_feature_gate,ALL,16,16,5.495284633710394,1.7759479624226961,-10.963675817028443,-5.589361982337504,0
raw_no_correction,ALL,16,16,6.506251046720883,1.9098799179997779,0.0,0.0,0
unified_revin_rdn_hybrid,ALL,16,16,5.524496940035863,1.7800356428082191,-10.492038822226174,-5.379551337835704,0
