group,n_configs,n_samples,parent_mse,gate_mse,mse_gain,parent_level,gate_level,level_gain,parent_trend,gate_trend,trend_gain,parent_shape,gate_shape,shape_gain,parent_mae,gate_mae,mae_gain,level_gain_share,trend_gain_share,shape_gain_share,improved_sample_rate
ALL,16,8192,5.5244969400358634,5.495284633710396,0.02921230632546928,2.8892665511194586,2.8674334707467164,0.02183308037274253,0.7399277672780807,0.7362691563276177,0.0036586109504632286,1.8953026216383235,1.891582006636061,0.0037206150022635436,1.7800356428082196,1.775947962422696,0.004087680385523248,0.747393243432716,0.1252421123378883,0.1273646442293965,0.5223388671875
DLinear,8,4096,5.56506187752376,5.572116673070061,-0.007054795546300733,2.9392856677668417,2.9457780189251195,-0.0064923511582770845,0.74822751291868,0.7504437215175211,-0.0022162085988411996,1.8775486968382378,1.8758949326274212,0.0016537642108175542,1.783310321989747,1.7838423731651423,-0.0005320511753958807,0.9202748847457992,0.3141421440630261,-0.2344170288088257,0.501953125
PatchTST,8,4096,5.483932002547966,5.418452594350729,0.0654794081972393,2.8392474344720746,2.789088922568312,0.05015851190376215,0.731628021637482,0.7220945911377143,0.009533430499767657,1.9130565464384093,1.9072690806447006,0.005787465793709533,1.7767609636266921,1.7680535516802496,0.008707411946442376,0.7660196279213913,0.14559432899959532,0.08838604307901397,0.542724609375
ETTm1,8,4096,4.403017138465391,4.388372819493275,0.014644318972115405,2.5422280198682623,2.5286028878662954,0.013625132001966961,0.6692985312937213,0.6701570482703927,-0.0008585169766711398,1.191490587303407,1.189612883356587,0.0018777039468195875,1.5726969468365193,1.5709802476366097,0.0017166991999088205,0.9304039353356682,-0.058624575052336834,0.12822063971666883,0.505126953125
ETTh1,8,4096,6.645976741606334,6.602196447927516,0.043780293678823155,3.236305082370654,3.206264053627136,0.0300410287435181,0.8105570032624405,0.8023812643848428,0.008175738877597597,2.59911465597324,2.5935511299155345,0.005563526057707499,1.98737433877992,1.9809156772087821,0.0064586615711376754,0.6861769581515886,0.18674472440901557,0.12707831743939665,0.53955078125
