dataset,model,horizon,n_test,parent_mse,gate_mse,mse_gain,parent_level,gate_level,level_gain,parent_trend,gate_trend,trend_gain,parent_shape,gate_shape,shape_gain,parent_mae,gate_mae,mae_gain,level_gain_share,trend_gain_share,shape_gain_share,improved_samples,improved_sample_rate
ETTm1,DLinear,96,512,2.3899670838155544,2.3905407053282177,-0.0005736215126679867,1.4286176904876966,1.4308550664396111,-0.0022373759519138834,0.4331391729479503,0.4337693594744416,-0.0006301865264911751,0.528210220379906,0.5259162794141692,0.0022939409657370697,1.1454051059937278,1.1452233281213835,0.00018177787234346194,3.9004394056066047,1.0986103424888953,-3.999049748095496,238,0.46484375
ETTm1,DLinear,192,512,3.6307834269671817,3.6273013738220605,0.0034820531451175995,2.1600105815796375,2.1589045456214717,0.0011060359581672673,0.5904270683010232,0.5904023745250795,2.4693775943830133e-05,0.8803457770865204,0.8779944536755144,0.0023513234110065133,1.448348496184548,1.4476826023199336,0.0006658938646161326,0.31763902274671146,0.00709172861949416,0.6752692486337977,272,0.53125
ETTm1,DLinear,336,512,4.775155377420923,4.778038350055963,-0.002882972635039364,2.7547763233911713,2.7554914082332336,-0.0007150848420668113,0.7258659033823016,0.7276164249059761,-0.0017505215236749536,1.2945131506474519,1.2949305169167482,-0.00041736626929758886,1.683238606109704,1.6843404575098004,-0.0011018514000988558,0.2480373325003994,0.6071932499113201,0.14476941758827694,256,0.5
ETTm1,DLinear,720,512,6.6615263021529305,6.668307051547464,-0.006780749394532295,3.709060870336258,3.7131163576363155,-0.004055487300054927,0.9091767490689069,0.9125043827634831,-0.0033276336945754336,2.0432886827477588,2.042686311147661,0.000602371600098071,1.9843149279542573,1.9855061480732799,-0.0011912201190245157,0.5980883622280891,0.4907471875097898,-0.08883554973787966,263,0.513671875
ETTm1,PatchTST,96,512,2.4282829410760014,2.412071244060389,0.016211697015612446,1.4652183494947029,1.445504870865743,0.019713478628959974,0.42995401745991435,0.43729363450184583,-0.007339617041931326,0.5331105741213819,0.5292727386927987,0.003837835428583825,1.1610970609700753,1.1575470358207787,0.0035500251492964624,1.21600339618827,-0.4527358878507914,0.23673249166252316,255,0.498046875
ETTm1,PatchTST,192,512,3.7056591814787794,3.6747624440391906,0.03089673743959064,2.2216386281400395,2.1966152173184885,0.02502341082154685,0.5960009722031401,0.5935063910233547,0.0024945811797860307,0.8880195811356032,0.8846408356973449,0.003378745438257739,1.4668369949234255,1.4629354333824622,0.0039015615409621054,0.8099046337974252,0.08073930733506865,0.10935605886750563,258,0.50390625
ETTm1,PatchTST,336,512,4.830914824945573,4.8037300408094765,0.027184784136094712,2.7866234328603365,2.766489733729393,0.020133699130946196,0.7375264955891131,0.7343440587016025,0.003182436887510413,1.3067648964961203,1.3028962483784834,0.003868648117638083,1.6897312276462013,1.6875987750316397,0.002132452614563029,0.7406238368548821,0.11706684414259957,0.14230931900251764,271,0.529296875
ETTm1,PatchTST,720,512,6.801847969866185,6.7522313462834385,0.04961662358274748,3.8118782826562505,3.761845903086103,0.05003237957015102,0.9322978713974213,0.9318197602673588,0.00047811113006349733,2.0576718158125127,2.0585656829299768,-0.0008938671174670092,2.002603154910215,1.9970082008335999,0.005594954076612745,1.0083793687958265,0.00963610773042897,-0.018015476526254834,256,0.5
ETTh1,DLinear,96,512,4.616753917094901,4.644522425782952,-0.027768508688041586,2.5158455762115284,2.5336468403005803,-0.01780126408905366,0.761420437638231,0.770206689929354,-0.00878625229112321,1.339487903245149,1.3406688955530155,-0.0011809923078647344,1.624812478326075,1.6274827345570155,-0.0026702562309412455,0.6410594205485625,0.31641066467883383,0.042529914772604434,254,0.49609375
ETTh1,DLinear,192,512,6.289434810399592,6.2913247762843705,-0.0018899658847786344,3.3338296157460694,3.340067620323727,-0.006238004577653834,0.8912192391425904,0.8910025826547153,0.00021665648787552583,2.0643859555109323,2.0602545733059356,0.004131382204999673,1.917000538082239,1.9161158686968254,0.0008846693854109695,3.300591099497265,-0.11463513157588139,-2.185955967921383,267,0.521484375
