sample_id,dataset,backbone,horizon,seed,split,delta_bp_vs_lrbn,g_L,g_y,repair_ratio,A_bp,conflict_cosine,case_type,segment_harm_pattern,save_path
test_00040,ETTh1,DLinear,96,2026,test,1.8527680975076617,2.2654636436428857,0.7097791937802569,-0.8614639140690608,-11.190737408486314,-0.693665119336565,top_harm,,
test_00003,ETTh1,DLinear,96,2026,test,1.412934207337142,4.080559156035937,0.8608428816252458,-0.021424714145671375,-1.3766170963192015,-0.4704699839278954,top_harm,,
test_00008,ETTh1,DLinear,96,2026,test,1.1134533586128423,3.1747715171851496,0.09559543106682433,-0.10805434848710993,-1.4593863053219918,-0.5556943184277425,top_harm,,
test_00004,ETTh1,DLinear,96,2026,test,1.0031256719691841,1.3659666430186128,1.14201749884295,-0.3623421115439158,-15.93602566448539,-0.5606980981990777,top_harm,,
test_00001,ETTh1,DLinear,96,2026,test,0.9609954155844451,4.669413455881945,0.14116493239467334,0.18355619708113757,-1.0798588513702965,0.6821005643740925,top_harm,,
test_00015,ETTh1,DLinear,96,2026,test,0.9533539724691045,7.408712060484911,1.0551336353365537,0.18845368877243518,-0.29616245602199226,0.7138588158113243,top_harm,,
test_00063,ETTh1,DLinear,96,2026,test,0.8862063036788435,1.1092166479252237,0.0,0.5544583985702014,-13.844685159717644,0.7360056221681287,top_harm,,
test_00053,ETTh1,DLinear,96,2026,test,0.8212949599767221,4.584494731938196,1.6253083013472502,0.4146696514387014,-5.919337144380699,0.7255334321725782,top_harm,,
test_00067,ETTh1,DLinear,96,2026,test,0.5520779683031263,1.5762634249264516,0.4187151509372752,0.6289145098576764,-22.726023545019736,0.727533386931342,top_harm,,
test_00069,ETTh1,DLinear,96,2026,test,0.5285167051829103,5.55964186869317,3.5245340626212593,-0.2074919301850724,0.29689527900816254,-0.6700100500209607,top_harm,,
test_00006,ETTh1,DLinear,96,2026,test,0.5008977651986748,3.050195891364872,0.0,0.21321801111497696,-1.3444105706334817,0.6692190277614634,top_harm,,
test_00018,ETTh1,DLinear,96,2026,test,0.37383637365759625,0.9388372047360889,0.8760235652241155,-1.6659245603763857,-11.301572320365725,-0.6354273715861055,top_harm,,
test_00029,ETTh1,DLinear,96,2026,test,0.3655020625109877,1.4253204232782406,0.9034814715678624,-35.90921610143035,-21.201971249631637,-0.6729203410792987,top_harm,,
test_00010,ETTh1,DLinear,96,2026,test,0.36019411417235503,6.273294880790408,0.4917934324851287,0.14637405314845853,0.6677116218813662,0.7044233648345284,top_harm,,
test_00032,ETTh1,DLinear,96,2026,test,0.3447553105717842,2.406089924599888,0.3589917751650331,0.4400541331465202,-3.6080746594373623,0.7188140463484628,top_harm,,
test_00091,ETTh1,DLinear,96,2026,test,0.3165653676018332,1.1870256467322908,0.0,0.5329311051198965,-5.62470442867561,0.7255746417150717,top_harm,,
test_00039,ETTh1,DLinear,96,2026,test,0.3113443445193127,1.9631683419641968,1.5637941500349208,-1.010114800589791,-1.4355450760346122,-0.6973299877906991,top_harm,,
test_00093,ETTh1,DLinear,96,2026,test,0.26239341328604393,4.658184088326012,1.7315248263756455,-0.31844961960777196,0.48306493621775864,-0.6851050540666593,top_harm,,
test_00089,ETTh1,DLinear,96,2026,test,0.2561333107874484,5.5615940809411955,0.0,-0.4094451251270981,0.252172820210149,-0.6923850603478435,top_harm,,
test_00070,ETTh1,DLinear,96,2026,test,0.2513204190912779,2.5222611371667076,0.18348188599897142,-0.3380989873511038,0.2014565418445498,-0.6731697418502947,top_harm,,
