config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,mse_lrbn,mae_lrbn,mse_bp,mae_bp,delta_bp_vs_lrbn,gain_bp_vs_lrbn,harm_bp_vs_lrbn,A_bp,cos_bp,mse_stage3,mae_stage3,delta_stage3_vs_lrbn,gain_stage3_vs_lrbn,harm_stage3_vs_lrbn,A_stage3,cos_stage3,mse_repair_gate,mae_repair_gate,delta_repair_gate_vs_lrbn,gain_repair_gate_vs_lrbn,harm_repair_gate_vs_lrbn,A_repair_gate,cos_repair_gate,stage3_selected,repair_strength,repair_selected,g_L,g_y,raw_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,g_L_bin,g_y_bin,norm_ratio_bin,anchor_disagreement_bin,repair_ratio_bin,conflict_cosine_bin,pred_gap_flag,true_jump_flag,low_gap_flag,high_repair_flag,low_repair_flag,oracle_boundary_bin
ETTh1_DLinear_96_seed2026,val::val_00000,val_00000,val,ETTh1,DLinear,96,2026,1.9573718551338333,1.0162229583333333,1.8989863842506232,1.0268197905701755,-0.05838547088321011,0.05838547088321011,False,2.1850593897559802,0.17333206692611225,1.9573718551338333,1.0162229583333333,0.0,0.0,False,0.0,0.0,1.9573718551338333,1.0162229583333333,0.0,0.0,False,0.0,0.0,False,0.0,False,1.6059731667246135,0.4418588405541342,2.4069472838750516,0.3327759342670372,0.32081807911361787,0.25832262964339847,0.47752354515615864,0.13751489463943814,q2,q2,q2,q2,0.3-0.7,>0.2,False,False,False,False,False,mid_or_mixed
ETTh1_DLinear_96_seed2026,val::val_00001,val_00001,val,ETTh1,DLinear,96,2026,3.9900980843845217,1.427778854166667,4.5519434326272705,1.5750878239035087,0.5618453482427488,-0.5618453482427488,True,-2.0592475465874664,-0.22089600442637225,3.9900980843845217,1.427778854166667,0.0,0.0,False,0.0,0.0,4.17075908331513,1.4794052712280703,0.1806609989306085,-0.1806609989306085,True,-5.1481188511389515,-0.2208960043860532,False,1.0,True,2.9066041364706825,1.3819977595481798,2.419988497255173,-0.20108178869009552,-0.12551281922028334,0.5557579302428887,0.5094082064432283,0.3822739750497208,q3,q4_high,q3,q3,<0,"[-0.2,0.2]",False,True,False,False,True,mid_or_mixed
ETTh1_DLinear_96_seed2026,val::val_00002,val_00002,val,ETTh1,DLinear,96,2026,12.989004600604376,2.6835688125000003,13.308235673999889,2.7304455438596498,0.31923107339551215,-0.31923107339551215,True,-10.979556170402292,-0.24865607250097693,12.989004600604376,2.6835688125000003,0.0,0.0,False,0.0,0.0,12.989004600604376,2.6835688125000003,0.0,0.0,False,0.0,0.0,False,0.0,False,0.8871890327647082,0.11010956481679972,1.6593197915751525,0.465329691805779,0.37051562212959127,0.1849454919339285,0.6357213391631067,0.36493961380220025,q1_low,q1_low,q2,q3,0.3-0.7,>0.2,False,False,True,False,False,low_gL_low_gY
ETTh1_DLinear_96_seed2026,val::val_00003,val_00003,val,ETTh1,DLinear,96,2026,17.7138302782953,3.4411746770833336,21.059846732505395,3.894835697039474,3.346016454210094,-3.346016454210094,True,-7.445357960932062,-0.5567424709815003,17.7138302782953,3.4411746770833336,0.0,0.0,False,0.0,0.0,17.973734683315392,3.475678543669241,0.25990440502009093,-0.25990440502009093,True,-85.49054163483167,-0.5567424707520267,False,0.21772460328427667,True,3.681031701272981,1.3100976004040454,4.809810648204425,0.234682619014717,0.48053355302829925,0.6412137470355083,0.5907941513374994,0.8214364211877552,q3,q4_high,q4_high,q4_high,0-0.3,>0.2,False,True,False,False,True,mid_or_mixed
ETTh1_DLinear_96_seed2026,val::val_00004,val_00004,val,ETTh1,DLinear,96,2026,10.545446616822064,2.404626375,7.50564476931833,1.8857007543859652,-3.0398018475037336,3.0398018475037336,False,6.686350715528491,0.7527183170769054,10.545446616822064,2.404626375,0.0,0.0,False,0.0,0.0,9.201226995157311,2.1797664006578947,-1.3442196216647524,1.3442196216647524,False,16.715876771720843,0.75271831702737,False,1.0,True,1.1106204256152818,0.09276702172498681,1.046753051944325,-0.06101474353244174,0.027077197922932738,0.9668677786540445,2.274525969212682,0.08149687854776705,q2,q1_low,q4_high,q1_low,<0,"[-0.2,0.2]",False,False,False,False,True,mid_or_mixed
ETTh1_DLinear_96_seed2026,val::val_00005,val_00005,val,ETTh1,DLinear,96,2026,8.9872581481022,2.388640822916667,8.048081515978426,2.3825150049342105,-0.9391766321237736,0.9391766321237736,False,3.0502704537317284,0.34432044160203257,8.9872581481022,2.388640822916667,0.0,0.0,False,0.0,0.0,8.501649613046375,2.3726854720394734,-0.4856085350558246,0.4856085350558246,False,7.625676125225363,0.3443204415755171,False,1.0,True,2.3442327909126552,0.7759306278508352,2.1682599449697655,-0.08115855089819046,0.1124163924852095,0.8971912514245147,0.9975118550788703,0.3173560946216904,q2,q3,q4_high,q3,<0,"[-0.2,0.2]",False,False,False,False,True,mid_or_mixed
ETTh1_DLinear_96_seed2026,val::val_00006,val_00006,val,ETTh1,DLinear,96,2026,12.272767115881138,3.259683760416666,10.765826033585379,2.9696953087719304,-1.506941082295759,1.506941082295759,False,12.352689870883584,0.6423312409705878,12.272767115881138,3.259683760416666,0.0,0.0,False,0.0,0.0,12.201406696709418,3.2470184069801413,-0.07136041917171987,0.07136041917171987,False,282.8295283190819,0.642331239822738,False,0.10918842944167284,True,0.8022831902389265,0.40344402312687383,1.0948837082993654,0.26724347116749814,0.16312097703628922,0.4641903013947938,1.568995854973756,0.1614619944322527,q1_low,q2,q3,q2,0-0.3,"[-0.2,0.2]",False,False,True,False,True,low_gL_low_gY
ETTh1_DLinear_96_seed2026,val::val_00007,val_00007,val,ETTh1,DLinear,96,2026,16.093988402902028,3.89679484375,12.632439990009479,3.42798609375,-3.461548412892549,3.461548412892549,False,12.7506120765433,0.8625298936122722,16.093988402902028,3.89679484375,0.0,0.0,False,0.0,0.0,15.339524983957679,3.8010970344845805,-0.7544634189443489,0.7544634189443489,False,62.46327378453998,0.8625298934513923,False,0.5103243554296916,True,5.867595720405834,2.421839976106526,6.877991113228139,0.14690269337109252,0.18746760048521277,0.6794261882577257,0.319591718542991,0.02221657484024395,q4_high,q4_high,q4_high,q1_low,0-0.3,"[-0.2,0.2]",True,True,False,False,True,high_gL_high_gY
ETTh1_DLinear_96_seed2026,val::val_00008,val_00008,val,ETTh1,DLinear,96,2026,5.079027223165573,2.00551121875,2.0290665820178053,1.2457881584429822,-3.0499606411477678,3.0499606411477678,False,3.9254652453670458,0.8892431257897564,5.079027223165573,2.00551121875,0.0,0.0,False,0.0,0.0,4.23341557396706,1.82871881955654,-0.8456116491985135,0.8456116491985135,False,17.93908408174353,0.889243125646052,False,0.5470548579404805,True,3.4610681859659933,1.931770304298959,4.005326073725735,0.13588354261785585,0.45004218527697704,1.0436687356081737,1.0192723201191112,0.2139763460280983,q3,q4_high,q4_high,q2,0-0.3,>0.2,False,True,False,False,True,mid_or_mixed
ETTh1_DLinear_96_seed2026,val::val_00009,val_00009,val,ETTh1,DLinear,96,2026,8.354038295119375,1.8773402500000003,8.676939495042676,1.8921878081140358,0.3229011999233009,-0.3229011999233009,True,-3.5578892442575696,-0.16382008386145214,8.354038295119375,1.8773402500000003,0.0,0.0,False,0.0,0.0,8.354038295119375,1.8773402500000003,0.0,0.0,False,0.0,0.0,False,0.0,False,1.0859881363638475,1.0805452645806968,1.6412708840370773,0.3383248681785279,0.4058846089223819,0.2891852829431295,0.846795622536983,0.0027951648193966813,q2,q3,q2,q1_low,0.3-0.7,>0.2,False,False,False,False,False,mid_or_mixed
