gap_group,repair_group,count,mean_delta_vs_lrbn,harm_rate,mean_A,A_gt_1_rate,win_loss_ratio
low,low,48,0.0028799422677027037,0.5,0.36991215736002186,0.5,0.9672118735186803
low,mid,35,-0.04839877602438323,0.5428571428571428,2.0628254032317095,0.45714285714285713,1.9534453105178
low,high,90,0.012179330674471276,0.5,66.70830878635579,0.5,0.7628731417942174
mid,low,258,-0.1193924538682118,0.44573643410852715,1.3220886417191562,0.5542635658914729,1.2141780905812345
mid,mid,119,-0.2941992223120483,0.37815126050420167,4.178195391616624,0.6218487394957983,2.338051340693389
mid,high,24,-0.03465947979781198,0.5,5.836664512658271,0.5,1.4896805131258923
high,low,163,-0.6271925555833323,0.3619631901840491,2.458946792317641,0.6380368098159509,1.9024087253579673
high,mid,29,-0.7861500372698133,0.1724137931034483,2.865710475017839,0.8275862068965517,1.2932734467277711
high,high,2,-0.000371669862011037,0.5,-332.07406229403574,0.5,13.552818608840203
