segment,count,mse_delta_pct_vs_lrbn,harm_rate,mean_A,A_gt_1_rate,win_loss_ratio
early,768,-19.679988858324283,0.36328125,7.480312767054577,0.63671875,2.1527050902935905
mid,768,-3.232958836345408,0.46484375,10.375152139304367,0.53515625,1.37204154445107
late,768,-0.7471566729695094,0.4466145833333333,29.17596519039279,0.5533854166666666,1.2357802357362049
