policy,alpha,tau,coverage,delta_pct_vs_lrbn,harm_rate_vs_lrbn,low_delta_pct_vs_lrbn,q4_improvement_pct_vs_lrbn,feasible,delta_pct_vs_raw
gated,0.0,2.7814867066937445,0.5,0.0,0.0,0.0,0.0,True,
gated,0.0,3.7106200095903903,0.3997395833333333,0.0,0.0,0.0,0.0,True,
gated,0.0,4.749340592808404,0.30078125,0.0,0.0,0.0,0.0,True,
gated,0.0,6.214773339385104,0.20052083333333334,0.0,0.0,0.0,0.0,True,
gated,0.0,9.52692888646857,0.10026041666666667,0.0,0.0,0.0,0.0,True,
gated,0.0,13.766675883152962,0.05078125,0.0,0.0,0.0,0.0,True,
gated,0.0,inf,0.0,0.0,0.0,0.0,0.0,True,
gated,0.05,2.7814867066937445,0.5,-0.7222581146912609,0.16536458333333334,0.0,1.6845961045649998,False,
gated,0.05,3.7106200095903903,0.3997395833333333,-0.6906492317880473,0.12369791666666667,0.0,1.6845961045649998,False,
gated,0.05,4.749340592808404,0.30078125,-0.6050728329776208,0.0859375,0.0,1.6845961045649998,False,
gated,0.05,6.214773339385104,0.20052083333333334,-0.47131602637801334,0.05859375,0.0,1.4827349719635423,False,
gated,0.05,9.52692888646857,0.10026041666666667,-0.29760054055295454,0.020833333333333332,0.0,0.9362353589886331,False,
gated,0.05,13.766675883152962,0.05078125,-0.19911721868959634,0.0078125,0.0,0.6264121038701098,True,
gated,0.05,inf,0.0,0.0,0.0,0.0,0.0,True,
gated,0.1,2.7814867066937445,0.5,-1.3684546436732805,0.16666666666666666,0.0,3.2006638442639415,False,
gated,0.1,3.7106200095903903,0.3997395833333333,-1.3100285808731693,0.125,0.0,3.2006638442639415,False,
gated,0.1,4.749340592808404,0.30078125,-1.1484366983254664,0.08723958333333333,0.0,3.2006638442639415,False,
gated,0.1,6.214773339385104,0.20052083333333334,-0.8950457779015444,0.059895833333333336,0.0,2.815766072292483,False,
gated,0.1,9.52692888646857,0.10026041666666667,-0.5651657050675895,0.020833333333333332,0.0,1.777981033867955,False,
gated,0.1,13.766675883152962,0.05078125,-0.37987697939914555,0.0078125,0.0,1.1950726282904134,True,
gated,0.1,inf,0.0,0.0,0.0,0.0,0.0,True,
gated,0.2,2.7814867066937445,0.5,-2.432662944509718,0.17708333333333334,0.0,5.727214229063559,False,
gated,0.2,3.7106200095903903,0.3997395833333333,-2.3349776309346373,0.13151041666666666,0.0,5.727214229063559,False,
gated,0.2,4.749340592808404,0.30078125,-2.050037526131793,0.08984375,0.0,5.727214229063559,False,
gated,0.2,6.214773339385104,0.20052083333333334,-1.5997464563851191,0.0625,0.0,5.032716658046498,False,
gated,0.2,9.52692888646857,0.10026041666666667,-1.01018990598184,0.0234375,0.0,3.178003331298792,False,
gated,0.2,13.766675883152962,0.05078125,-0.6863241268781632,0.009114583333333334,0.0,2.1591389387816173,True,
gated,0.2,inf,0.0,0.0,0.0,0.0,0.0,True,
gated,0.3,2.7814867066937445,0.5,-3.1926249025092517,0.18359375,0.0,7.579651154398867,False,
gated,0.3,3.7106200095903903,0.3997395833333333,-3.074847150184384,0.13671875,0.0,7.579651154398867,False,
gated,0.3,4.749340592808404,0.30078125,-2.7048024834190185,0.09375,0.0,7.579651154398867,False,
gated,0.3,6.214773339385104,0.20052083333333334,-2.114102035450664,0.06640625,0.0,6.6508517572620285,False,
gated,0.3,9.52692888646857,0.10026041666666667,-1.3350726027428117,0.02734375,0.0,4.2000668922924,False,
gated,0.3,13.766675883152962,0.05078125,-0.9193414424370935,0.010416666666666666,0.0,2.8921989314735645,True,
gated,0.3,inf,0.0,0.0,0.0,0.0,0.0,True,
gated,0.5,2.7814867066937445,0.5,-3.7998097899977483,0.20052083333333334,0.0,9.262184626676493,False,
gated,0.5,3.7106200095903903,0.3997395833333333,-3.699347596248753,0.14973958333333334,0.0,9.262184626676493,False,
gated,0.5,4.749340592808404,0.30078125,-3.273824786436049,0.10546875,0.0,9.262184626676493,False,
gated,0.5,6.214773339385104,0.20052083333333334,-2.5717778953278243,0.07291666666666667,0.0,8.090675496077687,False,
gated,0.5,9.52692888646857,0.10026041666666667,-1.6244134838047584,0.032552083333333336,0.0,5.110317804968198,False,
