split,method,config_id,sample_key,dataset,backbone,horizon,seed,boundary_gap,selected,raw_mse,lrbn_mse,method_mse,delta_vs_lrbn,case_type
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00009,ETTh1,DLinear,96,2026,3.6706540050634002,False,9.308576377791278,5.326338337256666,5.326338337256666,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00010,ETTh1,DLinear,96,2026,6.269410073744523,False,5.2952502190555615,3.034062990717281,3.034062990717281,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00011,ETTh1,DLinear,96,2026,0.4509562825216495,False,3.1583913186694175,3.113883218296768,3.113883218296768,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00012,ETTh1,DLinear,96,2026,4.682977278983625,False,3.8252299269926233,2.3636962626575833,2.3636962626575833,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00013,ETTh1,DLinear,96,2026,0.8003013666004172,False,6.334921895523576,2.6808462044379557,2.6808462044379557,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00014,ETTh1,DLinear,96,2026,1.36669860762415,False,5.496824145530806,2.5350477675340946,2.5350477675340946,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00015,ETTh1,DLinear,96,2026,5.170998270224551,False,2.606365873389873,1.8348968596586224,1.8348968596586224,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00016,ETTh1,DLinear,96,2026,0.7860921798677347,False,2.3059166291474336,2.6103093799258112,2.6103093799258112,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00017,ETTh1,DLinear,96,2026,1.8316061513022792,False,5.1114979590230165,2.507930433523993,2.507930433523993,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00018,ETTh1,DLinear,96,2026,1.0497267005271487,False,18.971753870695768,12.54953829119926,12.54953829119926,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00019,ETTh1,DLinear,96,2026,6.4802831388080735,False,36.93951792183205,23.836751576609966,23.836751576609966,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00020,ETTh1,DLinear,96,2026,4.420287096489062,False,34.334900109615376,21.63488736405387,21.63488736405387,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00021,ETTh1,DLinear,96,2026,3.6041312530667544,False,16.521745547217662,6.76031512501121,6.76031512501121,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00022,ETTh1,DLinear,96,2026,2.676799073255486,False,2.9598470363303533,1.1012205098455963,1.1012205098455963,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00023,ETTh1,DLinear,96,2026,1.2726132259281708,False,1.3394626526996067,3.209647349712105,3.209647349712105,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00024,ETTh1,DLinear,96,2026,4.779188071582353,False,1.598368691199122,5.358678424944796,5.358678424944796,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00025,ETTh1,DLinear,96,2026,1.1846590724312958,False,2.5165315282008804,4.270402647487804,4.270402647487804,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00026,ETTh1,DLinear,96,2026,3.2085867454285952,False,3.2469814987193573,2.82575926838339,2.82575926838339,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00027,ETTh1,DLinear,96,2026,3.573910565062568,False,5.221119069141856,2.950814673775947,2.950814673775947,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00028,ETTh1,DLinear,96,2026,5.709837960830712,False,11.939154282513192,5.069240434185748,5.069240434185748,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00029,ETTh1,DLinear,96,2026,1.4137272257305284,False,16.306494868375097,8.326023418215032,8.326023418215032,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00030,ETTh1,DLinear,96,2026,3.3993312461252447,False,15.532457585060039,6.403909263228113,6.403909263228113,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00031,ETTh1,DLinear,96,2026,6.167841142544817,False,4.826192590370957,1.4592050828335765,1.4592050828335765,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00032,ETTh1,DLinear,96,2026,3.0209255164009945,False,4.468569311151714,1.6818624441617243,1.6818624441617243,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00033,ETTh1,DLinear,96,2026,0.3203163608610558,False,3.4864216996926825,1.6970023913498569,1.6970023913498569,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00034,ETTh1,DLinear,96,2026,0.13648673765404065,False,6.39796564500013,1.722219845563843,1.722219845563843,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00035,ETTh1,DLinear,96,2026,1.9286435814537888,False,7.492241324661722,1.860492579531939,1.860492579531939,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00036,ETTh1,DLinear,96,2026,0.690509271890575,False,5.435424121438811,1.6031316098246264,1.6031316098246264,0.0,bp_worse_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00076,ETTh1,DLinear,96,2026,14.30347137424146,True,42.026932259601814,18.90128394136752,11.78203859762094,-7.119245343746581,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_PatchTST_96_seed2026,test::test_00020,ETTm1,PatchTST,96,2026,16.24917745029332,True,7.0272426345939865,6.323188379346225,2.424888252263905,-3.8983001270823197,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_DLinear_96_seed2026,test::test_00020,ETTm1,DLinear,96,2026,14.25674600432771,True,13.815506905281367,5.223475360612845,1.5789453776235083,-3.6445299829893365,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_PatchTST_96_seed2026,test::test_00066,ETTm1,PatchTST,96,2026,17.932233460615425,True,4.188359546812987,4.406384742538422,1.940860502287933,-2.465524240250489,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_DLinear_96_seed2026,test::test_00066,ETTm1,DLinear,96,2026,15.222321139065281,True,3.266864146360465,3.961657051630258,1.7253631389459123,-2.2362939126843457,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_PatchTST_96_seed2026,test::test_00028,ETTm1,PatchTST,96,2026,14.861619323090341,True,5.467405031429734,5.178000066018533,3.083330430994348,-2.094669635024185,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_PatchTST_192_seed2026,test::test_00009,ETTm1,PatchTST,192,2026,15.860183341233853,True,4.364047156320891,4.363586905531503,2.6663000087461133,-1.6972868967853896,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_192_seed2026,test::test_00059,ETTh1,DLinear,192,2026,18.551684786116923,True,37.61368171066788,18.89000576762501,17.32979181118779,-1.5602139564372202,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_PatchTST_192_seed2026,test::test_00059,ETTh1,PatchTST,192,2026,17.30992625281518,True,20.148301860155538,19.567640444078688,18.06619318111593,-1.5014472629627562,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_PatchTST_96_seed2026,test::test_00007,ETTh1,PatchTST,96,2026,39.671226497925865,True,7.681270633858468,6.668866598849109,5.450214955160047,-1.2186516436890624,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00007,ETTh1,DLinear,96,2026,29.151216456462162,True,7.423382361322349,6.052201689328274,5.127098916744093,-0.9251027725841805,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_PatchTST_192_seed2026,test::test_00075,ETTm1,PatchTST,192,2026,17.076756875530563,True,1.6312963299027057,1.536438996219757,0.9226902385787552,-0.6137487576410019,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_DLinear_192_seed2026,test::test_00016,ETTm1,DLinear,192,2026,14.592027264698189,True,1.5629769463643275,1.3700238260276263,1.0718692960799159,-0.2981545299477104,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_PatchTST_192_seed2026,test::test_00016,ETTm1,PatchTST,192,2026,16.93826818770698,True,1.4404688440359472,1.3872854938029455,1.2537487788752237,-0.1335367149277218,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_DLinear_96_seed2026,test::test_00006,ETTm1,DLinear,96,2026,694953.4000000001,True,1.6278633026921578,1.2640871513246574,1.206006189580948,-0.05808096174370947,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_PatchTST_192_seed2026,test::test_00058,ETTm1,PatchTST,192,2026,16.500577100956058,True,5.1445519257341,4.924304345286392,4.871496975845469,-0.05280736944092279,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_DLinear_192_seed2026,test::test_00013,ETTm1,DLinear,192,2026,19.58715423786582,True,3.9161317282626524,1.7779068516008874,1.7496993716855498,-0.028207479915337563,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_DLinear_192_seed2026,test::test_00055,ETTm1,DLinear,192,2026,292843.29999999993,True,3.1067817946170755,0.27411787124575104,0.2653595668672718,-0.008758304378479242,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTm1_DLinear_96_seed2026,test::test_00055,ETTm1,DLinear,96,2026,13207.900000000272,True,2.8150155040433247,0.34073065476525716,0.33992810888053165,-0.0008025458847255029,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00000,ETTh1,DLinear,96,2026,2.6402118462635555,False,3.2618435873248557,2.5321129458072926,2.5321129458072926,0.0,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00001,ETTh1,DLinear,96,2026,4.093165804679421,False,2.614172222066385,2.6966931596291275,2.6966931596291275,0.0,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00002,ETTh1,DLinear,96,2026,1.7142713464352155,False,5.866283559353261,4.6000704585364325,4.6000704585364325,0.0,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00003,ETTh1,DLinear,96,2026,4.6429835009451645,False,8.316541773179372,5.489042955440684,5.489042955440684,0.0,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00004,ETTh1,DLinear,96,2026,2.0183297091904366,False,10.828125968667878,7.101470598403478,7.101470598403478,0.0,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00005,ETTh1,DLinear,96,2026,4.605492137328031,False,7.210707280547638,4.2406048195962684,4.2406048195962684,0.0,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00006,ETTh1,DLinear,96,2026,5.105069883902887,False,4.591463267325817,3.8895469805642855,3.8895469805642855,0.0,bp_better_than_lrbn_top50
test,HalluGuard-LRBN-BP-gated,ETTh1_DLinear_96_seed2026,test::test_00008,ETTh1,DLinear,96,2026,4.962060954513862,False,7.958130649929415,5.3266546451691665,5.3266546451691665,0.0,bp_better_than_lrbn_top50
