method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
MRC-mean-residual,768,4.86347514595806,1.7004066827277373,4.894157596003544,1.682162338434372,-0.030682450045484106,-0.6269199424196449,1.0845769024818408,0.5403645833333334,0.4596354166666667,0.9164878490070578,0.7227857567820715,1.2679937695610293,0.29365634708915533,0.0,0,0.0
MRC-ridge-residual,768,4.786188617410421,1.64498482414434,4.894157596003544,1.682162338434372,-0.10796897859312347,-2.206078906422641,-2.2101026291923542,0.4114583333333333,0.5885416666666666,0.7542819650179429,0.8165040273056687,0.9237945319988268,0.43005271942340256,0.0,0,0.0
MRC-ridge-abstain,768,4.835279636495446,1.6684196707975232,4.894157596003544,1.682162338434372,-0.058877959508098494,-1.2030254080063634,-0.8169644059409285,0.026041666666666668,0.07552083333333333,0.9365503015412147,0.4550822293585404,2.0579803396883296,0.9999999999999998,0.1015625,78,0.2564102564102564
SRA-BP-safe,768,4.813148680992863,1.6609504547937923,4.894157596003544,1.682162338434372,-0.0810089150106816,-1.6552167202647812,-1.2609890870712976,0.03515625,0.15234375,0.5902660964848472,0.2535661689082847,2.3278581513757297,1.0000000000000002,0.1875,144,0.1875
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.4507411159013866,0.21585651130246503,2.088151486837842,0.8970062858269305,0.4361979166666667,335,0.23880597014925373
