method,target_coverage,val_abs_error_quantile,test_coverage,coverage_gap_pp,interval_width
LRBN-zero,0.8,3.8248370600000006,0.9110785590277778,11.107855902777775,7.649674120000001
LRBN-zero,0.9,5.051184299999999,0.9629720052083334,6.297200520833335,10.102368599999998
MRC-mean-residual,0.8,3.855218104062501,0.9124258535879629,11.242585358796287,7.710436208125002
MRC-mean-residual,0.9,5.009234131536461,0.9649703414351852,6.497034143518521,10.018468263072922
MRC-ridge-residual,0.8,3.6430937172264724,0.9012405960648148,10.124059606481472,7.286187434452945
MRC-ridge-residual,0.9,4.843715968522163,0.9570764612268519,5.707646122685183,9.687431937044327
