method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,shrink,cap_mult,feasible
MRC-ridge-residual,768,8.77122392407419,2.3016532427800467,8.79717792520947,2.3053724718885635,-0.02595400113528022,-0.29502644287097757,-0.16132877171631962,0.2747395833333333,0.7252604166666666,0.0416458907729466,0.015469612742350933,2.692107717593741,0.5172350105163258,0.0,0,0.0,0.01,0.1,False
MRC-ridge-residual,768,8.770495712211677,2.3015540457984613,8.79717792520947,2.3053724718885635,-0.02668221299779253,-0.30330423226977166,-0.16563163307016363,0.2747395833333333,0.7252604166666666,0.04271614036723548,0.015644315650452587,2.7304558420515685,0.5159069231642858,0.0,0,0.0,0.01,0.25,False
MRC-ridge-residual,768,8.770500093815324,2.301557657960798,8.79717792520947,2.3053724718885635,-0.02667783139414512,-0.30325442534669594,-0.16547494852720254,0.2747395833333333,0.7252604166666666,0.042748586004518044,0.015745914188687673,2.714898502764916,0.5161590528265442,0.0,0,0.0,0.01,0.5,False
MRC-ridge-residual,768,8.770505570281413,2.3015585150615943,8.79717792520947,2.3053724718885635,-0.02667235492805556,-0.30319217281378325,-0.16543777011881744,0.2747395833333333,0.7252604166666666,0.04274858953043598,0.01576585679481598,2.711464589088896,0.5167710747143366,0.0,0,0.0,0.01,1.0,False
MRC-ridge-residual,768,8.770505565167001,2.3015585133797365,8.79717792520947,2.3053724718885635,-0.0266723600424691,-0.3031922309507454,-0.165437843072658,0.2747395833333333,0.7252604166666666,0.042748596582266506,0.01576585679481598,2.711465036373566,0.5167710747143366,0.0,0,0.0,0.01,2.0,False
MRC-ridge-residual,768,8.737703523026918,2.296852080008077,8.79717792520947,2.3053724718885635,-0.05947440218255243,-0.6760622852075551,-0.3695885132413255,0.28125,0.71875,0.09846889816636742,0.040178198664974775,2.450803593247485,0.5209017746014989,0.0,0,0.0,0.03,0.1,False
MRC-ridge-residual,768,8.721594751252349,2.2944940845962045,8.79717792520947,2.3053724718885635,-0.07558317395712015,-0.8591752322595365,-0.4718711348305602,0.2760416666666667,0.7239583333333334,0.12215153000094643,0.04654892962951864,2.6241527943095186,0.5135277076588005,0.0,0,0.0,0.03,0.25,False
MRC-ridge-residual,768,8.718390285460842,2.29404629873603,8.79717792520947,2.3053724718885635,-0.07878763974862801,-0.8956012976990165,-0.49129471447734036,0.27734375,0.72265625,0.1270682471623801,0.04701394294917671,2.702777349944263,0.514620583404301,0.0,0,0.0,0.03,0.5,False
MRC-ridge-residual,768,8.718100193325922,2.2940108966770527,8.79717792520947,2.3053724718885635,-0.07907773188354696,-0.8988988567236985,-0.4928303474067413,0.27734375,0.72265625,0.12760004270858127,0.047353641392950965,2.694618872148384,0.512334400417411,0.0,0,0.0,0.03,1.0,False
MRC-ridge-residual,768,8.718151032093012,2.294025737474334,8.79717792520947,2.3053724718885635,-0.07902689311645889,-0.8983209581354935,-0.492186599058138,0.27734375,0.72265625,0.1276168058979168,0.047580626102832826,2.682116431190772,0.5144704055099938,0.0,0,0.0,0.03,2.0,False
