method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,risk_threshold,feasible,selected_base_mse
MRC-ridge-abstain,768,8.797177914980637,2.305372468524848,8.79717792520947,2.3053724718885635,-1.0228832271937568e-08,-1.1627402522884779e-07,-1.4590768106946837e-07,0.0,0.0026041666666666665,3.927871592424026e-06,0.0,392.7871592424026,0.0,0.0026041666666666665,2,0.0,0.05,True,2.2667983145553245
MRC-ridge-abstain,768,8.797177914980637,2.305372468524848,8.79717792520947,2.3053724718885635,-1.0228832271937568e-08,-1.1627402522884779e-07,-1.4590768106946837e-07,0.0,0.0026041666666666665,3.927871592424026e-06,0.0,392.7871592424026,0.0,0.0026041666666666665,2,0.0,0.1,True,2.2667983145553245
MRC-ridge-abstain,768,8.796417448189326,2.3049596197364424,8.79717792520947,2.3053724718885635,-0.0007604770201433986,-0.008644556535570584,-0.017908262346523682,0.0026041666666666665,0.006510416666666667,0.560982590407297,1.1104333002831774,0.5051925092775161,1.0,0.009114583333333334,7,0.2857142857142857,0.15,True,8.81344133651488
MRC-ridge-abstain,768,8.784769987125202,2.302468354029214,8.79717792520947,2.3053724718885635,-0.012407938084268143,-0.141044527866222,-0.12597174132009906,0.0026041666666666665,0.013020833333333334,1.175016304928429,1.1104333002831774,1.0581601740934645,1.0,0.015625,12,0.16666666666666666,0.2,True,9.321018645738464
MRC-ridge-abstain,768,8.752132997417133,2.2970143993332304,8.79717792520947,2.3053724718885635,-0.04504492779233588,-0.5120383846284404,-0.3625475978825869,0.0026041666666666665,0.032552083333333336,1.472614845803213,1.1104333002831774,1.3261623477664533,1.0,0.03515625,27,0.07407407407407407,0.25,True,11.985145530503116
MRC-ridge-abstain,768,8.65066608468549,2.283012017066857,8.79717792520947,2.3053724718885635,-0.14651184052397923,-1.6654413677093707,-0.9699280700786689,0.020833333333333332,0.08203125,1.995708731354865,0.8255347845587776,2.417473793362651,1.0000000000000002,0.10286458333333333,79,0.20253164556962025,0.3,True,12.2614821721092
MRC-ridge-abstain,768,8.511579350345132,2.2617910012854865,8.79717792520947,2.3053724718885635,-0.2855985748643375,-3.2464794615699373,-1.8904307631613204,0.0390625,0.16276041666666666,1.9553731062143465,0.8360644260327386,2.338782780299697,1.0000000000000002,0.20182291666666666,155,0.1935483870967742,0.35,True,11.589082384588261
MRC-ridge-abstain,768,8.383975567048099,2.243073469192789,8.79717792520947,2.3053724718885635,-0.4132023581613698,-4.696987615853334,-2.7023399986426138,0.059895833333333336,0.24088541666666666,1.9084862567606982,0.7767510094086323,2.457011589394109,0.977074158266349,0.30078125,231,0.19913419913419914,0.39999999999999997,False,11.256333675513194
MRC-ridge-abstain,768,8.270280172003723,2.226980926200812,8.79717792520947,2.3053724718885635,-0.526897753205746,-5.989395202487746,-3.400385243756068,0.07552083333333333,0.3333333333333333,1.7670034053934178,0.8223344365293466,2.148764912926895,0.9254049711119207,0.4088541666666667,314,0.18471337579617833,0.44999999999999996,False,11.079191185702978
MRC-ridge-abstain,768,8.165990954095347,2.2121544561038475,8.79717792520947,2.3053724718885635,-0.6311869711141213,-7.174880123634702,-4.043512122967292,0.10286458333333333,0.4296875,1.6370201665197754,0.7020893814668453,2.3316406520537494,0.8329251024553901,0.5325520833333334,409,0.19315403422982885,0.49999999999999994,False,10.337913231848574
MRC-ridge-abstain,768,8.090522909472766,2.2009048623836547,8.79717792520947,2.3053724718885635,-0.7066550157367049,-8.032746648313392,-4.531485056129796,0.14973958333333334,0.51953125,1.5576774245893794,0.6852368723945484,2.273195539542621,0.7102627861812526,0.6692708333333334,514,0.2237354085603113,0.5499999999999999,False,9.79468197354291
MRC-ridge-abstain,768,8.07266096458695,2.1968885619356517,8.79717792520947,2.3053724718885635,-0.7245169606225206,-8.235788408038697,-4.705699873021893,0.19921875,0.5885416666666666,1.4723464475356105,0.7128860688104588,2.065332023305053,0.623635971076975,0.7877604166666666,605,0.2528925619834711,0.6,False,9.412218693246478
MRC-ridge-abstain,768,8.06663305209122,2.1950296614682885,8.79717792520947,2.3053724718885635,-0.7305448731182494,-8.304309387608797,-4.786333283976831,0.23958333333333334,0.6341145833333334,1.4198858501134464,0.7088366654914815,2.003121310179033,0.5700958367679759,0.8736979166666666,671,0.27421758569299554,0.65,False,9.111927234408167
MRC-ridge-abstain,768,8.065174753111117,2.1951709421486196,8.79717792520947,2.3053724718885635,-0.7320031720983514,-8.320886282959131,-4.780204960617327,0.2760416666666667,0.6549479166666666,1.4123711886238473,0.6992654325767035,2.019792631850132,0.5220420402517633,0.9309895833333334,715,0.2965034965034965,0.7,False,9.090839587115859
MRC-ridge-abstain,768,8.06469379217812,2.1950840274442918,8.79717792520947,2.3053724718885635,-0.7324841330313476,-8.32635350138462,-4.783975054387887,0.2981770833333333,0.6783854166666666,1.3776262987156103,0.6777095522391182,2.0327679812632455,0.49865974405824365,0.9765625,750,0.30533333333333335,0.75,False,8.911742842705332
