variant,teacher_energy_before_mean,teacher_energy_after_mean,teacher_energy_delta_mean,latent_consistency_gain,teacher_energy_mse_delta_spearman,residual_alignment_A_mean,residual_alignment_A_gt1_rate,direction_cosine_RT_mean,uncertainty_width_mean,sequence_overlap_error,edit_energy_ratio,lrbn_equiv_rate,active_patch_ratio
SL-TMP Sequence Teacher Minimal-Norm Projection,1.277636657313754,1.2775962327917416,-4.042452201247215e-05,4.042452201247215e-05,0.08862660434520513,3.304302662344275,0.12760416666666666,,,0.00162322280402882,2.9583458244637055e-06,0.7643229166666666,0.23567708333333334
UTRE Uncertainty Teacher Residual Envelope,1.277636657313754,1.2760322897229344,-0.0016043675908197959,0.0016043675908197959,0.06562286939242036,0.48972300222937265,0.3294270833333333,,2.3416654755128548,0.023890935647712528,0.0036554272330953682,0.3541666666666667,0.6458333333333334
SSP Structured Sequence Projector,1.277636657313754,1.277653534586231,1.6877272476752598e-05,-1.6877272476752598e-05,0.15268289076014044,-5.879179592116075,0.06640625,,,0.0009330398285800372,1.8135704134912505e-06,0.8580729166666666,0.14192708333333334
TRAP Teacher-Residual Agreement Projector,1.277636657313754,1.277641798524807,5.141211052735646e-06,-5.141211052735646e-06,0.2838214886637122,8.427218585883613,0.13802083333333334,0.31368343469083143,,0.0009037097534761399,3.6746018697838056e-06,0.7747395833333334,0.22526041666666666
IMDR Iterative Minimal-Norm Denoising Refiner,1.277636657313754,1.2776347052616377,-1.952052116394043e-06,1.952052116394043e-06,0.6302246565224917,2.11304813097478,0.0234375,,,4.38596456485235e-06,1.8135939261629195e-06,0.9713541666666666,0.028645833333333332
