epoch,teacher_loss,masked_reconstruction_loss,contrastive_loss
1.0,172.35287475585938,172.12687225341796,4.520005750656128
2.0,151.73537902832032,151.50950927734374,4.517431211471558
3.0,173.84046020507813,173.6146011352539,4.517105197906494
4.0,144.73883819580078,144.51297302246093,4.517297601699829
5.0,164.16715393066406,163.94129791259766,4.51710057258606
6.0,362.1381317138672,361.9123016357422,4.516568899154663
7.0,154.00983734130858,153.78399658203125,4.516790390014648
8.0,119.67692718505859,119.45111541748047,4.516248989105224
9.0,132.96938781738282,132.74358673095702,4.516006946563721
10.0,131.5219955444336,131.29630432128906,4.513875961303711
11.0,120.8969955444336,120.67154541015626,4.508992862701416
12.0,124.53164825439453,124.30632171630859,4.506523466110229
13.0,104.8356430053711,104.61046600341797,4.503567934036255
14.0,100.20347595214844,99.97834167480468,4.502655076980591
15.0,122.50687866210937,122.28202056884766,4.497198390960693
16.0,95.71742782592773,95.49237289428712,4.501137208938599
17.0,95.9058853149414,95.68089981079102,4.499666738510132
18.0,99.6393440246582,99.41437530517578,4.499334669113159
19.0,63.19984359741211,62.97507781982422,4.495306921005249
20.0,72.56623992919921,72.34134826660156,4.49784026145935
