variant,mse_delta_pct_vs_lrbn,harm_rate,max_config_harm,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,q4_boundary_delta_pct,non_boundary_delta_pct,known_harmed_config_delta_pct,bootstrap_high_delta_raw,teacher_energy_mse_delta_spearman,residual_alignment_A_gt1_rate,safe_gate_pass,tradeoff_gate_pass,mechanism_gate_pass,compact_gate_pass
SL-TMP Sequence Teacher Minimal-Norm Projection,-0.026666526683638912,0.10807291666666667,0.23958333333333334,0.0007173291989399574,0.7643229166666666,0.21629050925925927,2.9583458244637055e-06,-0.048672194347098546,-0.019758960769694345,0.03102001140307872,0.00046146967302437716,0.08862660434520513,0.12760416666666666,False,False,False,False
UTRE Uncertainty Teacher Residual Envelope,2.0126877036138713,0.31640625,0.4375,-0.054141271387845066,0.3541666666666667,0.6501736111111112,0.0036554272330953682,2.869220202469027,1.7438226646717938,0.4788813359344167,0.17535141995080378,0.06562286939242036,0.3294270833333333,False,False,False,False
SSP Structured Sequence Projector,0.01905265331861482,0.07552083333333333,0.3541666666666667,-0.0005125161107353805,0.8580729166666666,0.125,1.8135704134912505e-06,0.0014919098654228844,0.024564960182255336,0.036089823272606285,0.002462884867022063,0.15268289076014044,0.06640625,False,False,False,False
TRAP Teacher-Residual Agreement Projector,-0.07508981938178093,0.08723958333333333,0.21875,0.0020199151027320487,0.7747395833333334,0.2560763888888889,3.6746018697838056e-06,-0.16490609040728818,-0.046896545642392276,-0.06087119466338281,-0.001371325684879991,0.2838214886637122,0.13802083333333334,False,False,False,False
IMDR Iterative Minimal-Norm Denoising Refiner,-0.05492203404227808,0.005208333333333333,0.03125,0.0014774019560590108,0.9713541666666666,0.034722222222222224,1.8135939261629195e-06,0.015107199823964272,-0.07690416865559592,-0.21738958344657625,-0.0010388098107229288,0.6302246565224917,0.0234375,False,False,False,False
