variant,uncertainty_width_mean,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio
SL-TMP Sequence Teacher Minimal-Norm Projection,,0.7643229166666666,0.23567708333333334,2.9583458244637055e-06
UTRE Uncertainty Teacher Residual Envelope,2.3416654755128548,0.3541666666666667,0.6458333333333334,0.0036554272330953682
SSP Structured Sequence Projector,,0.8580729166666666,0.14192708333333334,1.8135704134912505e-06
TRAP Teacher-Residual Agreement Projector,,0.7747395833333334,0.22526041666666666,3.6746018697838056e-06
IMDR Iterative Minimal-Norm Denoising Refiner,,0.9713541666666666,0.028645833333333332,1.8135939261629195e-06
