epoch,model,loss
1.0,SL-TMP,4.1783599853515625
2.0,SL-TMP,4.50532808303833
3.0,SL-TMP,4.323952388763428
4.0,SL-TMP,4.202773475646973
5.0,SL-TMP,4.567789077758789
6.0,SL-TMP,4.144953060150146
7.0,SL-TMP,4.261595249176025
8.0,SL-TMP,4.665492963790894
9.0,SL-TMP,4.905047798156739
10.0,SL-TMP,4.153406476974487
11.0,SL-TMP,4.53455114364624
12.0,SL-TMP,4.481863307952881
13.0,SL-TMP,4.953495883941651
14.0,SL-TMP,4.303978967666626
15.0,SL-TMP,4.651860046386719
16.0,SL-TMP,4.208331060409546
17.0,SL-TMP,4.4308116912841795
18.0,SL-TMP,4.939810132980346
19.0,SL-TMP,4.216691303253174
20.0,SL-TMP,4.298315858840942
21.0,SL-TMP,4.246448564529419
22.0,SL-TMP,4.688715267181396
23.0,SL-TMP,4.510976648330688
24.0,SL-TMP,4.403713703155518
1.0,UTRE,0.7613894224166871
2.0,UTRE,0.7468158841133118
3.0,UTRE,0.7249537825584411
4.0,UTRE,0.7236695051193237
5.0,UTRE,0.7324087619781494
6.0,UTRE,0.714047646522522
7.0,UTRE,0.7039743661880493
8.0,UTRE,0.7022454977035523
9.0,UTRE,0.6627495288848877
10.0,UTRE,0.6819984078407287
11.0,UTRE,0.652250862121582
12.0,UTRE,0.6450145244598389
13.0,UTRE,0.6299644947052002
14.0,UTRE,0.6371349453926086
15.0,UTRE,0.617421293258667
16.0,UTRE,0.6083038210868835
17.0,UTRE,0.5749873518943787
18.0,UTRE,0.5444608926773071
19.0,UTRE,0.5406066417694092
20.0,UTRE,0.512451833486557
21.0,UTRE,0.5136989116668701
22.0,UTRE,0.5264857888221741
23.0,UTRE,0.49195680022239685
24.0,UTRE,0.5027935445308686
1.0,SSP,4.361350011825562
2.0,SSP,4.263923454284668
3.0,SSP,4.4671783447265625
4.0,SSP,4.3390116691589355
5.0,SSP,4.185056447982788
6.0,SSP,4.229383420944214
7.0,SSP,4.337355756759644
8.0,SSP,5.610581398010254
9.0,SSP,4.660786437988281
10.0,SSP,4.379542970657349
11.0,SSP,4.301808881759643
12.0,SSP,4.536835098266602
13.0,SSP,6.502753353118896
14.0,SSP,4.706969738006592
15.0,SSP,4.338475465774536
16.0,SSP,4.298298263549805
17.0,SSP,4.354602432250976
18.0,SSP,4.204610919952392
19.0,SSP,4.39268388748169
20.0,SSP,4.717343950271607
21.0,SSP,4.287101602554321
22.0,SSP,4.212253189086914
23.0,SSP,4.3115503787994385
24.0,SSP,4.769879341125488
