variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,mean_expected_harm,observed_selected_harm,expected_observed_harm_gap_pp,mean_accept_score,k_max,tau_leave,tau_utility,beta_harm,base_floor,delta_cap,lam,temporal_q,local_lam,risk_tau,deadzone,agreement_tau,margin,calibration_score,target_variant
Residual-Prior Convex Mixer,232,9.091048659744999,2.3284728691021095,9.1261157455358,2.332075092367097,-0.03506708579080218,-0.3842498465958033,-0.15446429067963524,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.018503676126810035,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.0,1.5,0.8,0.35,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.6054674558068,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.091048659744999,2.3284728691021095,9.1261157455358,2.332075092367097,-0.03506708579080218,-0.3842498465958033,-0.15446429067963524,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.018503676126810035,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.03,1.5,0.8,0.35,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.6054674558068,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.11308657649399,2.330841965074736,9.1261157455358,2.332075092367097,-0.013029169041814243,-0.14276795726492755,-0.052876825926810415,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.006875037338130502,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.0,1.5,0.9,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,132.19580850879808,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.11308657649399,2.330841965074736,9.1261157455358,2.332075092367097,-0.013029169041814243,-0.14276795726492755,-0.052876825926810415,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.006875037338130502,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9981823868644258,1,0.55,0.03,1.5,0.9,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,132.19580850879808,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.11007755899034,2.330458240937981,9.1261157455358,2.332075092367097,-0.016038186545462005,-0.175739459974868,-0.0693310188627824,0.375,0.625,0.4827586206896552,1.0,8,8,False,1.0,232,0.375,0.008462790756807925,0.625,0.0007167612519626406,0.375,37.42832387480374,0.9981823868644258,1,0.55,0.0,1.5,0.9,0.25,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.16692854145884,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.11007755899034,2.330458240937981,9.1261157455358,2.332075092367097,-0.016038186545462005,-0.175739459974868,-0.0693310188627824,0.375,0.625,0.4827586206896552,1.0,8,8,False,1.0,232,0.375,0.008462790756807925,0.625,0.0007167612519626406,0.375,37.42832387480374,0.9981823868644258,1,0.55,0.03,1.5,0.9,0.25,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.16692854145884,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.108035803937813,2.33018186432897,9.1261157455358,2.332075092367097,-0.018079941597988203,-0.1981121222029232,-0.08118212128785025,0.375,0.625,0.4827586206896552,1.0,8,8,False,1.0,232,0.375,0.00954015357069,0.625,0.0007167612519626406,0.375,37.42832387480374,0.9981823868644258,1,0.55,0.0,1.5,0.9,0.35,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.11223499481432,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.108035803937813,2.33018186432897,9.1261157455358,2.332075092367097,-0.018079941597988203,-0.1981121222029232,-0.08118212128785025,0.375,0.625,0.4827586206896552,1.0,8,8,False,1.0,232,0.375,0.00954015357069,0.625,0.0007167612519626406,0.375,37.42832387480374,0.9981823868644258,1,0.55,0.03,1.5,0.9,0.35,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.11223499481432,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.08287578392998,2.3280785489773224,9.1261157455358,2.332075092367097,-0.04323996160582164,-0.4738046586752055,-0.17137284239766895,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.0228162171804902,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9974656256124623,1,0.55,0.0,2.5,0.65,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.386536412117,Residual-Prior Convex Mixer
Residual-Prior Convex Mixer,232,9.08287578392998,2.3280785489773224,9.1261157455358,2.332075092367097,-0.04323996160582164,-0.4738046586752055,-0.17137284239766895,0.3793103448275862,0.6206896551724138,0.4827586206896552,1.0,8,8,False,1.0,232,0.3793103448275862,0.0228162171804902,0.6206896551724138,0.0007167612519626406,0.3793103448275862,37.85935835756236,0.9974656256124623,1,0.55,0.03,2.5,0.65,0.15,0.35,0.75,0.25,0.08,0.0,0.35,0.05,131.386536412117,Residual-Prior Convex Mixer
