variant,mse_delta_pct_vs_lrbn,harm_rate,max_config_harm,oracle_gain_fraction,coverage,accept_precision,selected_nonharm_rate,expected_observed_harm_gap_pp,q4_boundary_delta_pct,non_boundary_delta_pct,low_gap_high_repair_delta_pct,known_harmed_config_delta_pct,bootstrap_high_delta_raw,compact_gate_pass
Residual-Prior Convex Mixer,-0.27849049136558973,0.2682291666666667,0.4791666666666667,0.007491390365671888,0.9986979166666666,0.7314211212516297,0.7314211212516297,26.710438673509984,-0.2657005891034435,-0.2825052340337098,-0.2459214120132034,0.1130036677831516,-0.010835033598359793,False
Time-Step Gated Hybrid Editor,-0.006464863877043484,0.27734375,0.5729166666666666,0.00017390474887082037,0.5,0.7083333333333334,0.7083333333333333,18.360731336805557,0.02657773133787567,-0.016836914746194368,-0.0009539781061940146,0.581869362447117,0.012587041431355871,False
Selection-Conditional Conformal Family Editor,-1.0068731034946523,0.4700520833333333,0.53125,0.02708487255700192,0.9947916666666666,0.5274869109947644,0.5274869109947644,4.360225482559227,-1.3321049311142978,-0.9047830273854375,-0.9049188156397645,-0.7568686189197982,-0.024155535111473336,False
Retrieval-Augmented Local Residual Editor,0.2591024878094217,0.47265625,0.59375,-0.006969853338184555,1.0,0.52734375,0.52734375,41.296538666935035,-0.09908830544184967,0.3715383635116311,0.5447973323676204,0.06711329249295532,0.0290282455399758,False
Conservative Challenger Comparator,-0.3723350977145154,0.4361979166666667,0.5520833333333334,0.010015808978405013,0.9986979166666666,0.5632333767926988,0.5632333767926988,43.60249234458873,-0.3954475125352722,-0.36508012453003397,-0.33864205797797425,-0.0950926710061973,-0.011525699966227702,False
