variant,dataset,backbone,horizon,seed,n,mse,mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
Residual-Prior Convex Mixer,ETTm1,PatchTST,96,2026,96,3.000223042360291,1.324200045729136,-0.429628310876885,-0.22055725805074752,0.15625,0.84375,1.0
Residual-Prior Convex Mixer,ETTm1,PatchTST,192,2026,96,4.201755739069891,1.5814909755406028,-0.31453352226437764,-0.17124350526183404,0.1875,0.8125,1.0
Time-Step Gated Hybrid Editor,ETTh1,DLinear,96,2026,96,5.353557470080905,1.7708916855623744,1.1112782620047177,0.2424515565653981,0.5,0.5,0.0
Time-Step Gated Hybrid Editor,ETTh1,DLinear,192,2026,96,6.821130550161136,2.0208561926999993,0.7356510415519213,0.06937693978065267,0.5729166666666666,0.4270833333333333,1.0
Time-Step Gated Hybrid Editor,ETTh1,PatchTST,96,2026,96,5.749833801795558,1.8438159437615738,-0.9381469474167073,-0.515694653078822,0.020833333333333332,0.9791666666666666,0.0
Time-Step Gated Hybrid Editor,ETTh1,PatchTST,192,2026,96,7.192759155685427,2.085792344914744,-0.684268117038034,-0.4146079683200422,0.03125,0.96875,1.0
Time-Step Gated Hybrid Editor,ETTm1,DLinear,96,2026,96,2.84192372766322,1.2757352197523526,0.8581829452723881,0.1362566022905962,0.4791666666666667,0.5208333333333334,0.0
Time-Step Gated Hybrid Editor,ETTm1,DLinear,192,2026,96,4.017942260965366,1.540046426434882,0.581869362447117,0.12948487451682839,0.5104166666666666,0.4895833333333333,1.0
Time-Step Gated Hybrid Editor,ETTm1,PatchTST,96,2026,96,2.9840763763503166,1.3198314726349318,-0.9654983139049799,-0.5497324359487418,0.052083333333333336,0.9479166666666666,0.0
Time-Step Gated Hybrid Editor,ETTm1,PatchTST,192,2026,96,4.189506220309174,1.5787621219578138,-0.605149889496131,-0.34349744936693555,0.052083333333333336,0.9479166666666666,1.0
Selection-Conditional Conformal Family Editor,ETTh1,DLinear,96,2026,96,5.254088566926069,1.765097689511603,-0.7673656084918488,-0.085521277625309,0.46875,0.5104166666666666,0.9791666666666666
Selection-Conditional Conformal Family Editor,ETTh1,DLinear,192,2026,96,6.707633225339452,2.022238987642704,-0.9404973339333202,0.13785060364997934,0.4270833333333333,0.5729166666666666,1.0
Selection-Conditional Conformal Family Editor,ETTh1,PatchTST,96,2026,96,5.737134634115655,1.8493317365476853,-1.1569364157341855,-0.2180864169398546,0.4791666666666667,0.5208333333333334,1.0
Selection-Conditional Conformal Family Editor,ETTh1,PatchTST,192,2026,96,7.148767480537522,2.090385942821163,-1.2916936283654843,-0.19528831875438463,0.40625,0.59375,1.0
Selection-Conditional Conformal Family Editor,ETTm1,DLinear,96,2026,96,2.8018718194761285,1.2752629951753096,-0.56323545160636,0.09919028922039559,0.5104166666666666,0.46875,0.9791666666666666
Selection-Conditional Conformal Family Editor,ETTm1,DLinear,192,2026,96,3.9644637169775048,1.536684332759023,-0.7568686189197982,-0.0891089937583134,0.5,0.5,1.0
Selection-Conditional Conformal Family Editor,ETTm1,PatchTST,96,2026,96,2.985919868772395,1.326797818505296,-0.9043171208840113,-0.024813179311286602,0.53125,0.46875,1.0
Selection-Conditional Conformal Family Editor,ETTm1,PatchTST,192,2026,96,4.159157803263722,1.5778751624860066,-1.3251574983883125,-0.39948516092602704,0.4375,0.5625,1.0
Retrieval-Augmented Local Residual Editor,ETTh1,DLinear,96,2026,96,5.308536271452654,1.762193494596545,0.26097433622688676,-0.24991507924121498,0.4479166666666667,0.5520833333333334,1.0
Retrieval-Augmented Local Residual Editor,ETTh1,DLinear,192,2026,96,6.778002601956623,2.01497274829539,0.09872994729194821,-0.22196126381962833,0.4791666666666667,0.5208333333333334,1.0
Retrieval-Augmented Local Residual Editor,ETTh1,PatchTST,96,2026,96,5.838775043464732,1.8516102761391213,0.5941902471768654,-0.09514631112451127,0.4791666666666667,0.5208333333333334,1.0
Retrieval-Augmented Local Residual Editor,ETTh1,PatchTST,192,2026,96,7.291467290222415,2.099488060472781,0.6786679132841555,0.23928895473069337,0.59375,0.40625,1.0
Retrieval-Augmented Local Residual Editor,ETTm1,DLinear,96,2026,96,2.82324518356441,1.2701852187096543,0.19529252604595815,-0.2993795043194746,0.40625,0.59375,1.0
Retrieval-Augmented Local Residual Editor,ETTm1,DLinear,192,2026,96,3.997379308757232,1.5365398281898586,0.06711329249295532,-0.09850427414085682,0.4583333333333333,0.5416666666666666,1.0
Retrieval-Augmented Local Residual Editor,ETTm1,PatchTST,96,2026,96,2.9994896122334485,1.324137634311726,-0.4539691378964805,-0.22526000400138915,0.4270833333333333,0.5729166666666666,1.0
Retrieval-Augmented Local Residual Editor,ETTm1,PatchTST,192,2026,96,4.217812529292596,1.583628663535273,0.06640928333297304,-0.03630581909556942,0.4895833333333333,0.5104166666666666,1.0
Conservative Challenger Comparator,ETTh1,DLinear,96,2026,96,5.282032087044414,1.7644669313913859,-0.23960345242674871,-0.12122574248232079,0.4166666666666667,0.5833333333333334,1.0
Conservative Challenger Comparator,ETTh1,DLinear,192,2026,96,6.742320982160474,2.018530077189572,-0.4282224645817336,-0.045808361136571975,0.4166666666666667,0.5833333333333334,1.0
Conservative Challenger Comparator,ETTh1,PatchTST,96,2026,96,5.77795321177337,1.849755281003169,-0.4536875786201899,-0.19523379661656853,0.3958333333333333,0.6041666666666666,1.0
Conservative Challenger Comparator,ETTh1,PatchTST,192,2026,96,7.200666404709879,2.0914227225296496,-0.575086896597511,-0.1457876513092979,0.3854166666666667,0.6145833333333334,1.0
Conservative Challenger Comparator,ETTm1,DLinear,96,2026,96,2.814058006245181,1.2739723955156943,-0.1307549320661121,-0.0021127207397158305,0.5520833333333334,0.4375,0.9895833333333334
Conservative Challenger Comparator,ETTm1,DLinear,192,2026,96,3.99089966981756,1.5378202903565683,-0.0950926710061973,-0.015252227890383198,0.5,0.5,1.0
Conservative Challenger Comparator,ETTm1,PatchTST,96,2026,96,3.0028523231614557,1.3261061212611753,-0.3423686431528163,-0.07693307257507213,0.4791666666666667,0.5208333333333334,1.0
Conservative Challenger Comparator,ETTm1,PatchTST,192,2026,96,4.196696751079099,1.5809507486490884,-0.4345565811675581,-0.20534435015945474,0.34375,0.65625,1.0
