variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,accept_precision,mean_expected_harm,observed_selected_harm,expected_observed_harm_gap_pp,mean_accept_score
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,False,0.0,0,0.0,,0.0,0.0,0.0,,,,,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8,8,False,0.0,0,0.0,0.06989983253004452,-0.15384714945596734,-0.09920247122496113,1.0,,,,,
oracle_stage13_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8,8,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,,,,,
Residual-Prior Convex Mixer,768,4.8805278324383785,1.679483492889803,4.894157596003544,1.682162338434372,-0.013629763565166065,-0.27849049136558973,-0.15925011917323265,0.2682291666666667,0.73046875,0.4791666666666667,0.75,6,8,False,0.9986979166666666,767,0.2685788787483703,0.007491390365671888,-0.016228181501138226,-0.010835033598359793,1.0,0.7314211212516297,0.0014744920132704435,0.2685788787483703,26.710438673509984,0.9967426498461555
Time-Step Gated Hybrid Editor,768,4.893841195376388,1.679466425964834,4.894157596003544,1.682162338434372,-0.00031640062715598133,-0.006464863877043484,-0.16026470168275916,0.27734375,0.72265625,0.5729166666666666,0.5,4,8,False,0.5,384,0.2916666666666667,0.00017390474887082037,-0.01249330152506788,0.012587041431355871,0.5175,0.7083333333333334,0.10805935329861112,0.2916666666666667,18.360731336805557,0.891940646701389
Selection-Conditional Conformal Family Editor,768,4.844879639426057,1.6804593331810989,4.894157596003544,1.682162338434372,-0.049277956577487965,-1.0068731034946523,-0.1012390542956919,0.4700520833333333,0.5247395833333334,0.53125,1.0,8,8,False,0.9947916666666666,764,0.4725130890052356,0.02708487255700192,-0.07443681331202513,-0.024155535111473336,1.0,0.5274869109947644,0.4289108341796433,0.4725130890052356,4.360225482559227,0.9963717999654488
Retrieval-Augmented Local Residual Editor,768,4.906838480118013,1.6803444905312936,4.894157596003544,1.682162338434372,0.012680884114469555,0.2591024878094217,-0.10806613908403594,0.47265625,0.52734375,0.59375,0.125,1,8,False,1.0,768,0.47265625,-0.006969853338184555,-0.002831700090380334,0.0290282455399758,0.0565,0.52734375,0.05969086333064966,0.47265625,41.296538666935035,0.9403091366693502
Conservative Challenger Comparator,768,4.8759349294989285,1.6803780709870377,4.894157596003544,1.682162338434372,-0.01822266650461542,-0.3723350977145154,-0.10606987185243723,0.4361979166666667,0.5625,0.5520833333333334,1.0,8,8,False,0.9986979166666666,767,0.4367666232073012,0.010015808978405013,-0.024993925286509903,-0.011525699966227702,1.0,0.5632333767926988,0.0007416997614138513,0.4367666232073012,43.60249234458873,0.9963717999654488
