variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,tau_leave,tau_family_gain,tau_family_harm,tau_candidate_gain,tau_candidate_harm,beta_harm,lambda_existing,lambda_smoothing,lambda_residual,lambda_memory,calibration_feasible,calibration_score
Safe-CGA,232,9.02106840370244,2.319374794896395,9.1261157455358,2.332075092367097,-0.10504734183336172,-1.1510630003749411,-0.5445921298937147,0.0,0.1810344827586207,0.0,1.0,8,8,False,0.1810344827586207,42,0.0,0.05542981252741172,0.55,0.55,0.15,0.55,0.15,2.0,0.5,0.5,0.25,0.25,True,-1.1510630003749411
Safe-CGA,232,8.991052446178923,2.3151306174313606,9.1261157455358,2.332075092367097,-0.13506329935688025,-1.4799647843054122,-0.7265835872325744,0.0,0.1810344827586207,0.0,1.0,8,8,False,0.1810344827586207,42,0.0,0.0712681847253362,0.55,0.55,0.15,0.55,0.15,2.0,0.75,0.75,0.5,0.5,True,-1.4799647843054122
Safe-CGA,232,8.97604163091751,2.3122711665732965,9.1261157455358,2.332075092367097,-0.1500741146182906,-1.6444467573979291,-0.8491975997556603,0.004310344827586207,0.17672413793103448,0.034482758620689655,1.0,8,8,False,0.1810344827586207,42,0.023809523809523808,0.07918886754607311,0.55,0.55,0.15,0.55,0.15,2.0,1.0,1.0,0.75,0.75,True,-1.6444467573979291
Safe-CGA,232,9.02106840370244,2.319374794896395,9.1261157455358,2.332075092367097,-0.10504734183336172,-1.1510630003749411,-0.5445921298937147,0.0,0.1810344827586207,0.0,1.0,8,8,False,0.1810344827586207,42,0.0,0.05542981252741172,0.75,0.55,0.15,0.55,0.15,2.0,0.5,0.5,0.25,0.25,True,-1.1510630003749411
Safe-CGA,232,8.991052446178923,2.3151306174313606,9.1261157455358,2.332075092367097,-0.13506329935688025,-1.4799647843054122,-0.7265835872325744,0.0,0.1810344827586207,0.0,1.0,8,8,False,0.1810344827586207,42,0.0,0.0712681847253362,0.75,0.55,0.15,0.55,0.15,2.0,0.75,0.75,0.5,0.5,True,-1.4799647843054122
Safe-CGA,232,8.97604163091751,2.3122711665732965,9.1261157455358,2.332075092367097,-0.1500741146182906,-1.6444467573979291,-0.8491975997556603,0.004310344827586207,0.17672413793103448,0.034482758620689655,1.0,8,8,False,0.1810344827586207,42,0.023809523809523808,0.07918886754607311,0.75,0.55,0.15,0.55,0.15,2.0,1.0,1.0,0.75,0.75,True,-1.6444467573979291
