variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,policy_variant,policy_tau_leave,policy_tau_family_gain,policy_tau_family_harm,policy_tau_candidate_gain,policy_tau_candidate_harm,policy_beta_harm,policy_lambda_existing,policy_lambda_smoothing,policy_lambda_residual,policy_lambda_memory
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,False,0.0,0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8,8,False,0.0,0,0.0,,-0.15384714945596734,-0.09920247122496113,1.0,,,,,,,,,,,
oracle_stage10_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8,8,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,,,,,,,,,,,
Safe-CGA,768,4.831768165093751,1.6649185501425674,4.894157596003544,1.682162338434372,-0.06238943090979213,-1.2747736369025215,-1.0250965555051104,0.052083333333333336,0.12760416666666666,0.2604166666666667,0.875,7,8,False,0.1796875,138,0.2898550724637681,0.0342913932000899,-0.17839927136928213,0.05080174658749906,0.865,Safe-CGA,0.55,0.55,0.15,0.55,0.15,2.0,1.0,1.0,0.75,0.75
Balanced-CGA,768,4.831768165093751,1.6649185501425674,4.894157596003544,1.682162338434372,-0.06238943090979213,-1.2747736369025215,-1.0250965555051104,0.052083333333333336,0.12760416666666666,0.2604166666666667,0.875,7,8,False,0.1796875,138,0.2898550724637681,0.0342913932000899,-0.17839927136928213,0.05080174658749906,0.865,Balanced-CGA,0.55,0.55,0.15,0.55,0.15,2.0,1.0,1.0,0.75,0.75
