oracle_pool,family,oracle_share
oracle_old_deployable,residual,0.3723958333333333
oracle_old_deployable,volatility,0.265625
oracle_old_deployable,boundary,0.22265625
oracle_old_deployable,level,0.11458333333333333
oracle_old_deployable,default,0.013020833333333334
oracle_old_deployable,amplitude,0.01171875
oracle_stage9_expanded,residual,0.19921875
oracle_stage9_expanded,teacher_smoothing,0.1953125
oracle_stage9_expanded,boundary,0.19010416666666666
oracle_stage9_expanded,residual_distribution,0.1796875
oracle_stage9_expanded,volatility,0.10026041666666667
oracle_stage9_expanded,retrieval_memory,0.08072916666666667
oracle_stage9_expanded,level,0.049479166666666664
oracle_stage9_expanded,amplitude,0.0026041666666666665
oracle_stage9_expanded,default,0.0026041666666666665
oracle_stage10_cga_full,residual_distribution,0.3528645833333333
oracle_stage10_cga_full,smoothing_teacher,0.19921875
oracle_stage10_cga_full,boundary,0.13541666666666666
oracle_stage10_cga_full,residual,0.1328125
oracle_stage10_cga_full,default,0.07552083333333333
oracle_stage10_cga_full,retrieval_memory,0.049479166666666664
oracle_stage10_cga_full,volatility,0.041666666666666664
oracle_stage10_cga_full,level,0.013020833333333334
