dataset,backbone,horizon,seq_len,epochs,batch_size,learning_rate,max_train_windows,max_eval_windows,device,n_val,n_test,prediction_path,adapter_mode,test_threshold_leakage,mse,mae,variant,method,model_label,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,status,blocker_reason,tail_len,learned_params
ETTm1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_96_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,2.531588844367263,1.2026511523789543,future_center_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_selector,-32.770447959166304,-19.83359535573317,completed,,48,"{""gamma"": 0.3517400622367859}"
ETTm1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_96_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,2.531796049582455,1.203445932903361,future_center_horizon_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_selector,-32.76494536192234,-19.78061681994002,completed,,48,"{""gamma"": 0.35176852345466614}"
ETTm1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_96_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,2.5488776081263924,1.2091868153056964,future_center_horizon_residual_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate,-32.311322913860394,-19.39794067917352,completed,,48,"{""beta"": 0.7013000845909119, ""gamma"": 0.35180163383483887}"
ETTm1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_96_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,2.544903841450451,1.2070700267068872,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,-32.416851327027786,-19.53904172166854,completed,,48,"{""beta"": 0.7013096809387207, ""gamma"": 0.3517445921897888}"
ETTm1,DLinear,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_192_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,3.638803478222813,1.4518321398488163,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-22.324593866237805,-13.358537591434237,completed,,48,"{""beta"": 0.7012742757797241, ""gamma"": 0.3517398238182068}"
ETTm1,DLinear,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_192_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,3.6147907000540314,1.4455841991454095,future_center_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_selector,-22.83718057442987,-13.73139799638542,completed,,48,"{""gamma"": 0.35168784856796265}"
ETTm1,DLinear,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_192_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,3.614223393832456,1.4451732872667347,future_center_horizon_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_selector,-22.849290527997518,-13.755920119234379,completed,,48,"{""gamma"": 0.3518010079860687}"
ETTm1,DLinear,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_192_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,3.6308315266570705,1.4501498710940037,future_center_horizon_residual_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate,-22.494766446112926,-13.45893089523338,completed,,48,"{""beta"": 0.7013046741485596, ""gamma"": 0.3517863154411316}"
ETTm1,DLinear,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_192_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,3.6347406147321593,1.4506979572457326,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,-22.411321433030366,-13.42622257833621,completed,,48,"{""beta"": 0.7012568116188049, ""gamma"": 0.35176458954811096}"
ETTm1,DLinear,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_336_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,4.956146953041388,1.7223448015807405,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-20.493285647111634,-9.002394036764306,completed,,48,"{""beta"": 0.7012606859207153, ""gamma"": 0.3518097996711731}"
