variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero,mean_safe_weight,mean_weight_smoothing_teacher,mean_weight_residual_distribution,mean_weight_retrieval_memory,boundary_veto_rate,policy_variant,policy_family_rep,policy_tau_leave,policy_tau_family_gain,policy_tau_family_harm,policy_safe_floor,policy_beta_harm,policy_temperature,policy_family_mass_cap,policy_boundary_veto,policy_boundary_veto_mult,policy_boundary_gap_quantile,policy_boundary_repair_quantile
LRBN,768,4.894157596003544,1.682162338434372,4.894157596003544,1.682162338434372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,False,0.0,0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
SRA-BP-balanced,768,4.766982513125085,1.6456270785485227,4.894157596003544,1.682162338434372,-0.12717508287845883,-2.59850812165216,-2.1719223426831245,0.10416666666666667,0.33203125,0.19791666666666666,1.0,8,8,False,0.0,0,0.0,,-0.15384714945596734,-0.09920247122496113,1.0,,,,,,,,,,,,,,,,,,
oracle_stage11_cga_full,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,1.0,8,8,False,0.0,0,0.0,0.9999999945036535,-2.087688531220485,-1.5644267072510374,1.0,,,,,,,,,,,,,,,,,,
CGA-HM-safe,768,4.841242615138632,1.6703417080813814,4.894157596003544,1.682162338434372,-0.05291498086491217,-1.0811866949279032,-0.7027044900863686,0.20442708333333334,0.7942708333333334,0.4791666666666667,0.75,6,8,False,0.9986979166666666,767,0.2046936114732725,0.029083907138655163,-0.06960158687339035,-0.03521537132568878,1.0,0.8002604166667607,0.07681479104797301,0.08507145575296175,0.037853336532304625,0.0,CGA-HM-safe,median,0.55,0.5,0.06,0.8,2.0,1.0,0.25,False,1.0,0.75,0.5
CGA-HM-balanced,768,4.841242615138632,1.6703417080813814,4.894157596003544,1.682162338434372,-0.05291498086491217,-1.0811866949279032,-0.7027044900863686,0.20442708333333334,0.7942708333333334,0.4791666666666667,0.75,6,8,False,0.9986979166666666,767,0.2046936114732725,0.029083907138655163,-0.06960158687339035,-0.03521537132568878,1.0,0.8002604166667607,0.07681479104797301,0.08507145575296175,0.037853336532304625,0.0,CGA-HM-balanced,median,0.55,0.5,0.06,0.8,2.0,1.0,0.25,False,1.0,0.75,0.5
CGA-HM-veto-safe,768,4.839807225691508,1.6704583084943356,4.894157596003544,1.682162338434372,-0.05435037031203668,-1.110515326383568,-0.6957729110349903,0.19921875,0.7916666666666666,0.46875,0.875,7,8,False,0.9908854166666666,761,0.20105124835742444,0.029872846919140977,-0.06911505317494973,-0.039279932795236686,1.0,0.8018229166667693,0.061219637859850205,0.09516700773886348,0.04179043773451688,0.18880208333333334,CGA-HM-veto-safe,median,0.55,0.5,0.06,0.8,2.0,1.0,0.25,True,0.0,0.75,0.5
CGA-HM-veto-balanced,768,4.839807225691508,1.6704583084943356,4.894157596003544,1.682162338434372,-0.05435037031203668,-1.110515326383568,-0.6957729110349903,0.19921875,0.7916666666666666,0.46875,0.875,7,8,False,0.9908854166666666,761,0.20105124835742444,0.029872846919140977,-0.06911505317494973,-0.039279932795236686,1.0,0.8018229166667693,0.061219637859850205,0.09516700773886348,0.04179043773451688,0.18880208333333334,CGA-HM-veto-balanced,median,0.55,0.5,0.06,0.8,2.0,1.0,0.25,True,0.0,0.75,0.5
