head,split,normal_roc_auc,no_mrc_roc_auc,delta_roc_auc,normal_pr_auc,no_mrc_pr_auc,delta_pr_auc
gain,inner_calib,0.8654654924713207,0.8679789244564634,-0.0025134319851427556,0.8506692982996417,0.8501798450194951,0.0004894532801466012
gain,inner_train,0.904097378206039,0.9016893860166545,0.002407992189384478,0.9049093575274818,0.8930842476587512,0.011825109868730643
harm,inner_calib,0.8115309894449362,0.8089874049010082,0.0025435845439280014,0.41363164812246017,0.41335086014426337,0.0002807879781968059
harm,inner_train,0.8936358701468056,0.890031072985337,0.0036047971614685537,0.6183250524271062,0.6014528502533241,0.016872202173782158
leave,inner_calib,0.8195652173913044,0.8195652173913044,0.0,0.9982537400746248,0.9982537400746248,0.0
leave,inner_train,0.9694177863083813,0.9694177863083813,0.0,0.9991161115344296,0.9991161115344296,0.0
