variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,low_gap_high_repair_harm,calibration_score,calibration_feasible,stage,default_tau_gain,default_tau_harm,default_lambda,tuned_expert,expert_tau_gain,expert_tau_harm,expert_lambda
SafeTAE-mrc-features,232,9.047298891882958,2.320518135237171,9.1261157455358,2.332075092367097,-0.07881685365284259,-0.8636407400928809,-0.4955653923064309,0.008620689655172414,0.5129310344827587,0.034482758620689655,0.875,7,8,False,0.5301724137931034,123,0.016260162601626018,0.051153576643372396,0.0,-0.8636407400928809,True,global_grid,0.45,0.08,0.25,,,,
SafeTAE-mrc-features,232,8.991018523068906,2.311591089848349,9.1261157455358,2.332075092367097,-0.13509722246689612,-1.4803364989639345,-0.8783594704114127,0.008620689655172414,0.5129310344827587,0.034482758620689655,0.875,7,8,False,0.5301724137931034,123,0.016260162601626018,0.08768056327401826,0.0,-1.4803364989639345,True,global_grid,0.45,0.08,0.5,,,,
SafeTAE-mrc-features,232,8.991018523068906,2.311591089848349,9.1261157455358,2.332075092367097,-0.13509722246689612,-1.4803364989639345,-0.8783594704114127,0.008620689655172414,0.5129310344827587,0.034482758620689655,0.875,7,8,False,0.5301724137931034,123,0.016260162601626018,0.08768056327401826,0.0,-1.4803364989639345,True,global_grid,0.45,0.08,0.75,,,,
SafeTAE-mrc-features,232,9.04476021933124,2.3202211425120667,9.1261157455358,2.332075092367097,-0.08135552620456082,-0.8914584077592017,-0.508300519267092,0.008620689655172414,0.5258620689655172,0.034482758620689655,0.875,7,8,False,0.5431034482758621,126,0.015873015873015872,0.052801221467139864,0.0,-0.8914584077592017,True,global_grid,0.45,0.1,0.25,,,,
SafeTAE-mrc-features,232,8.98658120928982,2.3111290986019046,9.1261157455358,2.332075092367097,-0.13953453624597967,-1.528958649920041,-0.8981697778056985,0.008620689655172414,0.5258620689655172,0.034482758620689655,0.875,7,8,False,0.5431034482758621,126,0.015873015873015872,0.09056046090972977,0.0,-1.528958649920041,True,global_grid,0.45,0.1,0.5,,,,
SafeTAE-mrc-features,232,8.98658120928982,2.3111290986019046,9.1261157455358,2.332075092367097,-0.13953453624597967,-1.528958649920041,-0.8981697778056985,0.008620689655172414,0.5258620689655172,0.034482758620689655,0.875,7,8,False,0.5431034482758621,126,0.015873015873015872,0.09056046090972977,0.0,-1.528958649920041,True,global_grid,0.45,0.1,0.75,,,,
SafeTAE-mrc-features,232,9.042646376122724,2.3198431930343806,9.1261157455358,2.332075092367097,-0.08346936941307756,-0.9146209805901864,-0.5245070932879061,0.008620689655172414,0.5474137931034483,0.034482758620689655,1.0,8,8,False,0.5603448275862069,130,0.015384615384615385,0.054173144292874655,0.0,-0.9146209805901864,True,global_grid,0.45,0.12,0.25,,,,
SafeTAE-mrc-features,232,8.982581127102675,2.3104016126534233,9.1261157455358,2.332075092367097,-0.1435346184331268,-1.5727898076030797,-0.9293645685627785,0.008620689655172414,0.5474137931034483,0.034482758620689655,1.0,8,8,False,0.5603448275862069,130,0.015384615384615385,0.09315658726160476,0.0,-1.5727898076030797,True,global_grid,0.45,0.12,0.5,,,,
SafeTAE-mrc-features,232,8.982581127102675,2.3104016126534233,9.1261157455358,2.332075092367097,-0.1435346184331268,-1.5727898076030797,-0.9293645685627785,0.008620689655172414,0.5474137931034483,0.034482758620689655,1.0,8,8,False,0.5603448275862069,130,0.015384615384615385,0.09315658726160476,0.0,-1.5727898076030797,True,global_grid,0.45,0.12,0.75,,,,
SafeTAE-mrc-features,232,9.03006874157323,2.318055407540171,9.1261157455358,2.332075092367097,-0.09604700396257156,-1.0524412196318034,-0.6011678102774578,0.01293103448275862,0.5818965517241379,0.034482758620689655,1.0,8,8,False,0.5991379310344828,139,0.02158273381294964,0.062336258691652296,0.0,-1.0524412196318034,True,global_grid,0.45,0.16,0.25,,,,
