variant,dataset,backbone,horizon,seed,config_key,n,mse,mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,lrbn_mse,lrbn_mae
SRA-BP-safe,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.188084968146783,1.7469307389634061,-2.013958788316126,-1.1138730762257496,0.010416666666666666,0.11458333333333333,0.0,,
SRA-BP-safe,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.686739962120147,2.003434686299547,-1.2490527052484073,-0.7933065547284691,0.010416666666666666,0.0625,0.0,,
SRA-BP-safe,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.734529868564924,1.8388803361286274,-1.2018130001136522,-0.7819986167834988,0.03125,0.11458333333333333,0.0,,
SRA-BP-safe,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.217988450611034,2.089549526069066,-0.33590863040576024,-0.23522273023267293,0.03125,0.07291666666666667,0.0,,
SRA-BP-safe,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.6928010429757467,1.234580511660631,-4.434092429388516,-3.094098971306748,0.0,0.22916666666666666,0.0,,
SRA-BP-safe,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.940405316053798,1.5184772168994483,-1.3591268833712322,-1.272884423472081,0.052083333333333336,0.17708333333333334,0.0,,
SRA-BP-safe,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.9052281671338314,1.295809853054107,-3.582285586614855,-2.359779041190756,0.03125,0.20833333333333334,0.0,,
SRA-BP-safe,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.139411672336638,1.559940769275504,-1.7936288684893775,-1.5315612771108662,0.11458333333333333,0.23958333333333334,0.0,,
SRA-BP-balanced,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.092716103615506,1.7166752436703696,-3.815166272317528,-2.826504644170939,0.0625,0.3645833333333333,0.0,,
SRA-BP-balanced,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.647688769334823,1.9897684724907496,-1.8257675613097273,-1.4700343194971879,0.11458333333333333,0.23958333333333334,0.0,,
SRA-BP-balanced,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.656138297549248,1.8207390890575013,-2.5523936503900533,-1.760821562379529,0.0625,0.2708333333333333,0.0,,
SRA-BP-balanced,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.1765952399686865,2.079197176348409,-0.907455225423527,-0.72949187593717,0.10416666666666667,0.21875,0.0,,
SRA-BP-balanced,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.6497538254477084,1.2128107388684082,-5.961812573032402,-4.8028732558569684,0.052083333333333336,0.5,0.0,,
SRA-BP-balanced,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.9061928594973883,1.5075104402520072,-2.2155734432911722,-1.985913375367964,0.19791666666666666,0.375,0.0,,
SRA-BP-balanced,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.878273894125695,1.2840796064446778,-4.476834736858485,-3.2436617029159183,0.052083333333333336,0.3541666666666667,0.0,,
SRA-BP-balanced,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.128501115461629,1.5542358612560612,-2.052478743772565,-1.8916732718707772,0.1875,0.3333333333333333,0.0,,
MRC-ridge-abstain,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.167595363976241,1.7420349897006997,-2.4009407300388736,-1.391000079265927,0.041666666666666664,0.11458333333333333,0.0,,
MRC-ridge-abstain,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.57081352234875,1.9786688083473585,-2.9610746758445936,-2.0196708911572383,0.010416666666666666,0.15625,0.0,,
MRC-ridge-abstain,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.783201213071943,1.8486349313940738,-0.3632716204419624,-0.25568299838160935,0.0,0.0625,0.0,,
MRC-ridge-abstain,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.224901087657603,2.090649986826389,-0.2404607512668982,-0.18268163443506366,0.0,0.020833333333333332,0.0,,
MRC-ridge-abstain,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.804306764815141,1.2701331928841173,-0.47682068994009924,-0.3034631662693986,0.020833333333333332,0.010416666666666666,0.0,,
MRC-ridge-abstain,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.9184471583338465,1.5111841141773767,-1.9088093830895578,-1.7470614362045371,0.11458333333333333,0.1875,0.0,,
MRC-ridge-abstain,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,3.010617483225856,1.326128881777761,-0.08466117929288072,-0.07521805100290724,0.010416666666666666,0.010416666666666666,0.0,,
MRC-ridge-abstain,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.202354498534186,1.5799224612724085,-0.30032812336192377,-0.2702531299575846,0.010416666666666666,0.041666666666666664,0.0,,
SafeTAE-mrc-features,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.228546377248637,1.7528789146907167,-1.2497744473816617,-0.777172803312948,0.041666666666666664,0.1875,0.22916666666666666,,
SafeTAE-mrc-features,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.6913727975267205,2.002314698835296,-1.1806341803816904,-0.8487664373159639,0.09375,0.2708333333333333,0.3645833333333333,,
SafeTAE-mrc-features,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.682865751788822,1.8321834765147471,-2.091915794679034,-1.1433320922497205,0.0,1.0,1.0,,
SafeTAE-mrc-features,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.209755609425687,2.089103675763935,-0.44958554200036466,-0.25650968975156885,0.0,1.0,1.0,,
SafeTAE-mrc-features,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.759980474758231,1.2573117972512142,-2.0499343567836186,-1.3098526843711291,0.0,0.3020833333333333,0.46875,,
