method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,split,tier,family,deployable
keep_lrbn,768,8.79717792520947,2.3053724718885635,8.79717792520947,2.3053724718885635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,val,default,default,True
sra_safe,768,8.658965312751832,2.277535925927141,8.79717792520947,2.3053724718885635,-0.1382126124576374,-1.57110170415516,-1.2074641377960216,0.04296875,0.15755208333333334,1.0687639685130979,0.7022167825036156,1.521985774083571,1.0,0.0,0,0.0,val,safe,boundary,True
sra_balanced,768,8.59746686436455,2.264866712244945,8.79717792520947,2.3053724718885635,-0.19971106084492007,-2.2701718928021632,-1.7570158385180483,0.11979166666666667,0.30078125,0.8458420576936546,0.4566458760688654,1.8522931739849193,0.8519734119318203,0.0,0,0.0,val,balanced,boundary,True
sra_basic_ablation,768,8.477033878711131,2.2448036802199907,8.79717792520947,2.3053724718885635,-0.3201440464983394,-3.6391675700568347,-2.627288741598705,0.11067708333333333,0.19010416666666666,2.744165259504122,1.8209117667867902,1.5070281243095256,0.8670714215572837,0.0,0,0.0,val,balanced,boundary,True
stage3_gated_bp,768,8.694683185861635,2.285228917264343,8.79717792520947,2.3053724718885635,-0.1024947393478341,-1.1650865777946104,-0.8737657269040849,0.01171875,0.0390625,3.6554299166891666,3.438548631282048,1.0630734935092427,1.0000000000000002,0.0,0,0.0,val,safe,boundary,True
mrc_ridge_abstain,768,8.511579350345132,2.2617910012854865,8.79717792520947,2.3053724718885635,-0.2855985748643375,-3.2464794615699373,-1.8904307631613204,0.0390625,0.16276041666666666,1.9553731062143465,0.8360644260327386,2.338782780299697,1.0000000000000002,0.0,0,0.0,val,safe,residual,True
mrc_ridge_residual_blend,768,8.067229248563015,2.195568164617098,8.79717792520947,2.3053724718885635,-0.7299486766464544,-8.297532254348722,-4.762974666094471,0.3151041666666667,0.6848958333333334,1.3693573535278551,0.6598404309552679,2.075285581989187,0.48465099673769824,0.0,0,0.0,val,balanced,residual,True
volatility_shrink,768,8.515793789249722,2.2720691821071064,8.79717792520947,2.3053724718885635,-0.28138413595974815,-3.198572747216434,-1.444594747403901,0.16927083333333334,0.8307291666666666,0.34372194955018404,0.024550672276391423,14.000504983143218,0.6916305591774484,0.0,0,0.0,val,safe,volatility,True
level_bias_bounded,768,8.57042249978967,2.2614147735006696,8.79717792520947,2.3053724718885635,-0.22675542541980032,-2.577592804076895,-1.906750372585509,0.3359375,0.6640625,0.4206442197205648,0.1565131214538038,2.68759698188469,0.5798231492429601,0.0,0,0.0,val,balanced,level,True
level_bias_light,768,8.657528178881284,2.279943256053975,8.79717792520947,2.3053724718885635,-0.1396497463281865,-1.5874380097423844,-1.1030415273178202,0.3138020833333333,0.6861979166666666,0.23443285534270014,0.06761456259566703,3.4671942207577215,0.5987041162389026,0.0,0,0.0,val,safe,level,True
amplitude_scale_bounded,768,8.70866246878238,2.2956364720467293,8.79717792520947,2.3053724718885635,-0.08851545642708808,-1.0061801304804627,-0.42231786482757544,0.3046875,0.6953125,0.13277334149781037,0.01248330693943207,10.636062686064502,0.4461222944090552,0.0,0,0.0,val,balanced,amplitude,True
