method,completed_configs,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,mean_mae_delta_pct_vs_raw,mean_mse_delta_pct_vs_lrbn,mean_mae_delta_pct_vs_lrbn,improved_configs_vs_lrbn,harmed_configs_vs_lrbn,mean_win_rate_vs_lrbn,mean_harm_rate_vs_lrbn,mean_coverage,max_mse_harm_pct_vs_lrbn,test_threshold_leakage
LRBN-SRA-BP-balanced,8,4.766982513125086,1.645627078548523,-22.302683760022106,-13.185368396094283,-2.9759352835466286,-2.3388717664049707,8,0,0.33203125,0.10416666666666667,0.4361979166666667,0.0,False
LRBN-SRA-BP-safe,8,4.813148680992863,1.660950454793792,-21.562981319540228,-12.380096312421806,-1.996233366926131,-1.3978405958287987,8,0,0.15234375,0.03515625,0.1875,0.0,False
HalluGuard-LRBN,8,4.894157596003544,1.6821623384343718,-20.02883096228552,-11.16228395262318,0.0,0.0,0,0,0.0,0.0,0.0,0.0,False
ema_smoothing,8,6.060487040025388,1.8482209732891168,-5.922067896238753,-3.533955221187962,24.694504245317084,10.119814972342375,4,4,0.5611979166666667,0.4388020833333333,0.0,56.972766219728186,False
naive_smoothing,8,6.072069123180009,1.8492562612970649,-5.763866811789078,-3.4821625252150774,25.002054584200007,10.205240255749061,4,4,0.5690104166666666,0.4309895833333333,0.0,58.50853520208177,False
median_smoothing,8,6.129929274585332,1.8603371525591363,-4.849368900644235,-2.8932571619766128,26.440553052949465,10.937893945348364,4,4,0.55078125,0.44921875,0.0,61.845644678093194,False
matched_sparse_smoothing,8,6.222475052491289,1.8777299074985079,-2.9711327430637597,-1.8809676135949034,28.340476255105507,11.940676068360503,3,5,0.4153645833333333,0.5846354166666666,0.0,59.37932851421086,False
raw_no_correction,8,6.427220554044915,1.9149077056592396,0.0,0.0,32.84973236858885,14.25961813420164,0,8,0.35807291666666663,0.6419270833333334,0.0,69.82769043176226,False
