method,split,mean_mse,mean_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,delta_mae_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn,mean_alpha,alpha_nonzero_rate,test_threshold_leakage
adaptive-alpha-safe-loss,val,8.435077537356882,2.2417427847335722,-0.3621003878525872,-4.116097122502562,-2.7600610163814303,0.4296875,0.5703125,0.2676596859776285,1.0,False
adaptive-alpha-safe-loss,test,4.704776506934391,1.6381250258841444,-0.18938108906915316,-3.869533928307576,-2.6178990744391673,0.3854166666666667,0.6145833333333334,0.25785149274571245,1.0,False
global-alpha-safe-loss,val,8.419232644426494,2.2301619219390045,-0.37794528078297623,-4.296210484390716,-3.2624033877573853,0.453125,0.546875,0.5,1.0,False
global-alpha-safe-loss,test,4.6439807089980585,1.6218519507831555,-0.2501768870054856,-5.111745618870136,-3.5852893573173152,0.4231770833333333,0.5768229166666666,0.5,1.0,False
